chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,dry_seed10,dry_seed11,dry_seed12,dry_seed13,dry_seed14,dry_seed15,dry_seed16,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,endosperm10,endosperm11,endosperm12,endosperm13,endosperm14,endosperm15,endosperm16,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,imbibed_seed10,imbibed_seed11,imbibed_seed12,imbibed_seed13,imbibed_seed14,imbibed_seed15,imbibed_seed16,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,shoot10,shoot11,shoot12,shoot13,shoot14,shoot15,shoot16,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_20days10,leaf_20days11,leaf_20days12,leaf_20days13,leaf_20days14,leaf_20days15,leaf_20days16,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,leaf_60days10,leaf_60days11,leaf_60days12,leaf_60days13,leaf_60days14,leaf_60days15,leaf_60days16,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,stem_60days10,stem_60days11,stem_60days12,stem_60days13,stem_60days14,stem_60days15,stem_60days16,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_5days10,root_5days11,root_5days12,root_5days13,root_5days14,root_5days15,root_5days16,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,root_60days10,root_60days11,root_60days12,root_60days13,root_60days14,root_60days15,root_60days16,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,husk10,husk11,husk12,husk13,husk14,husk15,husk16,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,anther10,anther11,anther12,anther13,anther14,anther15,anther16,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,mature_pollen10,mature_pollen11,mature_pollen12,mature_pollen13,mature_pollen14,mature_pollen15,mature_pollen16,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,pistil10,pistil11,pistil12,pistil13,pistil14,pistil15,pistil16,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9,embryo10,embryo11,embryo12,embryo13,embryo14,embryo15,embryo16
Chr1+415839,LOC_Os01g01780,19.89055042,18.64306655,30.29956191,36.71528,38.03826092,3.943701798,33.09191524,27.57325879,4.79669475,12.12329047,30.29414802,22.00240108,30.63505597,46.96813255,25.14814761,18.40750357,23.07083364,24.39630455,21.94733326,25.98275433,31.3248621,21.97892443,27.38385694,20.73741135,20.82809525,22.11648003,20.13263775,18.44099554,17.59162819,23.05425186,21.64936247,25.49568435,28.28564812,33.50719099,28.13194015,27.66344622,23.04760053,24.51337886,20.90503556,21.31998313,22.0655214,20.17631265,20.37699047,26.14144234,26.72280807,10.21971238,29.76865705,7.278365587,18.46475991,30.38997038,20.03339555,24.98314156,18.14568261,14.67676792,18.72061485,21.33578529,19.512069,9.754791572,21.74878818,23.63513155,18.28758985,19.15807083,20.78201707,13.83631795,16.93217575,11.70967429,8.833751947,5.905469488,10.91356355,9.237129605,16.34842662,16.53497046,13.43226761,9.380123495,23.6999106,31.58341141,22.81309631,9.297370193,5.491994272,1.839961714,23.03330335,2.13476143,9.316812794,26.80392833,13.36806224,6.683059288,20.30250805,12.23377025,13.44926881,19.68898143,12.69454952,14.91972345,16.46442436,10.76543913,13.43472949,11.10754377,18.04947246,20.47259829,15.63801079,19.15351981,17.41970035,30.86348547,24.54033168,7.411545484,18.37633767,21.40150251,18.75035178,18.14287416,13.56098811,12.83497351,21.19953667,1.717037675,4.100702936,7.227169334,7.600292374,3.908942206,7.456384552,8.863584808,8.127990395,6.831027132,11.23817321,3.342175338,6.433897723,3.757776026,6.757504632,8.333312964,8.422142078,8.113237214,10.76776687,8.297859559,6.946790044,13.30697141,16.8740084,15.24933661,9.924509219,10.01273328,11.93079324,15.0761722,5.054249909,14.10711082,13.19766705,9.552388902,17.21276572,11.31408651,18.71070388,13.45560393,12.64342459,10.9587885,11.51412732,18.17860986,11.73282332,13.30481627,10.84167749,15.60334809,15.67308749,14.41919378,8.152327525,15.66405064,11.08951225,16.1212566,52.14536684,65.6328009,55.4993982,35.47170679,46.43614208,58.68220032,44.32952237,50.44477693,44.4235841,46.38035285,50.80645101,45.9127889,48.31935471,56.54239935,48.84526659,40.78148449,2.637017424,3.289880819,0.316584562,1.715813518,2.691372892,0.275510176,2.504012789,1.854364611,7.307643869,2.068999781,0.508078145,1.205829948,1.85788498,1.137748589,3.915998827,3.436838061,61.89186912,56.4558663,61.73573759,64.86763053,54.90434671,70.19397038,36.90130625,43.65500716,74.41577507,73.52275587,62.05130838,65.20625604,44.09859125,61.34251498,59.82077609,56.34301361,31.31394585,20.07918355,25.72985298,25.20617939,31.59775365,19.92828232,11.46179193,27.54544812,19.13063757,30.96139879,16.0112016,26.20256185,26.90846819,29.0307297,15.18188676,13.93440326
Chr1+415356,LOC_Os01g01780,0.665170751,5.600681731,3.550773398,4.852650846,2.448198091,9.462937465,4.137294031,3.338692321,3.910771357,5.337808496,1.322234877,1.13453854,1.996027835,0.654774387,6.564661437,8.085811385,2.68536799,4.795801973,11.50402194,7.510667499,7.554761233,4.564577731,4.112401326,2.755992143,6.239966267,11.03872909,4.830269068,0.928475634,6.519842374,2.731704836,3.355961174,12.12919617,0.663016938,1.620847325,1.089537635,2.074072532,0.950222867,2.544075757,0.977318926,2.629275144,0.273112143,2.269024853,1.056172095,1.646616806,2.199679254,1.398730425,1.140871769,2.090968505,1.984903248,0.785365007,0.758449685,1.983648276,1.191467677,2.479605653,0.171708755,1.059268536,2.164072456,0.043070223,0.250098465,1.552051346,1.292593386,0.119461876,0.638943674,0.443659071,0.323931001,0.62681406,0.158778651,0.682543243,0.897732321,0.081448309,0.003758327,0.346919508,0.301175183,0.093454209,1.25307223,0.34919374,0.016355704,0.418289698,0.217717699,0.432187416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378534155,0.13379059,0.169225284,0.280809481,1.243977568,1.634814242,0.545127074,0.188532034,0.944788899,0.276729692,0.277061,0.486546734,1.196364546,0.957096632,0.679495115,0.398318325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.954028681,9.358401877,8.224701193,10.48210246,2.308174249,1.150475307,5.196501125,2.710411723,5.360449728,2.22773883,2.415453371,3.691419713,0.984428988,3.822557388,4.750385641,3.178764323
Chr1-1089988,LOC_Os01g02940,16.67621533,0.833406295,0.737507785,5.812205106,2.681589336,2.715023104,4.864133699,5.786343341,4.204445238,6.458992521,4.593314512,5.483594346,6.030855594,8.73248871,4.894854699,6.102149695,0.207795483,0.993452371,0.060357571,2.701149117,0.02014472,0.805735459,1.557211246,0.5349305,1.351592063,1.560809004,3.247793076,1.189230108,0.013066923,2.739285869,0.117891187,0.173983559,15.18149044,26.74565488,18.83301927,11.26053146,18.98193762,21.64903505,24.4700938,17.16226112,14.89458464,11.5524186,16.14552945,32.26106708,21.17079493,20.35072194,7.1362339,19.33144633,115.3529929,110.3345854,112.6905262,122.2844128,106.1226911,111.4469041,117.7013467,98.6532208,107.7799728,123.5236648,119.5848907,118.5703257,110.3299684,124.4480881,125.1365245,122.3491165,4.383391876,3.684029884,4.120241445,5.203054087,4.106920002,3.696440889,3.896881358,4.41747151,5.342725696,3.502938182,4.171941159,3.627603993,5.676464691,4.313390675,7.28367338,5.510720453,0.632682113,0.818908919,0.382561595,1.064836132,3.964068884,1.794858519,3.447019468,2.175505513,1.83829505,1.110353793,3.758462039,0.366439056,1.662924268,3.680362867,2.634547683,3.44285307,0.624779465,0.216703311,0.174527082,0.927281374,0.415521049,0.115280162,0.407520117,0.992320853,0.838665478,1.372891832,0.073178514,0.502608883,0.425011818,0.130219667,0.975918341,1.841051,112.9485838,115.2646588,119.6872518,115.2009161,106.7950362,115.6937618,100.9460357,109.599689,119.8793145,118.5984572,112.8115348,117.2210546,113.8842098,112.5516556,108.2870136,112.0723553,33.42457534,32.84229455,24.77025189,33.27374738,27.24768269,36.75945263,27.50734516,29.55573998,33.71595966,25.88921665,27.04229456,35.91880409,32.58186092,31.96025204,28.26886562,24.94812439,25.74463981,43.6373427,36.71758547,35.49060135,44.1563973,43.86898972,39.31651093,35.50060451,21.91476159,35.25704369,47.79972615,35.70647715,42.27109297,42.94472453,34.69631851,34.14258688,37.58437131,45.50623713,40.88382179,39.21918491,34.55679431,46.13231636,45.2709712,50.65629702,44.10971914,43.84026835,37.83764979,48.02300126,45.94222677,49.64288692,42.34003566,43.00272317,123.9233421,142.8171599,75.18043523,4.409199302,88.62648461,33.7912799,44.54026744,7.335813199,119.8549598,109.080809,93.4391332,23.23061707,45.22425494,56.70643489,67.42561896,143.2169634,85.32470659,88.95015867,67.59653616,75.54432186,111.7775177,80.33531711,68.98439426,87.47324573,70.57520841,66.95759348,57.11053327,76.70728631,75.9070114,66.77769981,87.00742033,77.72252445,4.6028354,13.58395089,7.676199818,13.81259028,9.65033292,11.15907547,1.224761195,11.08235011,13.26860001,3.777445081,17.42890801,9.150862375,15.50982212,20.71355092,12.68578885,15.20457574
Chr1-1089872,LOC_Os01g02940,26.1525779,26.18173267,10.73466203,22.38931647,35.66604892,18.71350862,32.74626732,27.89970933,21.20564714,17.21750146,15.28596734,26.52316378,23.92155215,10.11692947,22.81953927,17.56579423,4.358438235,4.979642756,4.253888757,2.372583633,6.431547002,4.954801414,8.484298704,5.934048941,5.04177767,7.80470602,7.192632502,5.817324549,6.60425396,5.775747845,7.038233356,2.513035775,40.19971139,33.61546918,27.88897711,45.53862841,41.58472044,38.18867453,39.44345667,43.77918535,33.76421898,29.02745511,41.23395758,18.64934118,43.28374857,34.89504027,41.40404762,27.90555663,120.2345981,126.4189348,123.5152531,125.4588771,125.9302042,133.5136741,124.6698589,121.9580325,134.487327,117.198517,125.9303257,121.6760324,121.1142563,123.2745641,117.4782213,126.1564532,21.5548786,27.79856334,23.07702044,11.72729275,8.113500867,13.11467313,15.35580985,24.24774521,14.09894692,3.899813468,13.25690917,18.19009998,25.89271851,17.93554661,14.57862586,23.62187648,2.427856178,0.518256691,2.555209709,3.522695038,3.080372528,4.262992931,1.579649253,3.825517115,5.116725571,1.966251976,0.806877661,9.234389182,1.46058272,6.392236921,3.966500474,1.86042635,1.838804177,1.839539553,2.251881595,2.255108089,2.633658408,3.017219835,1.697786113,1.621805212,2.484742295,1.80866637,2.851896572,1.673125797,1.296338444,2.442917664,3.008332692,2.614020006,108.1822547,93.8545076,96.83859614,97.61778232,98.17696562,91.94857403,95.11973477,109.9817708,86.47216342,88.38368946,85.38358196,113.963991,95.99305673,103.5028775,100.3062613,93.36599868,37.87394796,39.07767204,33.82776873,39.93503206,40.39024933,38.07036179,44.33917485,38.79186624,39.79799469,40.2391175,33.21946887,33.74036046,32.93983894,30.25699769,33.67783526,28.25784428,53.20389185,71.96729892,62.95400701,48.20680826,65.2706224,48.949287,57.63457713,64.45392584,60.50814802,46.70372143,64.75042835,51.54744604,61.58901528,55.4469036,57.55640082,63.76574135,54.20620282,21.14705075,32.94564677,48.86060279,51.01036246,54.51484807,63.26146082,57.38954686,73.02045326,48.00080551,41.46496045,49.14100363,51.53881146,39.20067035,31.04857508,67.20204253,13.82475404,23.52133362,9.682470546,15.71939059,11.33295905,4.386782757,12.95874835,6.862423597,17.23558776,4.59358396,38.57469001,16.32042107,18.46261815,5.981848111,33.47954873,33.97802276,92.52816651,87.52673893,108.441393,88.31460456,130.9976804,82.15414554,76.87966223,112.5301149,111.2791927,84.19926195,120.2948414,60.25016857,110.6550726,90.99147581,94.37434994,99.51857754,22.27604215,20.4770781,19.40891361,22.14681791,18.72206939,20.52411535,20.5902198,19.52286002,17.73340778,20.57942411,19.56433836,18.24473688,20.35742058,21.71392156,18.60015395,19.52227298
Chr1-1090107,LOC_Os01g02940,1.112977565,1.097457951,0.179242922,0.141652792,0.488668212,0.652532818,0.548888833,1.034743771,0.287878096,0.269257719,0.652768701,0.985052391,0.332956476,0.655299495,0.674740917,0.551016862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.840137933,12.41239668,12.13153004,4.773041614,4.346464803,9.610285689,7.338492574,9.370355093,12.94066289,5.168637095,9.15287551,6.66744937,11.45617251,2.15792754,6.606333629,7.839525599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.46814821,16.68533101,10.9057008,8.186867583,14.10324488,8.254435398,8.770571579,11.25748689,14.75571667,18.29755656,13.39189408,14.19903533,14.52722976,15.86811501,7.638587902,13.2919626,8.111405189,8.033063578,1.0512345,4.328182233,6.737289029,3.248972931,1.812502747,1.536767851,9.700123461,13.22257072,8.898324764,7.420075435,6.826262188,9.683113543,1.314089362,10.28679626,1.340620117,0.605867301,0.28332281,1.852739678,4.219869714,1.785763915,4.037799705,1.763992384,1.899205168,2.470114208,1.873515748,1.033920624,3.003239774,1.242076129,1.472708219,0.266662169,3.087224774,1.39042108,1.574634047,3.240997277,1.099468274,0.955407541,0.638546767,6.119276957,3.925521132,7.084399639,2.517496783,3.5657683,4.423462363,1.30356063,4.871711995,0.738713735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210378793,3.418356629,0.719458914,0.026334866,1.773994208,3.335238167,2.824715047,0.797037842,3.834185252,1.098038936,1.454960327,2.160458007,1.570352501,4.506127985,1.785577804,1.098527141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,10.99500242,14.32225138,12.58601648,9.570245009,12.51107645,13.47547856,8.796936012,11.32603796,11.4363009,8.491213336,8.387308938,11.06653601,8.97365129,9.497392815,10.85697242,10.17561016,14.46370598,14.14363701,9.605653725,14.06426465,10.1357541,3.90754202,5.133826331,4.376293413,7.012600583,5.596590289,13.04823814,18.30207141,8.006842636,10.87879519,19.42922543,23.5010396,0.097279103,0.495944501,1.115732479,0.882191601,0.258376341,0.62768343,1.320222269,1.069917581,0.646228166,0.553273628,0.540406354,1.052491587,0.942759332,1.461536835,0.111986108,0.949157365,21.21490918,38.22880511,22.70175645,8.411543485,37.06226567,28.83431425,24.41819096,32.15335851,31.56723244,33.17559583,17.61464954,23.93013499,25.77977205,20.20003275,24.85021743,25.15114365,59.11540753,49.91982558,54.51771371,61.35340187,54.73436392,49.25293549,54.92951169,45.82393972,56.61624461,53.26372333,48.82167013,46.43610511,48.67256626,47.31105851,50.20036935,56.86763789,22.59288336,26.69241555,27.98372135,27.87857631,28.46452998,24.19618608,34.72348973,28.73917388,23.03689178,13.14929938,22.04297965,30.86003544,23.55678359,26.52624391,23.42939761,26.17922764,2357.081074,2397.612134,2458.843335,2080.648266,2308.299962,2021.994966,2175.409569,2433.759045,2131.890975,2282.768702,2272.147245,2126.585027,2257.606939,2688.163692,2205.553063,2325.347914,21.28368123,24.01835489,28.50314598,24.22887231,24.75486264,15.20834972,22.23520323,30.8708448,16.86348876,18.17103451,19.36879254,26.40381193,24.35592146,25.43458048,18.35353439,9.324364092,619.3867198,367.6793646,373.9177565,457.3703214,519.5810353,465.9796733,417.0473851,515.2247722,491.6940587,497.7753181,518.2367442,435.9617623,426.2856653,532.8318007,459.3233663,608.5044117,280.0393017,283.7313944,374.375138,182.6478388,547.8019947,529.5715127,494.3816451,481.3275026,357.3657378,286.1763582,199.3616071,439.9586616,343.0368847,522.880754,384.67027,443.1931974,269.8500943,299.2676165,260.0002433,238.5300691,183.074361,262.616486,198.0481933,286.776847,242.0984009,230.7099727,229.0684022,270.732516,260.6434885,220.7625832,188.6128403,201.1242839,2124.734086,1509.836881,3033.411652,1156.304604,3263.151273,1083.018611,858.084575,1913.372503,2064.27706,1051.466787,281.4809455,1646.937283,1409.673951,1734.253456,653.5659628,228.6004245,637.9299721,612.3881985,831.0406846,722.8900534,602.3979863,663.630192,649.4821559,735.0511657,631.8750151,613.5487274,735.1154077,821.4472821,584.3783651,779.9507908,712.8635966,907.6243964,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,3.936927279,2.424132562,5.03899294,1.565405253,1.71892611,4.704620216,0.733250435,0.122671638,0.293275017,2.213386649,4.055788028,3.889264209,3.606960017,1.092073976,3.457902013,2.783599388,5.031473376,2.393895106,4.276811356,1.851430226,1.678961806,2.818094445,9.053372209,3.624188796,1.093619507,5.072029124,1.042541587,7.021583131,3.596479426,2.606877276,1.689132576,4.482464892,0.736364407,0.254960537,0.331222676,0.604770566,1.914960327,0.613518565,0.051756269,0.004638938,0.219531855,0.75632111,1.253468557,0.467684006,0.433227109,0.167181116,0.275226328,0.789312567,2.764212263,3.013517832,4.74808063,4.537709948,4.026610775,3.854973324,4.907586054,1.64705266,2.465899745,5.560493086,6.24416744,2.550907162,3.789315854,5.239973294,2.549231428,3.060594011,13.27189126,0.33986157,6.375483138,7.325646678,11.48418556,3.61465649,11.23595691,4.087038575,0.998428163,11.2435422,0.697807242,14.27395826,11.20738232,8.94236125,5.519881342,18.08746056,5.487628027,3.984408558,4.745592855,2.147282264,5.667326343,1.664314205,2.147601229,3.267156352,3.04517613,3.726569063,5.407905605,4.357390099,6.219282775,4.805951731,4.7010103,3.132184653,319.2583167,319.8729193,328.8637857,333.5641751,321.8813557,334.9972882,321.2933016,335.9846685,330.307911,317.4673689,325.947617,330.2155207,320.3250504,314.1767726,334.6635378,324.2712748,1.957270245,3.280123705,6.322782138,5.28847369,4.845111985,8.275667565,5.117410362,0.935789398,4.821141891,3.009262086,2.898766507,3.927659699,0.394549935,4.826148558,2.36307337,4.261648739,94.54591743,99.36821531,100.1488708,122.0325772,87.26500881,90.53047478,127.5619457,90.09271242,86.63191507,108.1739657,80.47218082,89.65243817,107.3746498,114.8601519,97.56144687,114.5130251,111.7816257,77.2735959,75.25255947,109.4747233,85.10233457,103.5962219,97.18069144,92.89400788,76.17901241,96.79698283,81.51745041,52.34123615,89.79215816,105.4618763,71.42639682,105.980999,43.01062785,69.15617914,53.78634176,36.25916202,56.43597832,65.62981076,84.58651356,41.25555649,52.85960701,50.59433977,46.26626363,54.58067767,59.70077299,37.04034796,40.5640878,91.70009038,33.90745479,42.08712107,54.71279348,3.040732965,92.34477606,13.35335637,3.95533699,5.452966312,9.511951055,2.53410618,20.64713796,8.051975611,49.53771934,7.182338708,59.77243642,23.33455763,180.9985881,178.9309081,188.3978695,182.8553661,176.8307142,164.0954941,191.9774854,182.5404333,175.1175117,189.1912793,189.3098847,176.8192029,176.1917338,178.6329094,182.2345804,156.2684984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,63.23974749,42.8379994,81.83291973,80.89992675,36.05070719,76.0261479,46.21622096,56.72249011,77.95446922,54.09703455,44.36864897,92.57999379,48.4243156,78.58072319,54.85873933,86.06044285,60.68304746,60.73289887,62.50285622,58.80430087,59.37956364,60.13068134,60.43940395,60.30212689,60.3787039,60.98060723,60.2265597,60.55625308,60.99140443,61.3511643,59.43824644,60.75421352,50.43571517,80.56750058,17.47712346,41.67424512,44.82742809,8.734009306,43.76900657,39.70590094,51.35779349,43.66359132,30.11615333,44.73047843,31.17532346,42.87461765,17.1099736,25.49844624,27.06097505,27.97927294,29.79011926,26.29314649,27.39389819,27.05825864,28.04438777,30.00046589,28.29125638,25.74261245,27.35703174,27.639361,27.60247794,25.75621541,27.63097695,28.55235508,27.07103178,30.33866405,27.96944519,26.85143918,27.74555706,29.22334567,32.79874294,31.47226659,29.93932835,31.29077845,30.44283367,31.85072688,26.05125452,27.47785598,30.29082831,29.49266228,12.11649324,17.32092927,26.79950916,13.80707129,23.26751071,19.18773267,28.06858521,17.51100655,19.48959565,18.85612077,16.39902663,20.60733578,19.87930441,18.92684643,19.33715614,17.17854374,15.81997141,12.08748746,14.80869223,14.87638006,14.93999223,20.3311941,19.70469334,16.69357068,21.09614966,16.23427417,15.61073578,17.10457341,26.65671023,20.97726629,22.57385727,20.06721271,18.08811168,14.98563827,19.39074781,17.69154579,15.49859363,17.05583559,15.6254681,17.03969734,16.73440096,16.68699601,18.53392789,18.46319645,15.50405268,18.04393233,16.41927749,17.79207874,30.59546369,11.95388896,23.05749379,26.27614049,27.21525629,20.81289134,19.08531035,24.64597433,26.08404399,28.58452516,27.04721927,18.96386544,31.75012625,23.02719478,12.28704419,17.20889133,31.23261655,17.39491776,19.61151257,19.93772337,35.70691021,32.87739214,7.688867446,11.07950304,39.32307,30.30938598,22.2290041,13.61230607,18.22882916,28.49492936,33.88763875,13.78785658,71.42162494,63.22031132,59.44021057,74.31408769,73.27863622,79.22235527,60.57706886,66.13873506,68.5034681,73.66274198,70.76157872,51.70430338,82.42501293,80.07398351,80.15188431,70.34506033,26.30179417,46.59073341,16.78204098,29.81352972,28.33726515,36.49843951,27.16916429,18.13160663,32.80739125,2.475329877,14.543933,15.90535157,39.05105371,22.73478564,39.02856983,27.85992771,9.524718861,25.51549936,27.96052009,16.6123365,18.30931501,27.44157413,19.49403711,30.92648343,21.93685269,30.70237657,14.17428463,21.54957605,22.89645738,20.44543366,7.837978292,19.11735379,117.380451,89.4710153,47.48356529,75.36966019,97.41238853,78.94562355,32.77854514,150.8146197,125.4390066,84.21266008,79.69450154,53.56640569,155.7019831,62.52133959,80.83820785,162.2517138
Chr1+2792379,LOC_Os01g05830,12.77145751,12.68502606,23.77861682,10.87101526,14.34950225,12.26398935,9.770104361,4.508393727,14.3820512,4.714103132,6.877880388,2.131372716,8.207036354,3.565416706,7.511939147,1.78146598,5.256088774,5.852684238,2.486655498,0.063691986,0.642896894,3.805666593,6.002294917,5.732726037,1.475875787,3.931182864,10.65150514,4.076131934,0.816849449,2.996748297,1.080150698,12.334132,3.610943462,4.570571429,3.788904838,4.483449271,4.03548948,3.546804059,2.900961274,0.966804934,3.860567338,7.990266185,5.692067232,3.003882385,5.069579672,0.05514749,6.189191178,3.705550588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160282523,1.010209895,2.342697675,1.18540133,0.785134502,0.779549536,0.349912989,0.271401946,0.473676961,1.386714886,1.113874628,0.513342099,1.037786604,0.501415512,1.050294285,1.181528588,1.029042786,0.91027964,0.057480123,0.284726652,0.262380628,0.967363774,0.730347503,1.05895793,0.283467237,0.196160126,0.74752021,0.805735351,0.531440322,0.484861089,0.458039571,1.25379259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130532091,0.271090552,0.823431018,0.114981147,0.356130694,0.563378914,0.240068232,1.048989077,0.624202481,0.955386485,0.180021537,0.291484996,0.094995068,0.25696026,0.225672006,0.218856251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353225064,0.122886883,0.302555343,0.605736871,0.220824719,0.750531406,0.855257353,0.707257837,0.155166777,0.054090816,0.21470743,0.233857975,0.438050661,1.28562475,0.388683189,0.390931636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74330794,3.089520697,4.749861948,3.748642532,3.518229686,3.215105065,3.078269429,3.596596953,3.139070721,3.023146888,3.974784008,3.592335125,3.561055005,2.651279747,2.336433636,3.970994347
Chr1+2795858,LOC_Os01g05830,99.12289065,63.11743521,15.86875888,76.34491505,46.66102563,53.82146515,57.55716067,40.04832886,75.11135447,46.91178435,39.57704036,52.60255963,54.28080701,34.05001186,55.82919862,72.10571034,124.3456679,94.89590732,90.13479095,103.4469477,64.708137,53.2814054,99.31487928,37.77455768,63.33257703,81.50907314,81.04030376,68.31286011,87.27595038,121.2649526,85.11796017,57.00884528,68.93179085,70.1357011,74.08606637,57.26898161,76.14335874,73.99095282,70.1319161,56.87760989,68.4007373,66.29216139,67.26868471,76.10912856,62.25499492,72.761857,66.96384915,64.37560502,20.00617993,22.46995563,25.36793215,23.75916796,18.64946612,20.77863796,24.30079704,23.06402223,26.67682538,16.35953437,22.86163768,3.166715958,19.00391155,13.15162614,21.13944589,22.9480655,70.70182264,94.48178752,58.36653302,86.86569916,45.175011,68.39931238,105.6846113,81.65852235,66.28154244,72.83480254,61.61094042,108.9072506,4.799773101,99.82608251,44.90314633,65.95113793,40.56878453,29.82549089,30.65124341,30.91867537,36.5439124,30.58524857,39.25678008,31.86864161,31.75378492,27.92921019,25.90883423,38.72293979,32.13928155,34.75255962,34.06716874,35.34277121,44.28092194,29.90812482,40.1890502,33.93808965,25.0817575,34.00833967,25.34046911,32.39330423,36.39048307,33.03790222,31.56143568,28.37835084,23.54432176,27.74379032,24.17889318,28.13647167,33.15789494,36.76013467,34.72647546,19.17781232,27.12323941,28.76020402,38.18358842,25.27047718,33.17199449,38.30411342,25.52353669,33.75574282,28.3413738,31.37222553,31.47763743,32.10055311,34.8955309,35.76712166,40.07632545,30.55970507,34.53440399,32.90751237,34.84676404,28.77332325,35.46151013,36.04861635,36.25169222,42.48387687,36.30760891,32.85337017,37.20571453,38.54350554,26.23357489,7.214597458,7.145758093,25.20994617,10.67059959,12.01033064,14.79731557,22.55541442,12.14742269,6.349942605,4.881766908,5.37786589,22.77217101,21.89878681,19.91601314,36.82855062,27.16525257,27.44228038,24.54278263,26.63914487,25.97781211,21.63502797,23.79762996,26.69510028,26.31275312,26.39586156,20.86656208,23.26248553,24.33494226,25.11537203,28.99815324,25.85451349,2.436153349,13.00981611,9.170493963,0.747665139,3.739204677,5.612042472,5.091609979,13.96132773,8.98285941,28.63378226,26.29851502,8.071487395,14.8269411,12.77530055,17.48834502,4.02500801,16.84927488,5.25343007,12.69936861,15.88051493,7.507942231,15.88261427,19.470113,11.7440511,17.91174372,12.4626694,11.39945383,9.335645953,16.86677586,13.85019929,8.500529927,9.743216231,72.4040404,69.39686765,68.61928147,78.86738984,70.29796428,70.51107876,75.55892949,75.30521166,69.65504341,76.94967287,66.63963158,71.11115304,73.35592101,72.24345612,71.69332579,73.2758771
