chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,dry_seed10,dry_seed11,dry_seed12,dry_seed13,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,endosperm10,endosperm11,endosperm12,endosperm13,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,imbibed_seed10,imbibed_seed11,imbibed_seed12,imbibed_seed13,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,shoot10,shoot11,shoot12,shoot13,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_20days10,leaf_20days11,leaf_20days12,leaf_20days13,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,leaf_60days10,leaf_60days11,leaf_60days12,leaf_60days13,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,stem_60days10,stem_60days11,stem_60days12,stem_60days13,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_5days10,root_5days11,root_5days12,root_5days13,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,root_60days10,root_60days11,root_60days12,root_60days13,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,husk10,husk11,husk12,husk13,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,anther10,anther11,anther12,anther13,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,mature_pollen10,mature_pollen11,mature_pollen12,mature_pollen13,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,pistil10,pistil11,pistil12,pistil13,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9,embryo10,embryo11,embryo12,embryo13
Chr1+415839,LOC_Os01g01780,23.14044431,27.56180436,18.74853202,11.40093299,29.61998616,5.83871772,25.38471287,29.53238839,15.67832902,11.63928299,43.24264818,26.14468149,18.03738394,22.28956352,22.54050614,20.47787103,20.6238935,19.05538484,21.78699641,24.36814223,28.04532096,20.29910325,12.98963732,23.76720556,27.05686048,31.96020059,28.39835838,21.17809063,25.13423064,19.34547258,21.35242397,20.24044671,29.77283298,20.17501649,27.03691864,4.469130437,21.97701727,24.11850182,26.49662111,15.20563069,25.96273562,20.90335115,14.32421596,15.19153327,16.86970446,12.53080722,19.34963164,17.74804985,23.06597712,13.42462216,17.83169477,20.60828748,17.02776185,26.57933074,12.1701225,13.45063313,7.041550354,5.943251529,2.447270241,17.8390081,23.43063752,6.621504369,7.818472002,29.10256601,16.83761404,14.28912433,6.036759285,14.79031662,14.51560138,19.82437009,26.03814646,5.02302348,11.08404615,21.80976934,1.488808753,15.2325962,9.794817209,12.59146001,1.232697982,8.750572173,14.94935106,17.05839737,36.33351456,24.64013794,21.38202217,31.34313809,20.60630539,24.34996064,8.237290125,7.384828005,12.73448023,6.529877445,7.99361716,8.571396297,0.271745922,10.11591023,10.0001751,11.31543059,9.047992439,5.985412861,9.978616961,8.054624791,12.34557858,9.396933706,14.38467685,12.41527051,13.5221146,9.393080425,15.47666667,14.44417552,9.745224381,14.69104502,10.93447714,12.56794209,15.40726514,12.36780506,8.993494085,13.28590093,13.87302687,14.95163213,14.74883593,14.42077643,10.13257966,12.09638834,11.19220751,13.00142695,9.489900102,12.57016317,15.75992143,9.869907261,44.43676638,39.06380134,42.84869754,58.69912824,35.53200887,45.2154524,52.76598687,52.34240493,32.16417237,40.03547586,50.21553149,43.7565179,49.12721624,3.227961025,0.716072436,0.779137144,0.174781786,2.192339044,0.071456877,3.019180213,3.195296734,1.745652123,5.850582823,3.848525001,1.372339366,0.357507065,59.63120677,62.95331177,67.8381648,57.99359264,63.25910571,49.31986594,55.07696443,41.41140331,57.23202568,61.59947556,56.37802741,62.82448949,45.48777663,16.43279836,13.3675213,17.3598576,24.41449815,22.09962956,18.49797591,17.47246174,11.97116325,15.34950101,26.51886929,15.77386553,30.99212797,22.71152464
Chr1+415356,LOC_Os01g01780,4.259351047,6.406264805,1.029103623,5.198341484,3.674589577,7.712159135,2.254879182,2.45924578,1.573504183,3.430493732,7.895736985,7.465882251,6.24129639,3.268187282,4.000404649,0.897568134,7.325380274,1.446299973,7.973443914,8.062704032,8.713813481,4.110554386,2.075127201,18.73075093,1.092224424,9.119939154,1.108342333,1.254054535,1.659140441,1.903009409,0.019861382,1.026506353,2.084385486,1.080179906,1.672843593,0.760786697,0.339967116,0.924626346,1.314171408,0.843234385,0.15589266,0.156169244,0.422901187,1.176745577,1.352180336,1.763776743,1.425658759,2.043288673,1.940777295,1.893045462,2.708122302,0.552310928,0.021199562,0.694342445,0.569122672,0.897938426,0.825499802,0.308014295,0.051529596,0.134137974,0.588052592,0.185065096,0.309053198,0.781908932,0.626684833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.381089307,0.048104041,0.539782455,0.190706095,0.100456078,0.84816264,0.931014305,0.189946085,0.174478705,0.29207314,0.173563663,0.298417186,0.019009049,0,0,0,0,0,0,0,0,0,0,0,0,0,1.467478241,3.577298069,2.049455986,3.542279458,0.397502848,1.536682948,4.386839864,0.780007716,4.11824804,5.566553532,9.339999709,0.054658485,7.783435563
Chr1-1089988,LOC_Os01g02940,10.34428826,3.822004586,1.676611665,7.446187865,10.22786919,11.78549546,1.251477773,10.05817445,14.12083342,1.519388487,1.930556386,1.953011352,10.06446997,1.214048386,1.927394395,1.807213064,1.382350301,0.103683836,1.703228767,1.652377674,0.443598466,0.498508573,1.920568615,0.43429461,1.739140038,0.151801722,26.21962248,20.61351407,25.22461421,17.56638185,22.82287666,25.30732323,30.59693866,24.99217355,21.73550635,21.13267605,24.35762609,15.81693325,13.59704559,106.6046583,105.612706,116.7270521,122.1098685,107.418595,118.3365143,119.5179739,115.9929502,126.1265097,108.5722793,125.3516699,121.29126,129.497825,5.023612343,3.639020666,5.157933089,6.54978267,4.070332061,4.521195734,5.559756558,6.054774989,5.079160231,4.636951283,6.782607519,4.925362578,4.822958653,3.186020683,2.283436468,3.30018457,2.766079434,1.501868457,0.553691216,1.766325605,0.17768317,4.037295415,1.636302309,0.199389153,0.100695129,0.262702186,0.086323191,1.018379065,0.846627108,0.14170265,0.779141839,0.317546481,0.73061065,0.17907512,0.200212532,0.862813309,0.023696709,0.306035395,0.075098971,111.0408787,108.2944953,115.4841107,104.9494968,116.4004649,113.4927383,127.8360164,113.8138789,100.8130022,115.3141947,110.2288036,102.8482372,109.3320208,42.8333188,32.73866611,25.94937055,30.18167718,23.36507205,22.18026067,36.6107129,29.29576278,36.7313273,39.86586924,35.99455041,42.4033482,30.95816296,31.23096338,41.65814023,34.92226698,37.99954309,42.83879728,42.41654782,26.25790678,48.85102737,48.49423723,27.79938021,23.27482887,42.3386303,40.1665164,35.15518309,40.80390148,44.10440753,48.73044199,41.57871329,47.53578895,35.15068716,38.45784328,41.56575124,33.26667244,42.03763153,40.76554724,37.72596804,45.61243118,1.827958009,41.93448924,11.6073444,107.5184442,8.123450639,23.2289338,121.3910146,21.97179069,39.39809106,62.71934699,29.44112427,70.92098538,77.13413144,86.32266467,83.71381685,94.61540074,85.03363197,95.82255065,62.54720189,74.08003756,103.1087407,57.2793749,100.1097336,55.35090575,81.48897265,6.626238545,1.212778426,7.867747306,21.34892704,13.16944518,8.234017243,12.36270894,11.56435302,2.7488288,21.88056742,9.904953165,11.59767931,25.19989661
Chr1-1089872,LOC_Os01g02940,29.91468129,13.89171758,39.97587468,17.73583708,30.64058665,28.8108564,37.49712927,27.27770075,26.77867159,16.04709407,32.21426095,14.39855467,26.17045796,7.34491557,3.691853554,2.290507056,0.172562764,4.202286296,4.540475991,7.276394353,8.764470727,12.27258875,8.135128619,9.558891057,4.348184347,3.687807117,22.87513833,29.00783462,47.01705778,40.0793935,44.67800131,33.69713461,40.03063103,33.03909273,44.69030866,25.19953209,39.87271994,31.32110437,31.23190936,126.3398949,120.3649889,113.511692,125.909006,123.5942942,131.052984,132.3864069,123.1266983,127.6292855,126.7336799,131.8416536,117.3273299,121.5471119,20.16844602,15.99154541,19.22988124,21.31235138,26.64969807,7.587272643,18.63276899,21.86492744,21.23646113,27.92353932,22.81221512,23.13377,15.05147686,0.58658568,8.749175113,2.978305638,4.677131751,5.332965651,2.329247111,0.873370391,1.015365826,0.90078839,2.410124097,4.640110793,5.705145642,2.939457698,2.88470792,2.303128549,2.542545837,1.862092861,2.475707278,2.379795885,2.83838161,2.103100949,3.072206694,2.386197562,2.404575556,1.809901146,2.221316897,115.5527535,107.2421149,104.3316414,94.27263023,115.6590646,108.1179932,88.9654128,99.25667611,92.55878748,95.6414732,78.53813704,105.9485632,88.32519255,29.95533935,33.97835775,38.74842167,13.12127863,33.41739342,38.30995767,33.83868721,40.73242675,41.23396195,30.71935221,41.77971085,38.65069936,9.145295733,67.72839409,52.12612642,57.53858232,49.57065497,50.88704068,62.19420697,42.6460825,57.36447742,57.74351589,51.07021952,38.97312233,51.76998534,66.89685914,37.12126958,26.88693918,56.45239362,36.77715729,27.88412779,60.90105656,42.69161121,33.2805341,39.21140834,59.59608847,44.93072912,25.32376738,40.63848294,21.33929734,47.78735205,40.77329333,17.17006257,5.963994226,27.01603983,37.72303907,45.55853439,5.706683649,6.283611775,9.784642801,27.08186362,25.14359094,110.1122721,82.94606766,99.51327842,103.333415,81.39954661,94.33080958,77.58957112,95.87889824,65.47544492,100.6515099,82.36964401,115.1573217,86.83199949,18.19291419,19.5445058,21.32424644,18.12530466,20.34192032,17.47523754,17.09972359,17.81757133,19.66728159,18.97036803,18.33741389,19.42058589,17.77892411
Chr1-1090107,LOC_Os01g02940,0.405717699,1.034148712,0.216839059,0.354042134,0.130320353,0.050845736,0.271226625,0.330405351,0.72341565,1.090152184,1.259406812,2.010386001,0.669598404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.540805713,7.343512123,11.72079229,9.515490843,11.83060149,16.28053251,15.67963403,2.439687188,7.821009458,7.865343268,5.602305608,9.867388682,2.955759514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.42145909,15.10186267,12.48326198,14.6747222,14.60060461,14.30022068,16.41899626,14.71261918,15.68683487,14.8546593,11.95256178,9.225290776,12.89876807,2.391751075,3.71722034,0.812499263,4.621219615,2.700030732,3.19339448,6.119856781,9.534931625,8.781558337,0.145085879,4.059027107,5.303544397,4.580181483,1.694204275,0.529177815,0.636200079,1.637881413,1.794516675,0.318092051,0.310077547,0.172485859,0.363586557,3.410818817,0.91194209,0.525032924,1.055326045,3.04445792,1.393626215,1.756861114,2.247615681,1.387523531,1.557177976,3.434760658,2.628661065,0.156171775,2.271717768,3.412289158,0.767755029,5.415087544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912410721,2.105769935,0.603898687,2.013167894,1.120574047,2.521646455,1.827821218,1.69822522,0.953237748,2.473923578,2.060959043,2.079381396,1.367659496,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,11.23632665,10.945185,11.69924105,12.87017903,11.0673207,13.51374125,9.107572315,14.98508872,8.008416976,15.00661268,9.758407463,8.07621974,13.16652997,25.76397367,7.977779658,11.7454285,18.94301624,1.683799325,15.84932995,1.496806174,11.25948544,8.941253073,13.02479793,23.63292511,10.02761896,17.340867,0.505548611,1.141776905,0.029843817,0.60979447,0.038462164,0.515720425,0.373308329,0.932206049,0.173411697,0.080272024,0.321790512,1.442076945,0.354364494,24.82869216,17.38457159,11.8917706,33.62968389,9.837329166,27.48319095,36.94334915,33.51947847,28.2495132,23.98194628,13.5984057,27.91413238,21.50308572,56.6473165,57.67069584,55.01266585,56.82684815,61.98287805,61.62828284,45.14317582,52.52273409,55.44063614,56.19346882,53.57418941,55.13567792,52.35365238,23.11501396,22.78141427,11.99406378,27.11842968,24.80539125,16.20957206,40.27019119,9.353419471,38.91308093,27.2893197,27.96084543,29.57655247,46.69760155,2019.362759,2107.725633,2146.312319,2170.876837,2117.807446,1979.898588,1943.766988,2403.071475,2267.121153,2303.172339,2536.972664,2203.729289,2033.74255,15.46663256,38.57176531,28.18526573,37.63131986,28.61932613,16.78860705,18.35610314,20.36503504,33.74112825,23.25645585,28.79436325,24.32771312,32.58760202,436.9245104,417.2830627,410.8549742,410.9177861,444.7734791,490.2210928,494.5758979,475.5815651,412.4520366,487.4983186,439.3081276,582.5009768,644.6373198,391.3385238,323.9065297,415.1106746,319.7988181,341.4313737,368.9786714,391.4179571,577.9403489,351.1626645,410.6713656,390.9503491,552.4432101,388.285562,264.0979345,237.0429019,252.8644779,213.2525618,259.7759577,228.1376894,249.0163235,271.0427734,261.3687943,262.9154378,231.1810063,253.8500737,278.0336401,504.8454207,2138.527332,436.6530953,1762.456138,1965.552135,771.1870138,238.2513875,3161.004723,2051.9781,699.8111251,2216.583349,1832.84116,1034.3865,923.418471,621.7253003,694.8257503,722.4582033,674.8311644,494.0026195,604.095969,726.6488129,768.1827517,656.4682271,539.4672904,515.49192,409.5938027,3,3,3,3,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,3.307801168,0.157376791,3.420239662,0.620472117,1.056242159,2.09604191,3.843802696,3.948420986,3.235550679,3.431046216,1.274270522,0.446498461,2.821549177,0.810674359,5.149954347,4.963742045,1.8260862,3.870356969,6.687560584,2.458830926,6.571610101,1.220961163,2.89273434,0.978108755,0.678454916,4.532238849,1.479932482,0.925989055,1.69562383,0.737977132,1.892549353,0.824526245,0.974039726,1.169180144,1.163510184,1.450783201,2.092728541,0.687936102,1.792350586,5.553174338,3.071292444,4.386663307,3.275931332,4.407961092,1.70744836,5.789269021,3.02219331,2.835570047,3.970755931,5.032047884,3.140267483,3.044864191,10.97595585,5.54759267,8.807356121,12.88424009,13.42675764,10.95348143,8.83213211,8.989907069,2.986153569,8.057995995,14.96848848,13.2340321,6.244562938,3.294373389,4.55862536,4.464306505,3.186687705,3.0470141,4.0030707,3.931942476,4.053109671,3.33261352,5.219888748,4.677798252,4.199966062,4.346559447,332.876606,328.6850302,339.1708985,329.4799941,329.411537,334.3088388,318.8671018,331.0442816,315.9510573,323.3935082,331.0081968,326.9116929,333.1043039,5.754708996,4.228743895,2.974354028,5.531500383,5.35841828,5.857255509,5.266673934,2.61039848,2.447553063,3.78999185,4.233105612,4.133160317,5.418745308,107.8155739,92.59329356,115.2143495,97.75037394,96.6423266,115.3439347,107.8364417,113.6641849,82.23995317,91.1834414,88.57528724,84.85413123,91.08014348,78.30215211,76.46282081,76.73423778,103.3089014,66.28116647,107.9944225,80.3573954,98.37232687,68.78287359,101.9860979,80.89783532,78.08924944,82.74495621,71.31544003,62.48308193,50.49746742,36.2105553,46.94274807,57.29448025,60.00867098,59.75218631,76.99223037,88.31225814,41.62242953,44.81288361,37.68316965,60.9846619,65.88671203,23.87523428,6.002031497,81.91764758,41.56868744,63.34747762,0.034140324,79.5811571,42.06388243,37.22513607,78.24647057,69.62024242,172.297974,173.3090526,174.9200564,179.3852415,179.1105737,176.6108815,182.1883434,175.0102665,187.7550059,191.1021194,196.0586711,183.5366534,184.9316302,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,66.41356409,60.7016953,78.18746922,53.3449899,34.1474768,36.10789631,22.46980441,39.85068808,58.93949727,62.35166588,78.51418622,79.13301076,65.08065832,59.83413062,60.08883465,58.98448217,59.43106472,58.88258489,63.47655118,59.37302875,60.17220016,60.79524519,58.44098397,60.63666869,58.98779409,60.35334851,48.38634014,60.7812473,64.45064866,48.28007651,27.47962152,12.67074094,40.07125295,33.5065156,35.64766342,46.3472316,23.04564419,49.1420191,4.628298934,30.36424355,28.35648807,27.92852386,30.26642901,26.67324493,28.05925341,28.58625701,27.39783226,28.67966085,29.38282883,26.52970197,25.4004528,27.73431205,31.63951845,28.71324878,29.29719716,30.58788638,29.31797314,30.59221535,28.64761799,30.48955743,33.22338401,26.02102698,28.57494913,25.46154567,27.08286358,23.4198418,21.92418637,19.6274147,14.40912149,14.21139161,21.01452054,22.75313213,19.50048478,31.75197927,15.59569806,17.38483992,19.55166221,17.24204994,19.14640504,23.03231641,17.28508521,14.40086713,15.8798169,18.29235792,18.56101459,22.04783514,19.84866932,16.82028336,18.94315093,20.35311746,15.82873601,21.63754339,15.6458577,16.23343089,17.05866012,16.82618883,16.02306764,15.99768512,14.75869578,18.43418365,20.19818739,19.04920282,18.39637454,19.98673838,27.66820006,23.10229043,22.62383117,26.94795479,23.14852799,23.9350238,27.50276728,26.296792,23.98046904,23.49426574,27.71341303,21.23790578,32.29124746,10.84763817,32.90172144,25.09741859,11.93602715,21.66033216,8.913398943,23.98493537,17.5085862,27.83406205,27.11987165,22.74623086,29.69248945,46.14044292,61.80070698,56.50904611,72.68939788,68.60576933,64.49973168,59.54752616,68.24219702,63.64786964,82.49936847,66.55526008,64.81468373,66.94562643,56.61906889,15.04981812,19.53225552,45.37955157,34.07082758,55.31149698,14.03645481,29.29480157,9.477581972,32.91859463,21.86566097,32.14389284,28.83339979,31.11705502,23.5759585,16.17817468,19.99228762,14.23745118,19.96099075,24.45387369,11.65051265,15.23878039,24.06916894,26.78073646,20.5314667,20.01334983,10.4285646,110.328083,86.49486368,94.87031271,36.90651547,135.5696745,123.2189212,95.84498776,41.82613175,92.4661545,86.51244272,76.03498788,32.35185239,71.19231266
Chr1+2792379,LOC_Os01g05830,5.073535291,11.64574301,9.623102111,10.25965494,13.89740232,0.150776617,15.56288105,14.26737982,11.5559328,12.29525077,21.70904293,10.5888822,13.60857771,10.76599566,2.657968499,1.155267915,9.947016641,2.403792233,2.987846302,12.42720191,8.574400871,3.138811213,4.768171831,11.71905477,7.956181742,6.105963744,4.533859567,0.405363216,3.060397297,2.739579291,1.731134752,1.111980532,1.935782368,3.039492456,6.151374452,6.292097391,3.068534852,3.771461699,5.210032699,0,0,0,0,0,0,0,0,0,0,0,0,0,1.070972711,0.796412347,0.820976807,1.58624332,1.062470002,3.08732086,0.895570159,2.056170909,1.534150873,1.152610279,0.880726196,0.963261559,0.25272038,0.405828722,0.915343957,0.186585533,0.199246369,0.144537558,1.17386151,0.407667484,0.68657365,0.579906807,1.203473214,0.521928475,1.404168831,0.970708945,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0196684,0.53576881,0.181291453,0.577798821,0.191779988,0.826786046,0.248974107,0.080426778,0.11138742,0.205521369,0.581425379,0.253731609,0.541707441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756569867,0.829597144,0.399105057,0.980348656,0.570127038,1.320097008,0.627950527,0.550770444,0.381567782,0.749960189,0.135657851,1.442590293,1.120183305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99684403,2.877097262,2.595739722,2.773168502,3.039836544,4.243333825,4.190354545,3.604538596,3.908015895,2.859434709,3.393515764,2.585101498,2.119080847
Chr1+2795858,LOC_Os01g05830,67.50955241,87.30408787,35.93534552,48.42271692,50.14406619,30.97873419,57.82723157,42.85853924,57.2231018,94.09798495,27.87135197,42.17977181,68.89711066,85.37644068,103.9636023,109.0319696,145.2715867,72.15434378,99.09842969,111.1990179,95.93478425,48.16784039,116.3024839,99.05608938,97.788977,102.2549619,42.72745269,48.28321216,64.19418256,71.80634932,63.99997083,65.76900437,69.81400097,63.63497749,68.32486825,63.20493214,71.6695906,72.9095097,78.76052797,7.024441887,5.385766202,10.2074351,17.53678556,28.57396171,8.779860387,33.44719023,22.85940793,10.28296139,16.71544751,15.24101757,17.0140843,15.47929536,73.89964422,102.9809425,76.71643407,37.09536392,62.97483555,73.59363061,95.19237232,40.94766909,64.51264087,51.0328327,12.1050266,71.00139932,70.06074062,40.06061283,36.33477779,35.2513814,31.48345964,30.07189703,36.87173797,29.88314864,36.85282336,31.00938443,30.52460015,37.25096393,35.11451359,36.27296123,34.67399434,23.78012522,32.16606905,42.15524103,39.24542194,23.48398663,32.91317807,30.13719316,30.31011387,29.51727884,28.98156022,28.92239692,39.19061515,28.20755414,30.00988525,20.6217637,31.39688654,30.63580252,35.76457229,30.18738025,22.71281756,19.93424263,28.05187324,31.18883573,23.75099586,30.38457179,38.99147167,36.21393848,31.83747881,41.0225564,36.59480095,38.0848524,27.59106847,34.77865189,34.78215673,35.69494688,35.79577112,32.67758644,33.4202039,19.22565738,32.09014937,27.74643781,16.7368383,28.16163724,26.73048783,24.38986401,14.36919999,17.8311262,21.6567571,7.446967704,19.75868025,22.47187311,19.25693708,23.97679192,26.28364138,24.46742143,25.99648412,22.04629228,26.28510358,28.25689604,25.9758087,23.56330007,23.64280889,24.11518144,25.44239954,1.795596239,12.77829946,4.696077802,4.766436886,22.93045896,11.98739604,8.395543772,3.969280259,4.432227308,7.156990292,4.516799162,5.54710518,1.41306103,3.243613449,12.30017962,12.18967833,5.893971174,14.65628273,16.8261111,13.12086846,8.307068488,10.64813825,13.27668891,9.176656046,12.56342518,10.628159,67.21687116,73.72859635,66.96910053,76.31070978,69.18643466,70.23394997,69.36285907,72.099665,67.49124442,73.68723802,75.85225365,68.86657093,64.30679186
