chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,shoot1,shoot2,shoot3,leaf_60days1,leaf_60days2,leaf_60days3
ChrSy+235579,ChrSy.fgenesh.gene.33,3,0,2,3,2,0,1,3,2,0,1,0
ChrSy+236049,ChrSy.fgenesh.gene.33,21,19,19,50,42,47,1,0,0,3,3,3
Chr1+356171,LOC_Os01g01689,0,0,0,2,1,0,2,2,4,1,2,2
Chr1+371188,LOC_Os01g01689,113,108,79,76,78,72,30,27,16,32,19,35
Chr1+374561,LOC_Os01g01700,1,5,6,0,0,0,5,7,6,6,3,3
Chr1+374424,LOC_Os01g01700,184,162,197,211,245,220,212,233,182,138,143,144
Chr1+1856529,LOC_Os01g04200,0,1,0,0,2,0,2,2,0,1,0,0
Chr1+1856256,LOC_Os01g04200,37,39,83,32,45,49,38,31,43,9,9,9
Chr1+1856117,LOC_Os01g04200,4,3,8,7,11,12,1,1,0,1,1,1
Chr1+1855402,LOC_Os01g04200,11,10,5,19,3,19,31,50,42,17,20,19
Chr1+2608018,LOC_Os01g05500,0,1,8,3,3,3,0,0,0,1,0,1
Chr1+2601686,LOC_Os01g05500,5,8,9,10,3,1,0,0,0,0,0,0
Chr1+2600567,LOC_Os01g05500,8,3,13,9,13,9,5,9,15,13,10,9
Chr1+2609247,LOC_Os01g05500,4,4,2,5,8,2,0,0,0,0,0,0
Chr1+2612758,LOC_Os01g05500,435,258,459,321,361,353,149,153,147,298,303,355
Chr1-3667570,LOC_Os01g07630,10,1,7,2,4,1,1,1,3,0,0,0
Chr1-3671562,LOC_Os01g07630,1,0,1,0,0,0,0,0,0,0,0,0
Chr1-3667505,LOC_Os01g07630,4,53,7,24,16,14,82,78,79,14,13,12
Chr1-3713770,LOC_Os01g07740,62,58,57,24,50,54,51,48,48,8,31,13
Chr1-3718312,LOC_Os01g07740,0,0,0,2,1,0,0,1,0,3,3,0
Chr1+5412511,LOC_Os01g10280,1,1,1,2,3,1,1,0,9,3,4,3
Chr1+5412761,LOC_Os01g10280,0,0,0,0,0,0,0,0,0,1,1,1
Chr1+5412697,LOC_Os01g10280,9,13,0,3,3,11,0,2,0,4,2,6
Chr1+6029641,LOC_Os01g11260,1,2,0,2,3,1,6,6,7,2,1,0
Chr1+6029525,LOC_Os01g11260,4,2,1,27,12,27,1,3,3,0,0,0
Chr1+6270688,LOC_Os01g11620,48,57,64,147,110,161,287,283,285,2,2,2
Chr1+6270822,LOC_Os01g11620,0,0,0,1,0,0,24,25,25,0,0,0
Chr1-6575126,LOC_Os01g12080,0,0,0,1,1,0,7,0,2,15,15,14
Chr1-6572018,LOC_Os01g12080,0,0,0,3,2,4,9,25,3,47,48,47
Chr1-6572877,LOC_Os01g12080,2,5,5,9,5,2,1,2,1,4,4,4
Chr1-6572141,LOC_Os01g12080,46,76,72,54,81,63,112,118,120,361,346,339
Chr1-6725035,LOC_Os01g12320,0,0,0,1,0,0,28,26,28,19,24,17
Chr1-6724944,LOC_Os01g12320,0,2,1,0,1,4,171,176,189,109,113,108
Chr1-6725081,LOC_Os01g12320,0,0,0,0,0,0,0,1,1,0,0,0
Chr1+7092083,LOC_Os01g12810,3,3,5,9,8,10,3,2,4,1,2,3
Chr1+7095316,LOC_Os01g12810,4,6,9,17,14,19,130,131,120,478,497,471
Chr1+7576953,LOC_Os01g13540,0,0,0,0,0,0,1,0,0,1,1,1
Chr1+7576771,LOC_Os01g13540,14,3,14,20,0,2,102,102,99,829,813,894
Chr1+7575165,LOC_Os01g13540,0,0,2,4,3,3,0,0,0,4,5,8
Chr1-7623978,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,3,2,2
Chr1-7619138,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,1
Chr1-7618935,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+7672581,LOC_Os01g13700,42,34,37,31,33,40,15,13,16,10,8,11
Chr1+7672710,LOC_Os01g13700,146,182,170,239,197,107,199,210,228,159,161,124
Chr1-7687909,LOC_Os01g13740,0,0,2,0,0,0,2,0,4,1,2,2
Chr1-7686899,LOC_Os01g13740,0,0,1,8,6,0,335,330,322,1601,1649,1595
Chr1-8175378,LOC_Os01g14590,0,0,0,0,0,0,0,0,0,1,0,1
Chr1-8175675,LOC_Os01g14590,0,0,0,19,19,15,10,12,14,10,15,10
Chr1-8175468,LOC_Os01g14590,5,5,0,6,14,9,8,5,4,6,7,8
Chr1+8408590,LOC_Os01g15000,3,0,5,8,11,2,0,0,0,0,1,0
Chr1+8405373,LOC_Os01g15000,1,11,4,8,12,14,0,1,0,5,7,11
Chr1+8408240,LOC_Os01g15000,6,10,9,9,10,7,0,0,0,1,5,8
Chr1+8408351,LOC_Os01g15000,261,276,324,458,389,371,11,10,11,146,142,122
Chr1+8407017,LOC_Os01g15000,6,8,6,9,6,4,0,0,0,0,0,0
Chr1-9658230,LOC_Os01g16890,1935,1923,1946,1208,1248,926,920,892,827,247,268,274
Chr1-9659592,LOC_Os01g16890,19,17,10,2,4,2,0,0,0,0,0,0
Chr1-9660105,LOC_Os01g16890,22,12,23,2,0,2,0,0,0,0,0,0
Chr1-9660661,LOC_Os01g16890,39,70,0,24,24,59,0,2,1,1,2,1
Chr1-9658021,LOC_Os01g16890,0,0,8,2,14,12,0,6,4,1,0,1
Chr1-9660380,LOC_Os01g16890,30,43,37,2,1,2,0,0,0,0,0,0
Chr1+9879603,LOC_Os01g17180,0,0,0,1,1,0,0,0,1,1,0,1
Chr1+9885367,LOC_Os01g17180,324,417,264,363,355,409,85,95,92,111,104,112
Chr1+10655296,LOC_Os01g18850,5,2,8,20,8,1,0,0,0,0,0,0
