chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,dry_seed10,dry_seed11,dry_seed12,dry_seed13,dry_seed14,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,endosperm10,endosperm11,endosperm12,endosperm13,endosperm14,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,imbibed_seed10,imbibed_seed11,imbibed_seed12,imbibed_seed13,imbibed_seed14,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,shoot10,shoot11,shoot12,shoot13,shoot14,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_20days10,leaf_20days11,leaf_20days12,leaf_20days13,leaf_20days14,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,leaf_60days10,leaf_60days11,leaf_60days12,leaf_60days13,leaf_60days14,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,stem_60days10,stem_60days11,stem_60days12,stem_60days13,stem_60days14,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_5days10,root_5days11,root_5days12,root_5days13,root_5days14,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,root_60days10,root_60days11,root_60days12,root_60days13,root_60days14,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,husk10,husk11,husk12,husk13,husk14,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,anther10,anther11,anther12,anther13,anther14,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,mature_pollen10,mature_pollen11,mature_pollen12,mature_pollen13,mature_pollen14,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,pistil10,pistil11,pistil12,pistil13,pistil14,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9,embryo10,embryo11,embryo12,embryo13,embryo14
Chr1+415839,LOC_Os01g01780,19.18016979,25.48536665,11.05840258,37.38626707,16.16064537,18.16378768,37.14222688,33.83634383,28.81666597,28.57798227,15.98428621,8.890746106,29.47458475,33.90635732,22.15672282,17.56488977,21.94741073,20.68178285,28.26081648,21.67022049,18.8516238,31.15806136,21.96653647,24.19416244,18.55223025,22.76178971,22.16261424,11.89938908,32.46543492,26.59213705,24.32049954,26.10310798,23.53306232,36.6793231,20.32299015,24.27736785,19.65536471,17.77011647,21.50670123,10.36728649,27.25044701,23.72552796,8.727796424,14.91395193,15.87204579,18.15986121,17.73884378,12.68168737,12.16512014,12.60779103,14.42238151,24.03865436,10.9123988,15.50337187,17.82327377,17.08434623,10.12144225,23.12549921,20.52035224,2.579645521,19.52948315,11.43867264,5.912726589,12.16642683,0.847780169,8.837627831,16.65496698,11.37136102,0.215629707,19.05766709,9.48869631,14.31553039,15.1160133,22.21339182,12.28518231,12.712574,11.6525871,12.26346084,16.77133684,6.992894026,15.69567378,7.651427386,18.06754339,11.90145058,9.136274026,15.3178367,21.58648516,15.36727139,22.56340479,33.56499773,31.47837138,24.70393692,27.66251319,23.01228617,18.86712074,5.606918468,25.62087498,20.48030912,7.412945512,14.44069215,7.781682918,5.601025818,7.437764293,11.86736653,7.633699336,8.722702266,6.067005542,10.98388717,7.522550645,9.219698072,7.191783508,8.100100071,13.17982395,16.19632808,13.64463804,19.58167568,12.5849974,9.809774327,16.38583985,14.18127559,11.90745687,7.933542308,12.75769849,8.700101179,17.08152081,10.85892779,11.79559682,14.54656136,14.25626046,13.87758962,14.34427596,13.87281729,13.80801845,9.282783563,7.587665991,15.72751427,13.37540546,12.8778651,15.20964455,13.39654879,57.62907518,53.85477317,50.36497241,50.1765013,58.6435518,41.43118913,35.63588769,40.36393457,50.46262629,54.28449227,55.46471189,44.06401818,52.49211318,48.9806443,4.524990986,4.173758257,4.493339548,4.331762198,6.114770955,0.145543837,5.313323232,1.094888262,3.400467221,3.036125173,2.341049638,2.099597875,1.155902926,1.243476988,58.6742117,50.33598834,61.40258732,66.65339998,44.14451504,54.10883415,53.81283604,66.5285772,57.88384191,53.50094322,52.3185654,45.93536993,59.32567954,56.98099061,19.30756115,26.7137237,16.90295534,27.32823177,14.69353327,23.83771624,17.77172633,31.82528956,24.81382764,33.81310583,30.19195335,25.5603892,21.73734804,19.10523863
Chr1+415356,LOC_Os01g01780,5.650561569,6.06482197,9.924027709,2.575484195,0.076108177,2.025090866,2.855606638,6.181920494,8.368662835,1.232067928,6.810770312,1.170776331,9.182709878,0.3130602,12.90536877,9.138049782,0.640207969,1.331647551,8.416800259,7.244718931,3.55583079,1.677085854,1.041299497,0.483927737,9.556805201,8.240677282,5.407764684,6.420131214,0.919177826,0.252848485,0.358748195,0.542491461,3.039917632,2.999670737,1.189498497,1.694912227,0.814994037,1.858680711,2.671884745,1.117993751,0.880679381,1.006049412,0.370933303,1.27105889,1.046911689,0.94469717,1.275267119,0.863765276,1.662893587,2.58483353,1.949897844,0.346356726,1.157098952,0.651380782,0.866747048,0.38596965,0.29832784,0.173932635,0.797206502,0.439596534,0.632446893,0.28883949,1.001179405,0.304901688,0.116841247,1.262067892,0.132817471,0.215097481,0.840999009,0.083240746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448759338,0.55753894,0.704193555,0.064404954,0.107519898,0.271105453,0.922176407,0.25157264,0.965290005,0.059724086,0.876485416,0.16424509,0.828051385,1.240301384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.881952099,3.974780735,3.803273719,3.027668289,4.467460846,1.549769572,7.647583585,0.630343404,15.44742923,3.611206793,0.096546079,5.948337358,1.665684675,1.43980679
Chr1-1089988,LOC_Os01g02940,5.569983005,4.159332491,3.345855841,4.120687642,13.62174754,0.52429471,0.987371919,3.448894829,7.964656424,21.73226363,3.486368867,4.634383434,6.809829489,10.3370077,0.040092688,2.203313264,1.787603104,0.179823258,1.590533884,1.219440796,1.317514399,0.108060528,1.696922503,0.398070374,0.033107001,1.460287128,1.247561567,1.068179082,22.86513406,24.98104008,20.38028565,28.99713259,16.10254904,13.06094379,24.22673906,23.51293956,21.26372583,22.8439604,19.62064727,13.14653224,23.00054399,14.52141277,116.0932488,120.1291906,125.9683023,111.8274178,116.6128818,112.3829236,112.4394573,116.1708165,118.7243542,111.8765969,123.3209805,116.8071493,111.5331243,123.5812072,5.525027362,5.263781871,4.755705667,6.140635919,4.260314863,5.622002314,6.028758953,6.205138647,3.421109564,5.098770414,4.972507483,3.883411252,5.866301171,5.549092574,0.766833064,3.963708309,1.123201609,0.151657376,3.561143034,4.506044109,2.362964855,1.915531741,2.199093864,1.686272706,2.458793517,1.625509084,2.534435203,3.447315427,0.408977741,0.458417752,1.028301243,0.875793311,0.174388549,0.093023551,0.21560246,0.05748401,0.748922722,0.703165896,0.625715608,0.240161991,0.629419234,0.062044467,112.0077454,110.5734596,106.9903696,109.0626824,101.6520614,116.419622,113.6501405,110.8094291,107.7000753,112.6233762,113.3524016,110.7962018,107.2626819,103.7454525,24.82917029,20.53489431,32.6372399,24.87195756,34.1206515,29.07175043,28.47196348,31.25411599,32.18521703,29.09428248,34.60345646,30.21221826,25.37552206,30.88017297,39.78143998,37.54565274,44.51546258,41.60193521,40.60531088,32.68344549,44.47530132,43.83734029,37.76720838,30.20312048,39.97302347,38.08967427,40.18077467,35.67909682,44.72845399,48.27630852,43.03667165,41.8897609,39.64803588,45.59035961,44.70954307,39.74863709,41.79091694,42.10026838,42.7335549,41.10203029,37.28695115,40.82445207,54.20738352,6.084052016,2.681766583,7.687683748,119.7216101,39.44012845,97.556261,11.46891771,76.36537168,70.99470913,24.79913948,77.12830107,36.52858516,63.31168942,64.64690206,94.6380564,97.54220875,87.00179524,63.20522829,76.44823211,75.79063496,78.21435523,74.31386347,77.09408658,97.5451702,90.84125526,83.97305206,66.61122527,14.2493404,8.16239654,10.42284096,1.693097527,6.852396813,6.325128636,2.980428361,13.66327191,15.5596705,21.63698948,7.984633556,8.032405347,16.91159597,4.941957189
Chr1-1089872,LOC_Os01g02940,13.61715228,13.26914172,24.9075822,30.26623892,21.97439822,19.09628704,6.314779455,24.9107635,23.67812148,19.47882298,26.29435604,27.62791858,14.59882659,33.91325553,4.06823671,0.981959319,0.729574246,12.91992515,6.660939732,5.816383161,3.620962777,3.66715027,1.271304956,8.037436796,2.072297941,5.236466625,1.489708983,0.37199607,33.20132157,32.92577342,32.09853078,39.29087637,22.76874864,41.7823564,30.99718713,32.3763824,45.81342215,31.97192324,27.45530408,40.12649024,41.38237472,40.27773229,117.1751813,122.7235286,128.1804104,122.2957174,120.6160345,123.90029,125.2564454,117.2275511,127.0881823,127.3279612,132.8412026,116.8175831,125.1252524,113.5695879,19.76195032,11.69449088,20.49746742,16.25121167,11.05103223,19.46291936,22.17415031,15.4872719,16.86727078,20.58589566,16.23378728,13.63099408,10.56504833,20.23920262,7.111168666,4.656196411,1.413183459,2.700387309,4.404981953,4.118181013,4.06928462,1.715465534,1.611912775,1.70919115,2.928649901,1.660152968,0.535470765,3.838974867,1.617147846,2.674960844,1.541790199,2.43217586,3.38888108,2.608683065,2.345885653,3.007673599,2.141403206,2.586783455,1.775934428,2.039870813,2.268334551,2.08943869,106.0940195,102.3059987,107.730074,100.5385787,78.34009108,97.85134382,93.92635455,99.38178504,92.85853834,107.7409138,105.4946448,103.1134524,100.5132476,108.1966088,37.79272297,32.03791307,32.5933973,27.82504589,40.53291244,41.97772336,32.52393584,39.74539567,57.76623038,43.21453282,51.17349859,46.5232715,34.69109316,24.99452682,41.65252179,45.23619153,59.29801181,51.58430943,52.50361886,56.5348928,42.4898456,58.56076458,63.98231117,44.93218796,55.00680698,56.73276939,53.58302913,50.16522278,60.79132278,36.66260913,30.64771424,57.86532654,40.32891055,64.83335599,36.10693287,61.48071083,34.34980641,37.05386337,46.24964805,45.6993204,44.92671137,44.4942058,2.184466676,17.99886965,19.34414463,19.15858342,2.529292757,24.3997871,27.87547103,6.914028763,39.96962593,55.79479376,18.0552122,20.54244626,2.308935089,8.423929505,84.66463893,82.44205152,83.11833789,87.33609399,113.2779008,74.07645205,88.33667298,93.2938168,86.52460397,57.5714718,106.7971572,105.2319806,76.89109572,83.36291322,18.96684524,19.24816404,17.87601816,19.98493563,18.06461673,19.90132377,20.14877218,16.85315248,19.22721622,18.49851631,21.88341314,18.96433441,18.17500829,20.00057047
Chr1-1090107,LOC_Os01g02940,0.83468799,0.13294276,0.364954071,0.471347388,0.577427491,0.553018858,0.48496245,0.272023815,0.494633227,0.228790547,0.394472861,0.103250029,0.972990418,0.336080642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.547783927,2.464702866,4.139787462,12.35415999,5.540485812,3.198272499,10.41898505,9.704421363,5.333764129,9.448284235,2.69590455,3.374054989,5.176948491,7.171500346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0601659,19.75188501,13.70519883,7.421223307,8.332458443,17.50484068,14.66549804,11.28219872,12.14381207,11.84528722,15.78353832,12.94297117,14.18823949,10.17955755,6.764094971,3.747027748,5.937293855,0.961964809,1.176048088,3.793898103,7.019952951,1.167224516,7.636282568,6.755509721,8.775944554,5.855298672,10.14158695,7.888969137,0.290018886,3.425443833,0.994773479,2.617873414,0.816124009,2.567909512,0.610979961,3.432433781,2.357399032,0.895435691,1.604993921,1.359408399,2.958869799,2.008170077,3.007876433,0.67286075,2.111264408,0.178400441,0.286645888,1.256104426,1.558559493,2.529067566,2.846163261,2.153069959,0.495175141,2.162703438,3.608235655,2.519508298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932470602,2.19175488,1.712851308,1.937493192,1.73974848,0.453643147,3.561547317,0.330659235,2.087005025,3.19074258,0.85412947,1.638631684,0.271174209,0.85653407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,9.853732817,5.202992757,10.10897648,8.094844069,14.04111763,11.97444053,12.72850884,9.198088373,9.755035844,9.036153646,14.95683304,10.9958603,12.08530498,14.45742957,22.24335763,5.749696534,1.592778024,1.247705796,6.511630293,2.319305747,1.092088977,12.87287161,3.837616663,15.94599145,4.151940474,20.71430186,1.638967397,9.599560721,0.12424616,0.496236591,0.694495034,0.070928896,0.053298118,0.256294944,0.08728526,0.309796696,1.029247815,0.627408076,0.849754152,0.627981321,0.071625775,1.142755933,30.87373351,23.613011,31.26980345,21.03949584,14.92498571,30.61628372,10.56661626,29.41531653,35.15055867,31.71949627,38.99948894,19.24764312,28.83346796,11.4462397,46.87750835,60.27188276,51.59711488,48.97665358,48.5485149,58.14443479,62.56260414,54.90364426,58.25227432,53.53078737,61.43693781,58.85156696,58.73458817,59.12282034,19.59668131,13.7021461,9.716343415,25.55294587,37.81202444,17.53994088,29.79734966,26.96808387,31.44074714,17.36280409,13.07809417,12.96393869,15.64160386,11.53138975,1942.242982,2021.534304,2202.45858,2421.301635,2149.058954,2413.430703,2074.76198,2137.456619,2348.29664,2098.954586,2079.725522,2340.278657,2114.201056,2231.978732,29.69292334,16.96361164,21.13946387,24.88910939,28.14103977,46.04932107,14.60268452,22.20178956,19.79299619,12.10962661,33.25706009,21.80982908,21.73293095,10.28104524,419.5068211,536.9786964,453.0128568,505.7306539,560.3504342,546.4350922,518.0074639,516.9731885,422.0372537,446.8554181,344.3168195,578.6577748,617.0808726,517.34839,418.741669,504.1308134,433.8457059,367.6189022,323.8566217,309.2419597,516.5181518,381.3099103,362.4059038,476.323758,285.4673515,464.1866956,195.0235818,231.1467743,246.5479109,309.9789651,248.2845426,274.035385,277.3911488,215.9912164,217.0182272,279.2126859,270.3527659,208.0359487,270.9724031,253.7292475,231.1623536,214.403467,1202.424131,3106.732708,1503.109906,750.2200441,1271.693853,1394.897753,246.489478,213.5742074,2192.743987,1372.719612,1300.041815,1987.307668,1280.906342,1379.18586,717.434122,668.5617819,627.5677083,590.367632,741.3490405,753.0684047,782.7899528,739.8080457,665.9285532,760.8696435,780.6339389,768.0988888,477.1540109,805.8835551,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,4.484274073,2.068759351,1.348797504,4.87467068,1.934467211,1.028807475,2.291830978,1.308154622,5.074566633,4.75022882,3.552863387,1.076025787,0.769619571,0.499502529,0.895135234,2.560812419,4.660197712,2.388244894,1.291868165,5.079094788,3.486983498,0.926128028,1.318119045,2.950570442,7.758133676,4.082795876,8.282470174,4.831772631,0.482418122,1.206756861,0.411298059,0.275328706,0.039577539,2.545785786,0.824134144,1.763999569,1.035086931,0.310937539,0.503082716,0.262751981,0.154468337,1.072969249,5.910742145,2.948889682,3.757246591,5.099757003,4.608420755,3.282829152,3.825805966,2.644607524,4.300560248,3.462233404,3.72770221,4.273008475,3.115304725,5.204713208,7.714017991,9.066900086,8.122690808,17.53111925,7.128679693,12.93003952,20.49333299,7.901491966,10.96600446,13.37260811,9.135452161,12.46117857,9.794822642,17.1898534,4.798771363,3.052774635,4.192106023,3.008111254,4.371688896,4.857040284,5.14036431,3.458723353,3.531653467,3.606536226,3.051799957,2.18769025,3.441806057,3.618851979,317.7096106,327.6728411,319.3230343,323.855985,329.2786448,328.9234596,327.9909634,330.7340173,316.5424457,323.1716434,325.43926,314.2969659,327.8855976,325.9388742,3.487941585,5.285794196,3.906487613,2.145552109,6.198298268,6.092776384,2.251705503,3.796286613,0.710706996,6.976174427,4.832314366,3.030352554,5.871424021,4.168922019,109.1407835,76.9437428,101.3647695,107.394937,86.239371,86.05082898,112.9885295,114.7401583,134.1452033,100.1429297,110.5307553,138.0123138,89.04616211,92.27860926,104.0533602,92.75712655,78.1433851,93.06614467,87.16834173,100.5846915,83.60951686,77.74004876,84.68777013,103.9492609,118.8377921,92.10561134,102.3431458,100.1284355,44.88346288,50.5363597,58.99453849,63.00527685,55.84166906,81.6798482,49.02387467,58.86303978,49.2720281,51.52370701,56.19731889,34.40693392,31.83841725,72.17000596,19.80866579,75.34536405,45.66720763,12.93208254,43.26449395,32.89076943,10.41814476,3.75104192,26.12614092,25.22666669,13.13904851,13.53012654,6.428024111,51.08971752,186.3527706,187.9505762,185.0883968,197.2500076,187.8149103,176.1146974,186.7136783,180.2323356,189.8954898,178.1970022,175.8582965,167.7057993,183.4553191,192.0668341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,66.4193561,56.62121113,43.60168743,35.22433119,58.92579359,26.36724082,75.25731113,69.3583024,69.69331856,57.42367498,77.35468111,4.292008787,58.21663313,35.08444462,60.03112602,62.87695582,60.58572972,61.22250417,59.10549356,60.39381111,60.51767888,60.48497348,60.54382791,59.57561509,59.5318415,58.61347255,59.35607257,59.7236744,15.82983572,5.075769948,8.907731192,56.21258654,27.28543791,67.07286516,66.88594058,32.91995632,59.38227332,3.320721696,52.3068766,20.20289581,78.1401423,27.59218153,29.0875064,26.961763,32.90425416,23.68726371,26.59428571,26.23969978,26.96430193,24.12241023,27.57429209,24.80186984,26.61837976,28.43280668,28.92617669,26.42505922,24.38123438,26.78399149,27.47999666,30.94421671,29.5782201,23.66437138,24.48250595,28.5979054,29.00095405,25.77580218,29.44618035,27.90950211,30.53497427,29.50206535,15.94026225,15.37396167,21.03471122,18.11989822,15.49307534,16.99789796,16.2672452,26.14695879,16.51953083,24.92472361,22.61185971,22.00421576,16.17678465,17.17234363,22.72105972,14.14965123,16.67141261,20.84168877,19.49691362,12.94486547,12.24074937,22.91267594,18.39382051,23.98801053,24.5391056,18.0878062,19.19872854,15.26867829,18.54784387,15.49745192,16.40596938,14.77777974,16.66750389,15.55270095,16.55309004,19.10178935,14.86980481,15.58529659,18.28109728,18.62910144,17.30695468,17.78319946,24.16146416,28.83123658,27.00546877,21.90748299,10.47163244,17.43413692,23.04074431,20.27835291,23.39808055,16.33544109,25.26455376,33.97216274,25.22084335,26.17214269,15.04519141,34.40851085,26.54193524,19.42708207,17.6016699,18.30933038,28.11516675,17.37819723,34.92881133,25.9971892,24.73532226,34.78831582,20.61083988,18.73107659,82.43432285,71.02181547,73.30779519,78.27904383,55.52838334,74.95664123,62.66178254,63.10331978,68.1806893,76.80257869,67.15420832,74.88032127,63.07322328,71.70564617,39.57414304,13.28746549,32.19434594,7.115177215,39.06419332,24.80062002,66.40670901,21.01981366,18.98872626,32.33453419,15.40429611,21.65018489,0.425577978,51.71064442,22.51706899,17.82269558,23.46052137,24.30084143,28.28646636,25.93052668,23.87002555,21.16723294,26.27088076,21.04531922,20.69958053,28.29240389,15.70615536,23.02910201,95.42484674,139.9377555,104.3111159,104.077112,27.53125233,118.7088414,95.41214064,113.6675227,114.1238933,83.60779016,137.4585719,180.3961996,106.5947385,77.71617019
Chr1+2792379,LOC_Os01g05830,5.97573495,5.395715154,3.9558346,21.46363975,16.7302043,23.34718656,8.021847066,12.07436522,15.89083401,1.615375624,12.83780951,8.47741645,0.823249757,15.52940463,8.951095564,0.094732881,4.118997414,3.96655578,3.950421568,2.961978069,1.64592779,2.75754203,6.272583341,2.43509283,10.09799465,4.318403644,1.339175817,4.97098492,4.331183965,1.073822671,2.866118669,4.553168034,5.887320623,0.177422255,2.27000318,3.643665124,5.470567858,2.823054045,2.727860318,3.54785279,1.463784221,1.92219761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.935993475,2.117178723,1.324341452,0.808366748,0.540101551,1.852961172,2.332903087,0.643866517,1.818599783,2.283934191,0.746821901,1.901681567,0.712547242,0.545449281,0.598300583,0.726567132,0.428992357,0.012380369,0.534651203,0.778576217,0.010561327,0.073463106,0.030418947,0.297101286,0.104299079,0.765219712,0.268471136,0.355974617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076270823,0.687992319,0.863019315,0.126293434,0.18214361,0.187040503,0.680730291,0.067985537,0.089725396,1.006613452,0.484413807,0.169455885,1.22157477,0.246218892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783901364,0.511540166,0.560371859,0.201591972,1.125977144,1.138192069,0.579479645,0.590879919,1.120359314,0.410054817,0.900597115,0.216111177,0.793946793,0.217674353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.017534502,2.930837837,4.198343404,1.105296164,3.603582078,2.944739501,3.638503159,2.768873183,3.603791869,3.226981702,3.646756845,3.023408231,4.397873047,3.86486003
Chr1+2795858,LOC_Os01g05830,68.14468849,39.07560115,68.10640264,75.0896164,88.00767879,65.43238098,26.32335112,24.99012173,81.56439599,51.43476504,76.60378326,100.9098942,83.55360066,73.01681215,97.16601985,92.90987306,70.0496636,78.26685597,71.28448516,44.1312772,96.60279059,73.75070977,93.1373581,60.51202344,90.82099201,87.66107277,108.1054457,98.29776785,51.03717573,64.92276828,58.28338307,68.28909031,65.85108071,62.66805145,64.54639584,69.46173948,52.926423,67.0794123,58.55102036,57.25730808,66.87249203,65.79286559,20.62849245,22.70686576,0.853808769,20.99517977,24.31648809,19.49993563,35.40305485,20.00661249,14.92528911,20.24068859,14.72625155,15.47900552,26.83484237,19.50576132,21.98612515,26.01594492,43.78764931,45.23661149,91.40330817,37.89644744,78.33840645,62.95641475,78.26676824,58.34672996,76.06605464,20.01854399,75.71170701,76.69104426,37.87831534,34.7740297,34.99372278,28.11473075,34.61457938,32.0717073,31.26887927,35.51719499,34.87383585,34.54813959,33.07215756,32.05366493,36.39116591,32.65032843,31.19110202,26.83962492,27.1422609,29.63212613,27.62516888,33.15433873,15.44186825,35.81800961,29.24688988,31.934197,30.64996359,27.62544169,31.18669855,23.89279891,29.35117747,22.50941258,22.5834932,30.55328973,30.44035942,26.27949123,33.39450593,35.60794742,24.21397391,29.74518542,35.28420502,32.92626848,27.8623453,33.28049441,42.41116468,31.54530728,34.01880846,34.60427787,34.79973501,36.47408646,30.41748035,37.1201737,42.2412089,33.96075221,37.12717826,35.43414334,38.66957786,35.12992145,31.1651826,24.97166771,28.35937389,22.26344288,22.28311279,27.81904879,19.27184644,35.52581693,27.98634553,30.99212691,19.73057737,19.8217325,23.83520544,29.85662441,27.16463342,23.38394102,25.49055563,23.84218641,23.9094962,24.8535453,22.93419603,24.64668927,23.52263167,28.60978021,22.52639652,26.58938006,23.89133572,22.7705787,3.976398866,12.786232,13.25811896,14.43827872,27.08338374,18.84063115,6.478388681,0.776306775,0.626088491,3.096675506,1.554208176,6.444483477,5.829078744,21.04606476,14.72059622,9.899379015,13.99675177,15.29184172,17.55797019,12.63575683,7.426814464,9.785248498,17.58216495,11.49399891,6.872071368,14.99818595,12.40071019,12.71765888,74.5072973,69.91709997,68.74899012,72.20324044,73.41137019,76.08535461,67.29802222,78.59126464,64.42207584,68.36232557,67.84990066,75.98797859,70.05944805,66.95990065
