chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,leaf_20days1,leaf_20days2,leaf_20days3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3
ChrSy+235579,ChrSy.fgenesh.gene.33,3,0,2,0,0,0,1,1,1,0,0,0
ChrSy+236049,ChrSy.fgenesh.gene.33,21,19,19,0,0,0,2,5,2,0,0,0
Chr1+356171,LOC_Os01g01689,0,0,0,0,0,0,0,1,0,20,20,18
Chr1+371188,LOC_Os01g01689,113,108,79,19,15,17,27,18,24,2,9,5
Chr1+374561,LOC_Os01g01700,1,5,6,6,5,5,20,16,5,1,0,2
Chr1+374424,LOC_Os01g01700,184,162,197,84,141,94,227,224,249,184,229,436
Chr1+1856529,LOC_Os01g04200,0,1,0,0,1,1,3,2,1,0,0,0
Chr1+1856256,LOC_Os01g04200,37,39,83,29,20,24,14,10,14,3,4,7
Chr1+1856117,LOC_Os01g04200,4,3,8,1,0,0,0,0,2,0,0,0
Chr1+1855402,LOC_Os01g04200,11,10,5,27,22,44,18,10,15,17,7,9
Chr1+2608018,LOC_Os01g05500,0,1,8,0,0,0,0,0,2,0,0,0
Chr1+2601686,LOC_Os01g05500,5,8,9,0,0,0,2,1,0,0,0,0
Chr1+2600567,LOC_Os01g05500,8,3,13,14,6,14,3,6,6,36,65,10
Chr1+2609247,LOC_Os01g05500,4,4,2,0,0,0,0,0,0,0,0,0
Chr1+2612758,LOC_Os01g05500,435,258,459,296,274,217,186,189,182,197,149,183
Chr1-3667570,LOC_Os01g07630,10,1,7,1,3,2,0,1,0,0,0,0
Chr1-3671562,LOC_Os01g07630,1,0,1,0,0,0,1,1,1,19,24,16
Chr1-3667505,LOC_Os01g07630,4,53,7,25,23,25,23,21,23,7,32,24
Chr1-3713770,LOC_Os01g07740,62,58,57,47,46,32,233,91,209,83,148,158
Chr1-3718312,LOC_Os01g07740,0,0,0,0,0,0,0,0,1,1,10,1
Chr1+5412511,LOC_Os01g10280,1,1,1,4,1,0,0,1,2,1,8,4
Chr1+5412761,LOC_Os01g10280,0,0,0,0,0,0,0,0,0,1,4,0
Chr1+5412697,LOC_Os01g10280,9,13,0,0,0,1,0,2,0,0,0,0
Chr1+6029641,LOC_Os01g11260,1,2,0,6,2,3,17,14,26,2,8,0
Chr1+6029525,LOC_Os01g11260,4,2,1,0,0,0,1,1,2,2,2,0
Chr1+6270688,LOC_Os01g11620,48,57,64,0,0,0,12,18,14,38,46,21
Chr1+6270822,LOC_Os01g11620,0,0,0,0,0,0,0,1,2,0,0,0
Chr1-6575126,LOC_Os01g12080,0,0,0,0,2,1,4,4,1,0,0,0
Chr1-6572018,LOC_Os01g12080,0,0,0,68,74,70,5,4,4,0,0,0
Chr1-6572877,LOC_Os01g12080,2,5,5,7,2,1,0,1,0,1,0,0
Chr1-6572141,LOC_Os01g12080,46,76,72,435,428,433,36,39,34,55,11,27
Chr1-6725035,LOC_Os01g12320,0,0,0,44,49,44,4,1,0,0,0,0
