chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,stem_60days1,stem_60days2,stem_60days3,husk1,husk2,husk3,embryo1,embryo2,embryo3
ChrSy+235579,ChrSy.fgenesh.gene.33,3,0,2,0,0,0,0,0,0,0,0,0
ChrSy+236049,ChrSy.fgenesh.gene.33,21,19,19,1,1,1,1,1,2,9,5,13
Chr1+356171,LOC_Os01g01689,0,0,0,0,0,0,3,3,0,0,0,0
Chr1+371188,LOC_Os01g01689,113,108,79,38,34,35,64,23,54,173,168,181
Chr1+374561,LOC_Os01g01700,1,5,6,4,4,4,4,12,1,0,0,0
Chr1+374424,LOC_Os01g01700,184,162,197,199,194,177,115,145,105,246,258,252
Chr1+1856529,LOC_Os01g04200,0,1,0,1,1,0,2,0,1,0,0,1
Chr1+1856256,LOC_Os01g04200,37,39,83,8,10,6,32,35,19,61,64,76
Chr1+1856117,LOC_Os01g04200,4,3,8,0,0,0,5,1,0,0,0,0
Chr1+1855402,LOC_Os01g04200,11,10,5,19,12,16,20,23,19,7,14,17
Chr1+2608018,LOC_Os01g05500,0,1,8,0,0,0,0,0,0,0,1,0
Chr1+2601686,LOC_Os01g05500,5,8,9,0,0,0,0,0,0,5,0,0
Chr1+2600567,LOC_Os01g05500,8,3,13,6,12,3,7,5,10,2,0,2
Chr1+2609247,LOC_Os01g05500,4,4,2,0,0,0,0,0,0,7,7,7
Chr1+2612758,LOC_Os01g05500,435,258,459,240,232,232,186,186,141,334,330,334
Chr1-3667570,LOC_Os01g07630,10,1,7,3,1,1,2,3,5,2,0,4
Chr1-3671562,LOC_Os01g07630,1,0,1,0,0,0,2,1,1,0,0,1
Chr1-3667505,LOC_Os01g07630,4,53,7,22,25,25,43,49,42,2,19,66
Chr1-3713770,LOC_Os01g07740,62,58,57,36,34,39,80,87,98,69,61,79
Chr1-3718312,LOC_Os01g07740,0,0,0,0,0,1,1,1,1,0,0,0
Chr1+5412511,LOC_Os01g10280,1,1,1,2,2,3,0,3,4,1,1,1
Chr1+5412761,LOC_Os01g10280,0,0,0,1,1,3,0,0,0,2,1,0
Chr1+5412697,LOC_Os01g10280,9,13,0,0,1,0,10,5,0,10,10,10
Chr1+6029641,LOC_Os01g11260,1,2,0,3,1,1,13,0,6,7,7,6
Chr1+6029525,LOC_Os01g11260,4,2,1,0,0,0,1,2,1,2,1,3
Chr1+6270688,LOC_Os01g11620,48,57,64,12,10,11,23,7,4,10,5,8
Chr1+6270822,LOC_Os01g11620,0,0,0,0,1,0,7,4,1,0,0,0
Chr1-6575126,LOC_Os01g12080,0,0,0,4,6,3,1,2,1,2,8,0
Chr1-6572018,LOC_Os01g12080,0,0,0,18,15,18,8,5,4,1,0,0
Chr1-6572877,LOC_Os01g12080,2,5,5,1,3,0,0,0,0,0,0,0
Chr1-6572141,LOC_Os01g12080,46,76,72,99,134,137,102,103,99,86,86,84
Chr1-6725035,LOC_Os01g12320,0,0,0,13,28,35,8,12,3,4,4,4
Chr1-6724944,LOC_Os01g12320,0,2,1,221,223,192,82,101,73,0,0,0
Chr1-6725081,LOC_Os01g12320,0,0,0,0,0,3,1,0,0,0,0,0
Chr1+7092083,LOC_Os01g12810,3,3,5,4,1,4,1,2,3,2,1,2
Chr1+7095316,LOC_Os01g12810,4,6,9,179,182,173,170,152,136,18,10,10
