chrstrandcoord,gene,shoot1,shoot2,shoot3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,pistil1,pistil2,pistil3
ChrSy+235579,ChrSy.fgenesh.gene.33,1,3,2,1,1,0,0,0,0,2,2,2
ChrSy+236049,ChrSy.fgenesh.gene.33,1,0,0,5,5,5,1,1,2,3,3,3
Chr1+356171,LOC_Os01g01689,2,2,4,0,1,0,3,3,0,0,0,0
Chr1+371188,LOC_Os01g01689,30,27,16,40,30,55,64,23,54,44,50,48
Chr1+374561,LOC_Os01g01700,5,7,6,7,7,5,4,12,1,3,0,2
Chr1+374424,LOC_Os01g01700,212,233,182,146,173,174,115,145,105,207,209,202
Chr1+1856529,LOC_Os01g04200,2,2,0,1,1,0,2,0,1,0,0,0
Chr1+1856256,LOC_Os01g04200,38,31,43,12,13,14,32,35,19,22,31,32
Chr1+1856117,LOC_Os01g04200,1,1,0,0,0,0,5,1,0,1,3,1
Chr1+1855402,LOC_Os01g04200,31,50,42,55,14,27,20,23,19,29,30,31
Chr1+2608018,LOC_Os01g05500,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2601686,LOC_Os01g05500,0,0,0,1,0,0,0,0,0,0,0,0
Chr1+2600567,LOC_Os01g05500,5,9,15,9,15,7,7,5,10,2,2,5
Chr1+2609247,LOC_Os01g05500,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2612758,LOC_Os01g05500,149,153,147,131,141,147,186,186,141,204,193,179
Chr1-3667570,LOC_Os01g07630,1,1,3,6,3,2,2,3,5,2,1,1
Chr1-3671562,LOC_Os01g07630,0,0,0,0,0,0,2,1,1,0,0,0
Chr1-3667505,LOC_Os01g07630,82,78,79,21,22,13,43,49,42,56,52,72
Chr1-3713770,LOC_Os01g07740,51,48,48,37,50,49,80,87,98,173,171,141
Chr1-3718312,LOC_Os01g07740,0,1,0,0,1,0,1,1,1,0,0,0
Chr1+5412511,LOC_Os01g10280,1,0,9,5,3,2,0,3,4,3,6,14
Chr1+5412761,LOC_Os01g10280,0,0,0,0,1,1,0,0,0,2,4,6
Chr1+5412697,LOC_Os01g10280,0,2,0,0,1,1,10,5,0,0,1,2
Chr1+6029641,LOC_Os01g11260,6,6,7,9,9,10,13,0,6,10,9,9
Chr1+6029525,LOC_Os01g11260,1,3,3,2,0,2,1,2,1,3,5,5
Chr1+6270688,LOC_Os01g11620,287,283,285,26,24,30,23,7,4,1,0,1
Chr1+6270822,LOC_Os01g11620,24,25,25,3,2,2,7,4,1,0,0,0
Chr1-6575126,LOC_Os01g12080,7,0,2,1,0,0,1,2,1,1,2,1
Chr1-6572018,LOC_Os01g12080,9,25,3,0,2,1,8,5,4,8,12,12
Chr1-6572877,LOC_Os01g12080,1,2,1,0,0,0,0,0,0,0,0,0
Chr1-6572141,LOC_Os01g12080,112,118,120,7,1,3,102,103,99,80,65,76
Chr1-6725035,LOC_Os01g12320,28,26,28,6,8,8,8,12,3,18,16,14
Chr1-6724944,LOC_Os01g12320,171,176,189,59,42,44,82,101,73,37,28,49
Chr1-6725081,LOC_Os01g12320,0,1,1,0,0,1,1,0,0,0,0,0
Chr1+7092083,LOC_Os01g12810,3,2,4,1,1,6,1,2,3,1,1,2
Chr1+7095316,LOC_Os01g12810,130,131,120,6,0,3,170,152,136,88,71,77
Chr1+7576953,LOC_Os01g13540,1,0,0,0,1,1,0,0,0,0,0,0
Chr1+7576771,LOC_Os01g13540,102,102,99,103,111,109,100,80,92,90,85,80
Chr1+7575165,LOC_Os01g13540,0,0,0,2,3,3,3,0,4,3,5,3
Chr1-7623978,LOC_Os01g13610,0,0,0,24,17,37,0,0,0,0,0,0
Chr1-7619138,LOC_Os01g13610,0,0,0,202,227,250,4,2,5,0,0,0
Chr1-7618935,LOC_Os01g13610,0,0,0,10,12,11,0,0,0,0,0,0
Chr1+7672581,LOC_Os01g13700,15,13,16,22,16,21,17,25,29,38,41,40
Chr1+7672710,LOC_Os01g13700,199,210,228,197,255,199,226,228,170,308,316,330
Chr1-7687909,LOC_Os01g13740,2,0,4,0,0,1,0,0,0,1,1,1
Chr1-7686899,LOC_Os01g13740,335,330,322,3,0,1,215,135,179,33,15,26
Chr1-8175378,LOC_Os01g14590,0,0,0,5,4,6,0,0,0,0,0,0
Chr1-8175675,LOC_Os01g14590,10,12,14,72,69,58,17,10,24,7,5,6
Chr1-8175468,LOC_Os01g14590,8,5,4,35,35,36,0,3,2,2,8,10
Chr1+8408590,LOC_Os01g15000,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+8405373,LOC_Os01g15000,0,1,0,5,9,7,8,0,11,1,0,0
Chr1+8408240,LOC_Os01g15000,0,0,0,0,0,1,1,3,2,0,0,0
Chr1+8408351,LOC_Os01g15000,11,10,11,56,45,58,60,23,52,26,10,25
Chr1+8407017,LOC_Os01g15000,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-9658230,LOC_Os01g16890,920,892,827,1155,1407,1601,706,771,839,872,897,943
Chr1-9659592,LOC_Os01g16890,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-9660105,LOC_Os01g16890,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-9660661,LOC_Os01g16890,0,2,1,0,2,1,2,0,4,4,5,3
Chr1-9658021,LOC_Os01g16890,0,6,4,6,7,6,5,3,5,1,0,2
Chr1-9660380,LOC_Os01g16890,0,0,0,0,0,0,0,0,0,2,1,1
Chr1+9879603,LOC_Os01g17180,0,0,1,0,2,1,0,0,0,0,0,1
Chr1+9885367,LOC_Os01g17180,85,95,92,83,44,59,88,100,115,123,132,130
Chr1+10655296,LOC_Os01g18850,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+10656648,LOC_Os01g18850,49,42,45,119,120,116,68,54,56,52,52,60
Chr1+10679801,LOC_Os01g18880,0,0,0,0,0,1,1,1,1,0,0,0
Chr1+10678290,LOC_Os01g18880,0,0,1,1,1,1,1,0,0,1,2,1
Chr1+10676910,LOC_Os01g18880,0,1,1,2,1,1,2,5,3,9,9,9
Chr1+10677075,LOC_Os01g18880,2,0,0,0,0,0,0,1,0,1,2,1
Chr1+10679862,LOC_Os01g18880,0,2,2,7,3,4,20,23,16,12,16,18
Chr1+11170325,LOC_Os01g19694,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+11174452,LOC_Os01g19694,0,0,0,8,8,9,12,8,6,5,3,6
Chr1+11174321,LOC_Os01g19694,0,0,0,6,4,6,7,9,5,4,4,5
Chr1-11253657,LOC_Os01g19850,3,0,0,5,1,3,28,34,27,6,8,8
Chr1-11253815,LOC_Os01g19850,0,0,0,1,1,1,3,2,1,2,3,1
Chr1-11800239,LOC_Os01g21144,0,0,0,2,3,4,0,0,0,0,0,0
Chr1-11801468,LOC_Os01g21144,2,4,5,12,17,20,2,3,2,4,2,5
Chr1-11800290,LOC_Os01g21144,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+11975457,LOC_Os01g21450,0,0,0,0,0,0,0,0,0,0,2,2
Chr1+11975299,LOC_Os01g21450,0,0,0,0,0,0,0,0,0,0,1,1
Chr1+11981803,LOC_Os01g21450,106,111,91,56,63,52,117,120,119,118,123,135
Chr1+11981977,LOC_Os01g21450,0,0,0,1,0,0,0,0,0,1,0,1
Chr1-12704551,LOC_Os01g22600,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-12704882,LOC_Os01g22600,9,8,15,22,32,35,71,69,65,51,49,53
Chr1-12704755,LOC_Os01g22600,14,23,14,30,32,32,57,46,50,65,110,7
Chr1+13305003,LOC_Os01g23640,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+13304670,LOC_Os01g23640,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,72,89,83,84,124,104,76,63,67,49,48,57
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,2,1,2,0,0,0
Chr1+13443168,LOC_Os01g23880,0,0,0,1,0,1,16,20,18,0,0,0
Chr1+13443430,LOC_Os01g23880,3,1,6,8,8,11,740,790,773,8,9,10
Chr1+13935377,LOC_Os01g24764,87,77,80,4,0,6,87,76,74,113,129,83
Chr1+13935124,LOC_Os01g24764,9,9,4,1,3,4,9,5,9,8,5,5
Chr1+13935565,LOC_Os01g24764,6,2,8,0,0,0,10,3,13,5,4,3
Chr1+13935855,LOC_Os01g24764,7,0,7,0,0,0,4,9,19,6,5,2
Chr1-14754834,LOC_Os01g26039,61,64,83,1,4,7,50,45,50,40,36,41
Chr1-14757624,LOC_Os01g26039,3,2,3,5,4,0,2,0,3,1,1,1
Chr1+16056051,LOC_Os01g28680,1,3,2,7,7,2,3,2,1,0,0,1
Chr1+16056254,LOC_Os01g28680,69,100,93,278,323,402,138,134,129,9,14,8
Chr1+16051023,LOC_Os01g28680,0,0,0,5,5,2,1,1,1,0,0,0
Chr1+16053083,LOC_Os01g28680,0,2,1,3,3,6,1,0,1,0,0,0
Chr1+16047519,LOC_Os01g28680,5,5,4,0,0,0,0,0,0,1,0,0
Chr1+17607032,LOC_Os01g32170,0,0,0,0,0,1,0,0,0,0,1,2
Chr1+17607127,LOC_Os01g32170,1,0,0,1,1,0,2,0,0,3,3,3
Chr1+17607514,LOC_Os01g32170,5,10,2,5,6,4,1,0,0,7,7,6
Chr1+17606900,LOC_Os01g32170,0,0,0,0,0,0,2,2,1,8,7,6
Chr1+18050168,LOC_Os01g32870,10,8,6,4,3,4,7,2,4,2,7,2
Chr1+18050053,LOC_Os01g32870,69,63,77,61,102,133,77,76,70,108,104,109
Chr1-18394360,LOC_Os01g33420,164,154,161,59,50,54,219,135,135,118,98,95
Chr1-18395693,LOC_Os01g33420,0,1,1,0,0,0,0,0,0,0,0,0
Chr1-18459991,LOC_Os01g33540,11,12,13,8,6,6,19,19,18,17,22,18
Chr1-18459308,LOC_Os01g33540,14,15,16,14,14,14,10,18,12,14,26,26
Chr1-18459207,LOC_Os01g33540,0,0,0,1,1,1,2,2,2,0,2,2
Chr1+20332204,LOC_Os01g36640,3,1,7,2,2,2,4,3,2,4,5,6
Chr1+20334364,LOC_Os01g36640,1,0,2,4,1,3,2,2,0,3,3,0
Chr1+20334834,LOC_Os01g36640,2,1,1,0,6,5,0,6,2,1,0,2
Chr1+20334613,LOC_Os01g36640,7,22,33,22,21,26,13,22,22,14,16,16
Chr1+20334066,LOC_Os01g36640,0,1,2,1,1,1,1,0,0,2,0,3
Chr1+20335020,LOC_Os01g36640,0,2,1,1,4,3,4,3,1,1,1,0
Chr1+20820512,LOC_Os01g37280,1,0,0,0,0,0,0,0,1,0,0,0
Chr1+20820347,LOC_Os01g37280,0,0,0,0,0,0,0,0,0,1,1,1
Chr1+20820385,LOC_Os01g37280,13,7,6,2,3,9,3,7,0,25,15,14
Chr1+20818589,LOC_Os01g37280,0,0,1,1,0,0,1,2,3,4,5,5
Chr1-22855513,LOC_Os01g40470,247,317,296,358,381,366,377,353,351,168,198,194
Chr1-22855806,LOC_Os01g40470,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-22857225,LOC_Os01g40470,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,1,2,2
Chr1+23925357,LOC_Os01g42234,2,1,2,0,1,0,1,0,0,5,1,7
Chr1+23933450,LOC_Os01g42234,91,123,129,697,702,626,24,25,22,9,9,5
Chr1-24703796,LOC_Os01g43250,46,40,42,69,68,69,50,24,27,92,96,102
Chr1-24708192,LOC_Os01g43250,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+25003415,LOC_Os01g43630,6,10,6,16,16,16,0,3,8,2,16,9
Chr1+25003233,LOC_Os01g43630,22,73,63,65,94,59,55,53,55,71,83,80
Chr1+25354917,LOC_Os01g44220,0,4,0,0,0,0,0,0,1,0,0,1
Chr1+25361865,LOC_Os01g44220,80,80,82,23,38,50,55,56,47,71,49,70
Chr1+25362209,LOC_Os01g44220,0,1,0,0,0,0,0,0,0,0,0,0
Chr1+25356680,LOC_Os01g44220,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,3,3,4,1,1,0,0,6,0,2,1,0
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25917622,LOC_Os01g45620,6,9,5,2,0,2,32,32,32,18,18,17
Chr1-25917859,LOC_Os01g45620,0,0,0,0,0,0,1,0,2,0,0,1
Chr1-25921679,LOC_Os01g45620,0,0,0,0,0,0,4,3,6,0,0,0
Chr1-25918558,LOC_Os01g45620,0,0,0,0,1,0,1,0,0,0,0,0
Chr1-25917441,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25917749,LOC_Os01g45620,0,0,0,0,0,0,1,3,5,0,2,1
Chr1+26396273,LOC_Os01g46380,1,1,1,4,4,7,10,12,7,3,3,3
Chr1+26395170,LOC_Os01g46380,0,0,0,0,0,0,5,2,0,0,0,0
Chr1+26396056,LOC_Os01g46380,108,120,129,799,872,828,620,612,534,810,935,948
Chr1+26722429,LOC_Os01g46840,0,6,1,2,0,1,2,10,2,10,17,12
Chr1+26722277,LOC_Os01g46840,5,1,2,1,2,2,9,11,10,36,51,40
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,1,1,1,1,2,2
Chr1-26888426,LOC_Os01g47080,292,318,383,128,124,110,68,96,74,144,168,146
Chr1-26888569,LOC_Os01g47080,0,1,0,0,0,0,0,0,1,0,2,0
Chr1+27010935,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+27010193,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+27010855,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+27012055,LOC_Os01g47262,81,84,86,135,135,126,288,293,262,100,82,115
Chr1+27009271,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-27965530,LOC_Os01g48770,1,2,2,4,0,5,0,0,0,0,0,0
Chr1-27965721,LOC_Os01g48770,899,758,893,1025,950,935,556,530,611,822,967,726
Chr1-28697312,LOC_Os01g49940,7,6,5,4,5,7,1,0,0,1,2,1
Chr1-28683935,LOC_Os01g49940,43,44,46,46,46,51,56,49,45,80,89,98
Chr1-28697450,LOC_Os01g49940,21,15,16,38,36,35,19,20,20,22,22,16
Chr1+28804457,LOC_Os01g50120,3,0,2,0,0,0,0,0,0,1,0,1
Chr1+28803863,LOC_Os01g50120,6,18,16,6,6,6,9,16,10,19,18,19
Chr1+28800764,LOC_Os01g50120,10,10,8,3,4,0,0,0,3,5,5,6
Chr1+29124339,LOC_Os01g50700,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+29124591,LOC_Os01g50700,4,1,5,3,2,5,1,2,4,1,0,0
Chr1+29123295,LOC_Os01g50700,0,0,0,3,4,3,1,3,4,3,0,0
Chr1+29124215,LOC_Os01g50700,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+30431695,LOC_Os01g52920,49,62,59,110,426,362,174,204,181,177,169,177
Chr1+30431148,LOC_Os01g52920,0,3,0,15,10,11,7,5,6,3,2,0
Chr1+30431484,LOC_Os01g52920,0,0,0,0,0,0,3,3,1,0,0,0
Chr1+30432087,LOC_Os01g52920,0,0,0,1,2,0,2,1,2,1,1,1
Chr1-30526019,LOC_Os01g53130,0,0,0,2,2,0,0,2,4,1,0,0
Chr1-30525031,LOC_Os01g53130,0,1,1,8,7,6,21,12,10,13,12,9
Chr1-30527175,LOC_Os01g53130,0,0,0,2,2,1,1,1,0,4,2,3
Chr1-30527478,LOC_Os01g53130,0,0,0,1,0,3,2,2,3,2,2,2
Chr1-30527365,LOC_Os01g53130,12,18,4,7,9,9,15,15,15,6,7,6
Chr1+32622547,LOC_Os01g56580,0,0,0,0,0,0,0,0,1,0,0,0
Chr1+32622715,LOC_Os01g56580,84,71,85,94,109,111,155,193,165,111,111,98
Chr1-32855437,LOC_Os01g56890,33,25,26,251,108,161,210,163,174,14,21,15
Chr1-32855924,LOC_Os01g56890,0,0,0,45,31,46,21,21,14,4,3,1
Chr1-32856278,LOC_Os01g56890,0,0,0,4,6,9,0,0,0,1,1,1
Chr1-32855385,LOC_Os01g56890,209,189,297,846,916,947,310,318,278,204,198,209
Chr1-32856153,LOC_Os01g56890,0,2,0,26,20,25,9,7,3,1,1,2
Chr1+32862638,LOC_Os01g56900,2,2,2,5,2,6,10,9,5,9,8,7
Chr1+32863305,LOC_Os01g56900,2,4,0,8,9,9,14,12,15,8,17,12
Chr1+32863554,LOC_Os01g56900,0,0,4,4,4,4,6,15,12,4,2,2
Chr1+33058487,LOC_Os01g57210,34,47,35,37,54,42,22,16,23,24,26,31
Chr1+33058583,LOC_Os01g57210,7,5,2,2,1,0,1,4,1,1,1,1
Chr1+33055124,LOC_Os01g57210,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+33052173,LOC_Os01g57210,0,0,0,1,0,1,0,1,0,1,1,2
Chr1-33369626,LOC_Os01g57720,1,0,1,0,0,0,0,0,0,0,0,0
Chr1-33368699,LOC_Os01g57720,0,11,11,14,11,11,13,11,6,11,13,5
Chr1-33368984,LOC_Os01g57720,59,60,47,57,47,46,72,72,73,30,25,33
Chr1-33369580,LOC_Os01g57720,2,2,4,2,2,0,8,10,7,5,3,10
Chr1-33369316,LOC_Os01g57720,0,0,0,1,0,1,0,0,0,1,0,0
Chr1+33663175,LOC_Os01g58240,4,3,4,94,98,94,1,0,1,0,0,0
Chr1+33663606,LOC_Os01g58240,0,0,0,31,19,29,0,0,1,0,0,0
Chr1+33672497,LOC_Os01g58240,2,5,4,143,144,79,26,23,19,0,0,0
Chr1-34163816,LOC_Os01g59140,1,1,2,3,1,2,5,4,4,0,0,3
Chr1-34163514,LOC_Os01g59140,1,2,2,2,3,2,4,5,4,1,0,3
Chr1-34165817,LOC_Os01g59140,7,3,5,8,2,6,5,4,5,1,1,0
Chr1-34163746,LOC_Os01g59140,32,37,38,57,61,61,67,82,57,37,38,38
Chr1+34202742,LOC_Os01g59200,0,0,0,1,1,1,0,0,0,0,0,0
Chr1+34202645,LOC_Os01g59200,1,1,1,0,0,0,0,0,0,0,0,0
Chr1+34423675,LOC_Os01g59530,150,154,120,2,8,10,836,814,869,47,49,49
Chr1+34423862,LOC_Os01g59530,2,2,2,2,1,2,1,1,0,0,1,0
Chr1-36014043,LOC_Os01g62230,384,430,306,476,431,476,89,130,148,145,148,161
Chr1-36014480,LOC_Os01g62230,1,4,2,1,1,3,1,1,1,1,0,1
Chr1-36102686,LOC_Os01g62380,59,70,70,46,49,47,34,38,32,79,36,87
Chr1-36099882,LOC_Os01g62380,8,2,1,4,3,4,1,1,0,6,4,0
Chr1-36141689,LOC_Os01g62440,0,0,0,0,0,0,0,1,0,0,0,0
Chr1-36138825,LOC_Os01g62440,91,93,79,11,10,10,43,37,36,29,24,22
Chr1-36139131,LOC_Os01g62440,0,2,1,1,1,1,4,1,3,1,1,1
Chr1-36145739,LOC_Os01g62440,3,3,3,0,0,0,1,2,2,0,0,0
Chr1+36280264,LOC_Os01g62650,0,0,0,2,1,2,0,0,0,1,0,0
Chr1+36286366,LOC_Os01g62650,60,58,56,163,124,142,150,170,176,367,375,301
Chr1+36280419,LOC_Os01g62650,0,0,0,0,0,1,9,0,5,1,0,1
Chr1+36285594,LOC_Os01g62650,3,0,4,0,0,0,2,3,1,0,0,0
Chr1+36440121,LOC_Os01g62900,9,13,14,11,16,5,43,39,31,55,53,52
Chr1+36440402,LOC_Os01g62900,0,4,1,4,3,1,5,6,4,5,3,2
Chr1+36483777,LOC_Os01g62970,0,0,0,0,0,1,0,1,0,0,0,0
Chr1+36481175,LOC_Os01g62970,3,11,4,3,2,3,2,2,2,1,1,0
Chr1+36484002,LOC_Os01g62970,20,8,9,11,10,11,241,248,200,17,21,18
Chr1-37049115,LOC_Os01g63854,26,27,28,15,14,14,13,12,13,7,28,5
Chr1-37043633,LOC_Os01g63854,87,68,89,41,82,32,61,61,67,62,72,62
Chr1-37043453,LOC_Os01g63854,6,4,8,1,7,5,2,2,0,3,0,2
Chr1-37048729,LOC_Os01g63854,0,0,0,0,0,0,1,1,2,1,0,0
Chr1-37048182,LOC_Os01g63854,0,0,0,0,1,0,0,0,0,0,0,0
Chr1-38206951,LOC_Os01g65790,312,329,348,189,190,186,199,213,194,82,84,78
Chr1-38208579,LOC_Os01g65790,1,8,5,2,6,0,4,3,4,2,1,0
Chr1+38332591,LOC_Os01g66050,22,21,34,24,35,17,29,39,33,47,56,34
Chr1+38332293,LOC_Os01g66050,0,0,0,0,0,1,2,3,3,0,3,1
Chr1-38400569,LOC_Os01g66120,0,0,0,1,1,1,0,0,0,0,1,0
Chr1-38399973,LOC_Os01g66120,1,0,0,1,0,3,0,0,0,0,0,0
Chr1-38398218,LOC_Os01g66120,0,0,0,1,0,0,0,0,0,0,0,0
Chr1-38400637,LOC_Os01g66120,0,0,0,0,0,3,0,0,0,0,0,0
Chr1-38398994,LOC_Os01g66120,169,172,154,1921,1855,1913,566,511,513,265,295,236
Chr1+39863578,LOC_Os01g68640,2,7,12,4,2,5,6,5,5,6,5,3
Chr1+39863436,LOC_Os01g68640,0,0,0,2,1,2,6,9,5,3,3,4
Chr1+40920737,LOC_Os01g70670,21,19,22,25,26,3,33,43,37,24,11,7
Chr1+40918499,LOC_Os01g70670,0,0,0,0,0,0,0,0,0,1,1,0
Chr1+40920606,LOC_Os01g70670,53,45,74,46,38,95,73,52,63,99,74,97
Chr1-43072749,LOC_Os01g74350,41,51,43,125,144,113,64,59,73,72,55,78
Chr1-43075776,LOC_Os01g74350,22,23,38,40,33,42,39,37,38,92,95,88
Chr2-1178924,LOC_Os02g03000,3,3,1,1,1,1,4,4,0,1,0,3
Chr2-1178890,LOC_Os02g03000,8,6,15,0,1,1,14,15,7,32,29,29
Chr2+1211089,LOC_Os02g03060,35,29,29,26,29,38,28,29,30,36,26,37
Chr2+1210986,LOC_Os02g03060,0,1,0,0,1,2,0,0,0,1,1,1
Chr2-1288905,LOC_Os02g03230,2,6,4,0,1,2,2,1,0,0,0,0
Chr2-1289078,LOC_Os02g03230,729,500,702,65,59,60,311,316,258,134,145,137
Chr2-1550782,LOC_Os02g03700,8,6,9,12,15,13,3,57,51,6,3,10
Chr2-1551808,LOC_Os02g03700,0,0,0,1,0,1,1,0,0,0,0,0
Chr2-1551474,LOC_Os02g03700,0,0,0,0,1,1,2,4,0,1,0,0
