chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,husk1,husk2,husk3,husk4,husk5,husk6,anther1,anther2,anther3,anther4,anther5,anther6,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6
Chr1+415839,LOC_Os01g01780,27.38454234,34.55088656,25.95920302,32.8990733,26.68908951,20.60658106,29.71936339,27.30274044,21.55152114,21.36157202,31.1204762,31.79824494,16.00383029,20.10569987,12.85673864,13.93445058,26.87261134,31.76145657,22.58377358,18.39136076,20.41748146,21.14866403,19.13593428,9.212041368,7.532689271,16.8540478,22.77458681,20.20470295,17.5502993,9.867146912,12.53429105,11.89194945,10.34050783,23.77062065,7.197902126,18.14178539,7.380913973,13.93823376,28.5241479,24.01020674,18.44742369,12.1084037,1.234496063,10.65680398,5.750964643,10.48132246,7.499979058,7.806718362,8.559774789,13.82201864,18.39159992,11.0735233,21.45895258,11.13016333,12.05652189,16.46518568,15.3284565,13.29040837,13.40736982,12.61677711,53.32965359,48.51971664,43.37499752,42.6400746,53.7146452,51.29708251,1.153924046,2.148038546,0.02467651,2.80177242,1.432513409,1.195404579,56.16916888,41.32046182,57.94942061,51.60425456,72.63701994,49.99129921,26.35244037,29.64072202,21.50041382,9.598467664,25.57436912,25.43392314
Chr1+415356,LOC_Os01g01780,2.906406609,5.534005427,1.125624591,7.358031883,0.992003692,5.162205136,4.320875601,6.793591681,7.543054996,4.820002319,1.322573142,4.239603076,0.57187228,2.103083808,0.321285924,0.472912795,1.636477844,0.52360553,1.43811453,1.114117738,1.465006587,1.344079389,0.272903861,2.061468461,0.316466203,1.439835917,0.49776473,0.381699164,0.04910136,0.825593414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322175974,0.216814199,0.39053685,0.716829647,1.122556433,0.023282772,0,0,0,0,0,0,8.41589061,1.846809882,5.342526451,6.918426646,9.656496977,6.090070638
Chr1-1089988,LOC_Os01g02940,1.445368691,7.326284931,0.972772633,3.028917853,6.715914984,3.813269237,0.653039925,0.660339123,2.804967597,2.329044708,0.958076385,0.559172711,19.37138264,24.08259438,8.545328549,18.31925696,17.32279199,13.6977416,113.1964066,111.519851,111.0848295,113.1586721,106.4076972,112.2190934,5.659027328,4.897036189,5.986535661,2.986559937,6.472959144,5.476084149,0.963193435,0.160720413,0.131922934,1.566535603,0.24900141,1.941172088,0.594192179,0.293000789,0.081416121,0.029323086,0.168211419,0.545696178,117.3714964,114.5734965,102.0068814,118.6836521,105.2043037,116.8977638,24.99978034,30.60699256,36.43510245,35.54487167,30.83882246,29.41105029,49.34245563,37.39643648,32.14806883,27.77184884,35.50446948,46.45416825,40.59771718,36.84227891,47.36745074,39.57586093,45.75312796,42.98882894,110.6900002,21.90541525,104.1652806,4.617386632,14.54350727,128.9632539,80.74934109,73.06917221,81.23181706,79.51473215,95.20223527,92.09764123,14.49925901,3.732654716,6.127931895,6.669287278,20.18277889,11.90770063
Chr1-1089872,LOC_Os01g02940,20.62988686,21.61662716,22.61488254,26.12561041,11.44575079,33.2309829,2.336980356,0.470094308,7.904495566,3.055599642,6.526667556,5.566879582,38.61740857,47.54381394,36.69616295,34.99149292,37.3830143,32.53398042,121.9162722,125.2321142,124.7105364,128.0029674,119.7248995,124.2542411,9.607269178,12.66310043,21.55432598,25.68703976,14.62426642,23.18085586,2.363694995,2.966506927,3.486297321,3.040696323,7.375314254,5.64759765,3.37675027,2.16754139,1.964690826,1.820577361,2.363191376,2.272209189,94.97610651,107.0077119,82.80612011,111.1893435,104.2777403,77.09424379,42.75115055,38.82621506,28.29691046,48.41619977,32.41934561,23.72665996,44.77793554,60.61069846,39.12162476,45.79180373,55.54410818,27.90636123,22.51403542,22.14114892,53.89185035,40.72350161,30.434143,56.26558543,23.01986584,8.472217756,30.34780516,27.9132254,16.90567895,19.42194713,91.01150809,124.1806717,70.69874595,84.44748291,96.16659307,78.01482476,16.50719832,18.72898681,18.36999581,18.26478353,19.35538321,18.8514017
Chr1-1090107,LOC_Os01g02940,1.324818537,0.232385584,0.280100113,0.026797073,0.624683916,0.222852252,0,0,0,0,0,0,0,0,0,0,0,0,10.28918029,4.082528152,9.465691443,6.07340212,12.13146269,7.621819985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41688195,10.1290019,15.62486679,16.13798403,14.01150975,8.310382344,6.467289799,13.23303229,9.561225243,10.09898783,8.346149591,6.652417258,2.028712324,0.697894341,1.51431745,1.576155657,1.947005583,1.371433136,4.292839661,2.676302765,2.416334425,2.42732092,1.074133524,2.044074298,0,0,0,0,0,0,3.347140019,2.639464854,2.234268091,1.268232318,2.611609855,2.722206386,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,12.08129787,10.44237147,10.39084087,13.29528547,8.057983059,10.54098369,8.190370237,15.34377892,0.309507139,6.496167597,11.27914023,2.795086613,0.306699466,0.919368948,0.166031051,0.373411579,0.423938055,0.013486714,31.47714144,28.87958997,15.29788966,28.96176097,34.5345086,35.84267712,61.57198854,62.94948383,57.36489052,48.14607305,59.14779689,54.7841867,20.5154923,28.81226293,40.44468638,22.05569702,37.11804742,23.12689277,2356.296534,2357.698589,2183.96945,2404.54096,2226.653405,1950.470833,22.30415253,33.00931439,40.80844322,20.3105046,30.7763694,25.47916767,485.2207009,391.6195321,561.3185534,566.8201198,524.5544713,430.077392,364.534355,341.4945482,429.7588677,382.7971083,472.8693312,288.1337206,224.0508256,198.5055356,246.742424,314.3694487,220.4601897,225.735108,533.3203761,2263.886521,660.0607881,1943.139619,500.6913179,757.6452931,768.3780144,743.335884,639.7745351,757.2017016,597.7981471,668.0983032,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,2.35368904,2.216258886,2.024576886,1.896525854,6.906555239,1.153478152,1.841613268,4.069427227,3.869181033,5.974803864,0.320350222,3.477597294,1.28341231,0.333937129,0.967350332,2.433441638,1.144915396,0.982520738,2.866441426,5.493880903,4.088909654,4.223591598,4.411828425,3.115052554,8.596385607,9.564175013,5.870332831,5.105371214,11.0587971,16.44861252,5.070289806,3.80200884,4.391335426,4.807350502,3.119534903,2.726303584,328.7986665,329.0610379,326.0334916,320.8880977,328.7127318,323.5792472,2.06460955,1.570467946,2.835123648,0.183369751,5.153345267,6.044907972,82.508466,84.89766313,79.27877626,111.2504447,100.8759954,109.6585068,102.3537114,77.51859675,99.49803936,68.25436526,99.17998937,76.2381906,51.10369227,50.94106736,62.88883379,75.11252056,53.61759405,38.41055943,89.64897436,6.421958425,59.36461687,0.397332377,39.20373089,1.243863491,171.9303306,181.0337481,174.1224464,171.2302365,190.9673775,183.9923149,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,89.6107189,40.52989459,66.18941556,74.26503244,92.67977207,43.38817083,60.47485578,60.5306526,61.16729298,59.78598286,60.08860742,61.42496957,24.12571522,19.65089759,39.04183881,98.84437075,55.19199416,40.52055051,25.49954127,29.19908711,26.90060698,29.77500119,27.32319277,25.81347302,24.86573895,26.59010101,28.78830238,28.26391367,31.91397254,28.53525707,16.57809876,20.45959364,23.73425236,22.07211588,9.704555852,29.12587449,22.30795246,18.8756916,18.00968783,16.79914462,18.24495787,15.82792499,18.01126773,17.42239144,17.57255628,19.65927624,16.90526555,17.27870659,27.16118599,17.48323467,23.14784665,25.90133667,25.10325144,26.80558804,36.75566599,38.77079593,27.64397173,27.75079901,41.43742735,18.07332417,72.70589481,61.06600089,77.81578523,61.2418105,67.29580387,70.65482325,37.41683445,35.95474029,22.67154722,25.39993084,0.982797658,14.47676082,20.07328244,25.86882972,20.88603695,30.92589984,19.41056888,27.933078,33.94540622,73.89830284,96.35815167,108.9671918,53.6300934,62.78965658
Chr1+2792379,LOC_Os01g05830,0.092806593,4.538416582,2.476606143,5.411641853,1.898470111,25.16153566,6.185346013,7.144554608,7.159241212,4.078163772,3.524575341,5.020325122,7.045218103,1.913762878,0.576089228,5.080421133,4.941353871,2.458080058,0,0,0,0,0,0,3.047650675,0.24918759,0.10311802,1.688370908,1.357035243,0.232665264,0.460433455,0.497195145,0.642341661,0.436458639,0.712105215,1.028750808,0,0,0,0,0,0,0.524233903,0.810751545,0.376910226,1.419569022,0.159371634,0.933774248,0,0,0,0,0,0,0,0,0,0,0,0,1.162768223,0.023038887,0.082372849,0.033182139,0.610852671,0.18381639,0,0,0,0,0,0,0,0,0,0,0,0,3.448330908,3.518087262,3.696202863,3.700362579,3.24532548,5.040925553
Chr1+2795858,LOC_Os01g05830,28.52518003,45.52054909,54.50085883,37.31986829,43.04744778,57.23701022,100.0888734,67.31521655,48.88576203,126.2974689,42.56010468,98.1928834,68.30640374,62.75744556,68.84542614,62.40509843,65.00492116,64.37651172,30.35181873,27.50125487,11.7635146,40.0828429,25.89864331,21.72462572,104.9461202,0.987985297,93.98508548,65.31959303,24.3861356,60.67598209,33.71818021,33.71608738,41.44626845,33.59332562,32.82623108,34.7809829,16.36600032,37.76969172,20.63015763,27.1880408,36.79412761,34.34530919,25.68355081,26.62785313,20.01707336,35.56356024,29.55539608,27.80703462,37.35398127,34.46159647,36.84197785,35.56295462,36.98269115,34.75199726,15.33452494,51.80957659,23.03244978,3.324454503,32.59216564,43.08163081,26.86029375,24.12563303,24.11108976,26.51445233,24.35462791,23.35387146,4.074526568,8.893418008,7.577586658,5.302992244,5.608993656,2.843392174,10.79603923,16.14199896,10.67778269,15.37493112,8.862893831,11.87722922,65.29439879,67.55819993,74.85737046,72.91822123,64.68463569,69.24731264
