chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9
Chr1+415839,LOC_Os01g01780,21.94759531,43.70810735,2.687564942,14.21641649,44.57883226,22.49907218,29.19464265,34.01159895,35.28128362,26.73668589,17.17128691,20.99074641,23.08697911,26.61720741,25.63776421,22.70213847,17.92554972,34.25358748,26.0902522,20.46800717,26.44842531,19.0574385,29.6114822,35.54696745,20.11141566,21.21477414,13.93091674,18.33197271,23.02548078,14.67699106,26.22054365,11.94345016,16.68441276,15.07794187,17.2076055,15.25872652,4.658735937,3.30948523,18.47840008,25.6562566,18.28178736,21.76142699,21.52514781,26.45261102,6.399869636,24.04122693,22.43351913,29.21190346,23.4274208,10.31068537,15.87984389,7.154054201,19.96004388,28.78211809,4.54954083,16.66816311,11.67071547,22.40813028,16.03746759,16.0714696,15.97947141,19.71699778,6.851846052,5.836160308,9.190372495,7.382259965,5.88555203,6.571349231,9.120409983,13.49908876,7.999304786,5.831158717,11.02239899,24.76422276,14.67546784,21.27173796,18.42006192,20.64045676,9.757334636,9.722251258,9.443890918,13.74225553,11.84290321,13.12716416,11.96094605,17.41191326,11.51759955,13.60585941,16.93463061,18.00468567,58.37111056,55.00515069,41.12868679,55.1210435,48.79511664,48.29430476,57.79578158,44.2178832,53.09797006,4.233955035,1.842891373,5.632367059,2.363713922,4.964592804,1.815801266,0.324954368,5.335878887,3.640922048,56.64416154,56.2365074,77.00468268,54.99650223,49.81492208,56.70245929,51.96410316,46.17574356,47.76342205,16.95875134,15.32647011,25.97617312,19.6890472,21.19367897,18.46814038,18.99333075,5.314646675,24.75346014
Chr1+415356,LOC_Os01g01780,6.296566552,9.313417199,5.930577024,4.508703679,3.039847862,2.294971034,4.632424235,3.795597607,0.627161722,6.748912193,1.393642057,11.13263255,0.899080268,3.825453268,11.91311748,8.82499623,2.175129253,3.03581308,0.303186792,0.752489744,0.339486995,0.994047841,2.254127717,0.675443014,1.070521191,3.155938581,2.352599478,0.443945744,1.600833171,1.25032581,0.753978362,1.366388115,0.947287059,0.453939495,1.55239685,1.230623477,0.131732243,0.33473789,0.794647443,0.675319542,0.198533361,0.635442361,0.545249445,0.120150554,0.603202873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834539692,0.71198488,0.474159317,0.256381956,0.914557069,0.808747676,0.215979812,0.232545661,0.406562774,0,0,0,0,0,0,0,0,0,5.663680942,6.312098687,0.286242407,4.623678084,2.230413253,7.539708007,1.52274178,8.271652768,7.932772203
Chr1-1089988,LOC_Os01g02940,0.245190438,2.027816165,1.215295042,6.070259196,1.105329797,0.359934864,6.886304044,8.417227476,3.648882578,0.035875375,1.714313049,1.568724634,2.257163756,2.702807102,1.401100694,1.129736526,2.417519601,0.886033608,27.90373288,29.1301383,21.72027152,21.93930962,29.45237769,11.93900714,20.93840468,23.66331695,19.60816113,106.8672192,119.54744,106.0055629,112.0921001,109.9884765,106.1457385,113.9441989,114.2907765,117.232799,5.165730282,3.682984684,6.23927059,4.20551345,5.775596913,5.142701201,5.448490807,5.704713366,5.344907409,1.222953757,0.77753509,1.518479047,1.570094322,2.18172069,3.697470326,0.91402441,2.057759895,0.215745048,1.04274784,0.247784228,0.703193231,0.678037457,0.324323836,1.258338807,0.502344587,0.798817825,0.237464782,111.4876153,116.4721031,109.8952207,113.7673598,122.9370264,119.3357078,113.6458051,110.9215561,109.6920285,30.02371962,27.59046837,30.10645416,27.3094975,33.91197639,24.71700207,27.84300906,30.0733871,22.30023549,46.67828921,52.67152133,40.07645749,31.44646924,40.28341405,32.94125029,37.29092923,25.55189293,38.7678863,35.51890999,41.2998453,40.43590704,48.2413009,37.11062729,41.92943581,37.98993955,38.47480814,46.37257314,49.48913604,28.50800319,22.8290191,120.4081129,39.90137395,9.001391527,68.10318114,125.3323229,38.70679884,71.78423262,78.87037433,62.7030659,95.58494112,74.38647935,93.09139668,78.88898089,86.27940655,75.57966455,4.420064711,22.91786177,12.04627259,0.017845965,4.211911565,4.098335872,13.58050114,4.750936821,2.36139843
Chr1-1089872,LOC_Os01g02940,24.60430272,20.17642425,32.2072015,27.41716497,16.35967098,17.6680914,12.35283141,21.07528366,15.51922106,10.27141902,5.633079274,5.431985469,4.01235159,6.023276853,1.83898677,3.575503867,6.812453305,9.589208345,38.07834813,39.93982728,34.27832568,28.55683847,35.75358853,27.22606236,38.33105429,40.02759963,39.46746684,123.3739069,135.7193495,122.6911755,123.356382,120.3138609,126.6733002,126.2998426,117.3560377,128.5902396,16.74935683,24.16683204,7.448683133,17.99710755,16.04127677,10.49255115,4.346310077,8.92729028,24.80481894,3.99477154,4.759116166,1.135592743,2.47323658,0.517632505,2.347200394,0.944722694,3.211217003,2.986603581,2.514641431,1.570261027,1.501155547,1.6560868,2.539960464,2.478886261,1.648111432,2.519861627,0.828319236,77.35222683,82.30282911,99.82110028,86.21406734,106.7613178,95.27374201,114.6538554,86.25957196,85.55157547,28.18468828,27.22243855,53.62357708,28.48621437,48.0985728,29.02679531,37.3564643,50.45791779,45.46745343,64.8180962,65.2851138,74.67718155,56.5320875,47.49014673,60.40402841,58.19706179,60.18280395,52.97290515,57.95418015,29.34655411,20.0002147,43.82494604,24.69937555,46.10438719,44.90923186,25.21010654,41.38439389,17.29167299,0.487100269,34.64594492,24.47291393,17.5805243,44.25233269,23.62820665,3.752124767,39.3428596,86.70891029,80.39978853,95.73230282,100.6085893,98.48306033,99.97525175,94.27396605,78.93207364,89.3438471,19.61744519,20.29107131,19.05965119,19.70871879,19.96175901,20.62325969,18.46896679,18.3259676,18.54753964
Chr1-1090107,LOC_Os01g02940,0.349366949,0.320019344,0.147669904,0.11988799,0.466436624,0.828513098,0.175245906,0.229606367,0.090056779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46381801,1.975308582,6.010346704,6.448101128,8.108831353,8.237609371,7.060058593,2.576591463,2.778773692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26903333,7.542993711,16.88002689,15.11213852,16.97393411,9.122913507,11.58581937,13.34494475,7.858013802,1.08402051,5.788337858,7.210431796,8.165966193,9.827024481,6.170767441,5.640575836,1.729310672,9.060721839,0.331737751,2.954516576,1.050649211,0.066723883,2.028519914,0.332279339,0.596677398,3.102135536,0.224777351,3.741031541,5.628340276,0.122902046,1.439410062,2.325366553,1.788600512,2.151683017,4.061965508,0.680836655,0,0,0,0,0,0,0,0,0,3.188673209,0.913368318,0.360662621,2.193894194,1.477418259,1.98364409,3.109493266,2.393906153,2.964241091,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,12.45871396,10.93918401,10.13205683,14.66786302,8.301529481,8.935256676,8.600404035,8.556164279,12.54986757,15.53506105,13.72922785,19.21715667,0.373387067,16.80461026,4.41764514,0.899900273,9.403244723,17.48181109,0.827226549,0.551284542,0.966916135,0.29309292,0.554041689,0.140246378,0.927103842,0.624500313,0.210398486,26.2765615,13.37098879,10.86222061,33.59168419,36.58502201,36.22132117,27.52138019,34.22614014,23.02073086,43.22086555,53.73966809,62.67430498,45.05039831,47.38899368,50.92373488,46.39836378,44.57884247,51.88600654,30.84305166,40.26382581,21.39622581,14.52334817,26.37386828,8.72422534,5.83844777,23.49333448,32.58974313,2466.716756,2271.310287,2181.686873,2324.218149,1860.591574,2338.558391,1965.835836,1986.221036,2329.810606,30.07887779,10.87768594,17.57531988,27.3693073,22.46174883,26.81755851,33.18261389,19.47169375,28.32916173,598.4346853,443.5232365,371.9872085,442.374612,406.7273132,599.2304764,521.8153681,489.5729955,520.3286454,428.7547314,509.9507409,618.641269,396.5750793,175.3257494,653.124264,338.9819842,316.3511351,538.43782,221.4071904,219.1092406,235.3602729,222.180399,259.9985016,262.8402895,235.7282499,178.6796549,274.903106,2169.99285,1249.712499,316.6022494,3164.761556,1254.174833,1443.791071,269.2624037,1264.433424,1633.742481,769.241305,747.1109101,772.7118355,666.2873022,717.366712,724.4202692,614.1654412,764.2138009,665.5209153,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,2.396576411,5.002982023,3.08349957,2.001950733,1.897772034,1.593900267,2.150333802,3.657433628,5.646991507,4.262991961,0.239597877,2.252656688,7.020293268,1.140733465,4.439129687,4.79209422,5.659585319,12.26183934,0.216774803,0.201884426,4.176045953,2.014182514,0.753661563,1.415543545,1.958489606,1.839861667,1.377124617,3.21254438,4.660400413,4.768052798,4.871072916,1.739379337,1.114995652,3.046514125,1.720844259,3.821433934,9.478076155,3.818082162,11.02015306,17.81658452,11.22195536,5.265160002,13.59069498,3.61808334,5.211061365,3.365131798,4.90895819,3.79538245,4.029776832,4.973913195,3.925100937,6.044116316,3.326179636,3.610059254,324.652279,321.4411263,334.2537323,321.9654151,331.9995189,323.3142282,330.2130526,339.2397473,326.693712,6.492226431,4.434001357,4.027205632,3.1819627,3.426520069,2.428726122,6.558889928,4.698853397,3.19614457,93.84464577,105.2175711,114.710286,123.6076355,107.9813483,124.1829096,124.9213124,97.29663748,98.40251546,103.0270783,92.83434319,91.58996687,80.24795795,103.3570335,101.4232333,97.90614253,97.82640513,77.25676453,45.19060465,36.19198256,59.53984145,64.52713074,59.63774459,58.9154752,65.7921056,46.47948859,46.0943914,4.743509817,0.420892475,51.21392653,33.0580919,0.152023585,59.51997554,19.09622039,38.7881773,122.9293527,167.671961,192.5101584,181.4546183,162.9103299,179.4622804,201.5889517,186.0060326,184.9259318,185.5707359,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,81.44953105,32.14643952,39.75919756,43.02058881,57.19016436,42.31462407,36.36820138,38.41359754,65.86903273,59.98718593,58.55652771,60.33363572,60.19403205,60.0067802,60.31769587,63.15143138,60.96852294,60.82855393,62.82517929,2.937865381,53.302194,8.194185117,62.44888108,7.170250501,43.55824824,29.06194511,3.171438802,26.04054534,26.18438048,26.77583895,26.58809054,27.28504771,29.0419639,26.44412207,27.8883074,28.28227594,31.99831235,27.82747808,30.25061854,29.4288701,29.43516504,28.09354222,31.57493216,30.62314354,25.93694047,16.82132579,19.59413095,23.26656961,13.47225924,15.34276206,24.64713089,12.92431476,19.7833325,21.76438231,15.68136775,20.69053537,23.23204092,21.31815274,22.84793497,20.33474228,17.36135784,14.19897561,22.26571812,19.3632303,16.89089599,16.04402682,19.08895619,15.04969822,19.14755256,14.81218429,19.23739501,16.17044658,20.09819585,21.44081404,24.84287129,18.02117592,25.16599317,21.45161518,24.75621655,23.29051352,25.20524313,28.33078666,29.16161206,31.48221516,31.01313373,36.08363817,12.18596217,33.60103381,9.395697789,39.6982734,64.79574572,79.71061051,73.22034415,74.26285779,78.67498929,72.37410053,80.50708101,73.53007355,68.20935629,38.57724708,20.82820829,10.60901979,46.48747664,16.88103663,17.06004195,30.53638613,38.66608981,21.74048971,32.96700207,26.57007344,21.21211271,17.76060828,13.05446174,25.37490962,18.71267465,26.90216035,33.72769832,111.617821,103.0233284,150.508848,52.14828604,103.7366173,93.44997994,117.8586901,85.51923953,116.0505393
Chr1+2792379,LOC_Os01g05830,9.287516267,1.38880599,15.97432742,0.927194523,13.45067601,4.039971488,4.801499117,10.21344665,4.375488032,7.863570215,4.47102842,7.117084674,3.659097901,4.426437453,1.485065999,4.237398468,5.636249419,4.113074878,3.142793834,4.288930774,0.730062482,4.902890851,2.737868244,0.514469015,1.116710207,2.569272169,1.751534528,0,0,0,0,0,0,0,0,0,1.478242349,1.655049899,0.128398897,0.647221037,0.128803719,0.501742816,1.742820977,1.751309382,3.654586709,0.473123167,0.613608486,0.234593701,0.403818596,1.285544424,0.215646943,0.649817294,0.06036007,0.138466569,0,0,0,0,0,0,0,0,0,0.618977962,0.26292273,1.039777533,0.447423717,0.283192451,0.429320064,0.00551229,0.607720073,0.218347897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606939755,0.243322318,0.693936253,0.214044699,0.60381271,1.004511655,0.761330112,0.549004954,0.688355973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10481698,3.085476808,2.281270058,3.027652776,2.63482537,3.2584247,4.35611864,3.005939541,3.659131484
Chr1+2795858,LOC_Os01g05830,41.19499604,82.83545594,40.92185583,43.42445718,70.88227863,96.68168092,39.79225299,72.61032518,74.7361684,93.97728241,69.72482961,98.49125892,112.2047913,66.17773078,76.42098841,0.931957446,111.3441054,77.90864716,65.83063559,61.81943099,65.0824555,66.84973582,64.56208768,58.91999546,71.22982615,52.02922972,62.72623154,33.33844865,26.64286158,23.48654303,27.51051467,12.59934744,30.46823233,20.65567517,15.97180181,20.79704629,24.23089719,56.37932882,98.74643094,78.8718748,71.81012775,41.39265382,53.16716901,70.68916498,86.39571497,30.22358321,35.65912242,34.16841593,34.83696203,38.73489706,34.06208398,33.20501562,38.94675573,34.29673575,30.42709834,27.59100861,24.99878336,33.44028613,30.57821175,24.68679173,27.94262577,31.38468029,26.77541917,26.32032519,26.23596949,29.91201359,23.93128282,32.35304552,25.86103457,27.18832416,27.1623592,28.98504131,28.70611,35.42289904,41.75828438,32.58789626,35.65009159,35.53074822,36.17906908,34.91766182,38.42913332,28.62202869,20.1358779,24.6814947,25.12537708,36.98911559,24.82401406,41.49875933,31.30131434,10.74982799,27.34754016,26.91847985,29.48059717,25.93795751,22.95688582,29.51917153,19.97678268,22.58085418,28.7601805,2.550087334,3.843889352,1.904668713,11.04227771,6.414708975,9.587081856,14.66791896,13.60160031,4.172994859,10.76580303,2.294229394,16.83119061,11.39993035,18.7734306,8.212749577,10.88107264,11.52566785,13.29754195,69.19735864,69.45978121,74.29881925,69.17804693,64.60097331,68.31309286,73.02442779,70.35596111,64.5231127
