chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,shoot1,shoot2,shoot3,shoot4,shoot5,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,husk1,husk2,husk3,husk4,husk5,anther1,anther2,anther3,anther4,anther5,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,pistil1,pistil2,pistil3,pistil4,pistil5,embryo1,embryo2,embryo3,embryo4,embryo5
Chr1+415839,LOC_Os01g01780,9.938438643,6.327484857,28.00676314,17.85248566,53.2019459,26.99342673,19.80657103,36.59172445,25.68364051,17.03814268,31.71641301,23.52356345,21.13691807,8.25564759,21.74888939,15.36826027,22.4009345,17.26789732,21.29699628,22.3281278,13.5748819,14.21115778,8.133319694,0.709323937,18.03593421,12.82423798,6.698097709,12.77080799,16.47262905,16.03812684,24.34739395,19.52268975,14.985269,16.32488104,23.55279599,13.40405528,10.38461299,8.376209681,8.640019461,6.894099843,6.046270776,8.490065256,4.828036691,5.767747862,14.51515204,12.23492678,15.99467972,13.37993906,14.3852558,11.22627364,60.58311629,43.75561999,51.86648199,41.99170847,56.60418939,4.201726801,3.420163908,5.118596642,5.19001714,4.265224898,75.55866825,53.8004634,61.87776544,76.80562292,53.78902499,19.84291647,12.70597167,23.34779322,22.08166947,25.88936199
Chr1+415356,LOC_Os01g01780,8.192666297,7.783926212,2.883477643,5.447376482,4.953689997,6.055729595,11.24408409,7.592378323,3.057074663,5.155748501,0.494412051,0.368524915,0.452847433,1.783035135,0.396867031,1.732995493,0.496192566,1.254647849,2.62486927,0.98293906,0.796535364,0.024070638,0.644431281,0.226534302,2.611205117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345596055,1.647339502,0.265589311,0.29464479,0.294657737,0,0,0,0,0,1.683904408,0.681777853,9.298506715,3.446903803,9.73914895
Chr1-1089988,LOC_Os01g02940,9.713199767,2.685081174,4.594506603,4.127102352,1.626506415,3.256620898,0.408724287,0.721036492,0.909403248,1.420618023,8.252324905,22.44888225,25.52480958,19.98508393,16.78113205,114.563616,113.6545978,120.4314022,130.1091878,113.6511312,6.29516818,6.500847362,5.524204105,6.779928698,6.772115441,1.58557118,0.008713369,3.280681481,0.323663826,0.532959681,0.888953584,0.820278879,0.503684019,0.890460004,0.717104635,111.8259303,106.3253905,126.7351572,119.758454,111.5787501,27.50854607,37.22438872,27.37806332,22.57780446,22.00365006,30.74715869,34.96462162,31.20301324,46.33773126,36.30157597,52.60746931,42.90939602,38.9578281,45.51902155,45.99737865,14.40026706,71.02888075,64.49761411,64.26047286,69.26910818,84.34132484,89.89764063,60.20978099,76.98036596,66.41882875,12.55286188,9.642611022,20.38776123,8.572426759,11.27115339
Chr1-1089872,LOC_Os01g02940,22.4050707,21.15410971,16.81015592,5.129679164,17.21352111,8.373413873,10.24873475,5.932707243,1.333186446,0.857449942,16.14311688,34.75286039,51.82355044,30.90998617,27.94973423,124.5469674,122.1846955,132.0985026,123.7148421,121.2814759,13.28649212,15.68056859,24.70788631,14.61567917,12.48876785,0.306747835,1.87515576,2.032850781,4.720552668,3.187851752,2.386743044,1.809138874,1.946500086,2.60461058,1.824176457,89.49710665,107.3773706,98.31955929,82.05018804,82.62383356,47.58957977,33.59207847,41.35882605,40.79102967,43.61675106,47.73297535,57.72042627,57.39622163,50.1313708,67.28679316,50.08616539,56.61707924,42.80310536,19.93421467,55.26005268,4.135118427,20.10524266,18.22091199,13.93066625,9.642715811,71.46416355,85.40992675,78.85856144,75.52127165,72.80612173,17.99828643,18.34466038,18.36686322,16.48795273,22.54481327
Chr1-1090107,LOC_Os01g02940,0.257115414,0.440897619,0.033071517,0.558465625,0.648532988,0,0,0,0,0,0,0,0,0,0,3.608963273,2.943166847,4.251417722,13.30516537,8.152012989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33288575,19.84951799,11.32301562,17.50858392,16.47094198,5.291460216,8.929421092,5.097812203,9.376131872,2.119325092,2.131294128,0.002603945,2.924137655,3.603852414,1.606119321,0.782274047,3.939948939,2.928006652,4.052141473,1.305436682,0,0,0,0,0,1.115914329,0.177314265,0.678953049,3.522625438,2.461590025,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,12.95816749,10.46882866,8.378233765,12.66243869,14.94364107,4.288176548,0.100014782,2.099071961,13.84105292,23.92409931,0.59523334,0.289615016,1.406756887,0.044972551,0.852799076,28.38736615,15.82859187,29.26612186,25.74249958,12.49738651,56.02995011,42.44883676,53.90185017,48.88854147,45.82442986,35.20509542,26.86996238,23.90947055,15.40522179,15.30283883,2076.941088,2632.686877,2166.966849,2152.137454,2189.413026,25.537516,28.86551063,17.00896326,7.798698179,17.09535662,478.6638066,373.365228,505.2029098,639.2005663,410.7054005,418.490373,381.8509182,395.0788601,438.0408089,414.3076279,327.1204658,301.8109954,187.0318115,242.1193647,164.200594,108.2720825,939.7540855,1330.097681,560.1716537,2526.879396,656.9406162,590.4020202,485.999681,616.0170318,682.1402509,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,4.183576979,3.250161949,4.731827779,0.094712531,0.471724419,4.583990913,1.429012044,1.695111141,7.394443829,2.116288406,0.024801776,1.253650975,2.014966268,1.019714425,1.746499732,4.796852877,3.567193301,2.975400024,3.526526158,4.80446097,11.19805465,4.733533076,6.174321832,15.02061429,16.95762906,3.705973219,5.062736138,3.91081699,3.554683778,3.723958215,320.4337244,321.8907571,322.7078748,331.1431786,327.8653621,1.406096373,3.850210058,4.68201998,3.151512432,1.083627027,86.76663489,98.34014637,106.0482894,99.46304329,112.7066195,92.07828317,83.83921381,107.1356118,90.30015478,118.0314417,62.55093901,62.27115222,48.79940768,56.08309724,71.53101716,42.4759164,14.93356019,16.58108323,12.14829375,10.21014553,185.4846962,188.2941762,192.323899,193.7369103,194.9055168,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,60.63050435,29.55335831,10.33033301,34.45066312,70.45549009,60.30036874,59.97064151,59.02532868,60.04620621,59.20000739,46.45789354,51.39162468,18.91992617,69.83431303,10.27945759,29.57118031,25.75786583,30.04304062,24.37756121,24.53551333,27.62700858,26.37509172,28.66293328,31.48693523,28.9598382,19.48943026,11.67824903,24.00747308,20.23906949,22.33507303,17.67844206,17.31668022,20.98488916,22.44900935,23.21895659,15.19780882,15.82026625,17.50131533,17.8594091,18.24049114,25.23147837,21.78472757,26.65679689,26.30616965,19.87615853,27.7314047,12.11702291,36.47127613,26.39808579,29.36160463,80.50191605,58.4387181,63.74122966,68.83735775,66.99418356,60.97194101,57.67844137,57.66891094,4.93160044,18.49796217,29.0440256,15.33757105,29.22258759,25.87592991,18.02965734,75.07311701,65.09959432,77.88763319,47.85245944,81.31529048
Chr1+2792379,LOC_Os01g05830,13.52765806,9.060403901,15.09067977,0.433369808,11.2742354,2.389321329,7.93458933,6.688186198,2.361661278,10.82779048,2.175267662,3.566428951,4.208735368,0.682886632,0.045741421,0,0,0,0,0,2.339970637,1.45842212,0.567643969,1.188037971,2.565034726,0.549765076,0.293592172,0.648981767,1.136065084,1.323555342,0,0,0,0,0,0.864247793,0.258629503,0.212048221,0.393280708,0.667420319,0,0,0,0,0,0,0,0,0,0,0.655524019,0.730562446,0.373918204,0.400688695,1.143476213,0,0,0,0,0,0,0,0,0,0,2.490685329,3.034362353,3.730710753,3.214261911,3.331218606
Chr1+2795858,LOC_Os01g05830,75.75676254,58.38846508,60.97350302,110.8636245,77.71355081,131.3278808,82.13917022,131.7924675,109.0228427,82.25757115,74.31279103,71.439308,62.44900308,56.85574429,59.09303407,27.47798314,31.31155576,34.20898241,36.0568687,20.26355471,111.4620435,65.58648883,73.10229437,23.98935044,40.03823731,40.01452906,33.17500095,37.53196363,32.7284416,31.07608829,28.26869694,22.73557494,24.89314369,30.69629919,17.12086728,22.6891278,37.73536768,26.96756275,26.26785226,35.22726346,39.02174456,34.43134075,38.76834009,30.90476742,33.19766872,8.925726535,21.12176533,22.87420879,17.21868183,16.9927273,26.49900415,25.73683928,24.61233427,21.47803217,26.29425287,14.92216294,2.467584814,3.702833789,11.19588392,7.904536495,10.12095981,9.286349909,9.933372557,14.48367448,10.97082044,67.46189027,70.4053243,69.65255921,63.23600576,69.98076676
