"","chrstrandcoord","gene","endosperm1","endosperm2","endosperm3","shoot1","shoot2","shoot3","leaf_60days1","leaf_60days2","leaf_60days3","root_5days1","root_5days2","root_5days3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",3,2,0,1,3,2,0,1,0,0,1,2
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",50,42,47,1,0,0,3,3,3,6,6,2
"3","Chr1+356171","LOC_Os01g01689",2,1,0,2,2,4,1,2,2,2,1,1
"4","Chr1+371188","LOC_Os01g01689",76,78,72,30,27,16,32,19,35,13,20,21
"5","Chr1+374561","LOC_Os01g01700",0,0,0,5,7,6,6,3,3,18,18,13
"6","Chr1+374424","LOC_Os01g01700",211,245,220,212,233,182,138,143,144,242,262,293
"7","Chr1+1856529","LOC_Os01g04200",0,2,0,2,2,0,1,0,0,0,3,0
"8","Chr1+1856256","LOC_Os01g04200",32,45,49,38,31,43,9,9,9,13,16,14
"9","Chr1+1856117","LOC_Os01g04200",7,11,12,1,1,0,1,1,1,1,1,1
"10","Chr1+1855402","LOC_Os01g04200",19,3,19,31,50,42,17,20,19,31,33,28
"11","Chr1+2608018","LOC_Os01g05500",3,3,3,0,0,0,1,0,1,0,0,1
"12","Chr1+2601686","LOC_Os01g05500",10,3,1,0,0,0,0,0,0,0,0,1
"13","Chr1+2600567","LOC_Os01g05500",9,13,9,5,9,15,13,10,9,5,10,4
"14","Chr1+2609247","LOC_Os01g05500",5,8,2,0,0,0,0,0,0,0,0,0
"15","Chr1+2612758","LOC_Os01g05500",321,361,353,149,153,147,298,303,355,121,129,133
"16","Chr1-3667570","LOC_Os01g07630",2,4,1,1,1,3,0,0,0,2,2,2
"17","Chr1-3671562","LOC_Os01g07630",0,0,0,0,0,0,0,0,0,0,0,0
"18","Chr1-3667505","LOC_Os01g07630",24,16,14,82,78,79,14,13,12,48,43,53
"19","Chr1-3713770","LOC_Os01g07740",24,50,54,51,48,48,8,31,13,66,51,55
"20","Chr1-3718312","LOC_Os01g07740",2,1,0,0,1,0,3,3,0,1,0,0
"21","Chr1+5412511","LOC_Os01g10280",2,3,1,1,0,9,3,4,3,6,3,4
"22","Chr1+5412761","LOC_Os01g10280",0,0,0,0,0,0,1,1,1,2,2,1
"23","Chr1+5412697","LOC_Os01g10280",3,3,11,0,2,0,4,2,6,0,3,0
"24","Chr1+6029641","LOC_Os01g11260",2,3,1,6,6,7,2,1,0,10,2,1
"25","Chr1+6029525","LOC_Os01g11260",27,12,27,1,3,3,0,0,0,1,1,1
"26","Chr1+6270688","LOC_Os01g11620",147,110,161,287,283,285,2,2,2,120,168,128
"27","Chr1+6270822","LOC_Os01g11620",1,0,0,24,25,25,0,0,0,13,14,10
"28","Chr1-6575126","LOC_Os01g12080",1,1,0,7,0,2,15,15,14,1,2,2
"29","Chr1-6572018","LOC_Os01g12080",3,2,4,9,25,3,47,48,47,8,9,9
"30","Chr1-6572877","LOC_Os01g12080",9,5,2,1,2,1,4,4,4,0,0,0
"31","Chr1-6572141","LOC_Os01g12080",54,81,63,112,118,120,361,346,339,38,46,52
"32","Chr1-6725035","LOC_Os01g12320",1,0,0,28,26,28,19,24,17,9,26,22
"33","Chr1-6724944","LOC_Os01g12320",0,1,4,171,176,189,109,113,108,153,113,162
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,1,1,0,0,0,1,3,1
"35","Chr1+7092083","LOC_Os01g12810",9,8,10,3,2,4,1,2,3,5,3,3
"36","Chr1+7095316","LOC_Os01g12810",17,14,19,130,131,120,478,497,471,9,9,8
"37","Chr1+7576953","LOC_Os01g13540",0,0,0,1,0,0,1,1,1,1,3,1
"38","Chr1+7576771","LOC_Os01g13540",20,0,2,102,102,99,829,813,894,71,115,115
"39","Chr1+7575165","LOC_Os01g13540",4,3,3,0,0,0,4,5,8,0,1,2
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,0,0,0,3,2,2,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,0,0,0,1,0,0,0
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0
"43","Chr1+7672581","LOC_Os01g13700",31,33,40,15,13,16,10,8,11,6,27,29
"44","Chr1+7672710","LOC_Os01g13700",239,197,107,199,210,228,159,161,124,298,297,303
"45","Chr1-7687909","LOC_Os01g13740",0,0,0,2,0,4,1,2,2,3,1,0
"46","Chr1-7686899","LOC_Os01g13740",8,6,0,335,330,322,1601,1649,1595,2,3,4
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,0,0,0,1,0,1,0,0,0
"48","Chr1-8175675","LOC_Os01g14590",19,19,15,10,12,14,10,15,10,5,3,4
"49","Chr1-8175468","LOC_Os01g14590",6,14,9,8,5,4,6,7,8,0,3,3
"50","Chr1+8408590","LOC_Os01g15000",8,11,2,0,0,0,0,1,0,0,0,0
"51","Chr1+8405373","LOC_Os01g15000",8,12,14,0,1,0,5,7,11,3,6,2
"52","Chr1+8408240","LOC_Os01g15000",9,10,7,0,0,0,1,5,8,1,0,0
"53","Chr1+8408351","LOC_Os01g15000",458,389,371,11,10,11,146,142,122,14,18,15
"54","Chr1+8407017","LOC_Os01g15000",9,6,4,0,0,0,0,0,0,0,0,1
"55","Chr1-9658230","LOC_Os01g16890",1208,1248,926,920,892,827,247,268,274,1759,1715,1771
"56","Chr1-9659592","LOC_Os01g16890",2,4,2,0,0,0,0,0,0,0,0,0
"57","Chr1-9660105","LOC_Os01g16890",2,0,2,0,0,0,0,0,0,0,0,0
"58","Chr1-9660661","LOC_Os01g16890",24,24,59,0,2,1,1,2,1,2,0,3
"59","Chr1-9658021","LOC_Os01g16890",2,14,12,0,6,4,1,0,1,6,10,13
"60","Chr1-9660380","LOC_Os01g16890",2,1,2,0,0,0,0,0,0,1,2,1
"61","Chr1+9879603","LOC_Os01g17180",1,1,0,0,0,1,1,0,1,0,0,0
"62","Chr1+9885367","LOC_Os01g17180",363,355,409,85,95,92,111,104,112,118,125,120
"63","Chr1+10655296","LOC_Os01g18850",20,8,1,0,0,0,0,0,0,0,0,0
"64","Chr1+10656648","LOC_Os01g18850",86,96,97,49,42,45,186,100,162,56,54,52
"65","Chr1+10679801","LOC_Os01g18880",0,0,0,0,0,0,0,0,0,1,2,0
"66","Chr1+10678290","LOC_Os01g18880",18,8,20,0,0,1,0,0,0,1,1,1
"67","Chr1+10676910","LOC_Os01g18880",0,0,0,0,1,1,1,0,0,1,3,3
"68","Chr1+10677075","LOC_Os01g18880",24,36,7,2,0,0,0,0,0,0,0,0
"69","Chr1+10679862","LOC_Os01g18880",45,44,36,0,2,2,10,7,5,8,9,7
"70","Chr1+11170325","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,0,1,0
"71","Chr1+11174452","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,16,16,8
"72","Chr1+11174321","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,11,9,4
"73","Chr1-11253657","LOC_Os01g19850",6,5,2,3,0,0,2,1,1,6,7,8
"74","Chr1-11253815","LOC_Os01g19850",1,1,0,0,0,0,0,2,0,0,0,0
"75","Chr1-11800239","LOC_Os01g21144",4,12,16,0,0,0,1,0,0,0,1,0
"76","Chr1-11801468","LOC_Os01g21144",4,3,2,2,4,5,0,0,1,2,2,2
"77","Chr1-11800290","LOC_Os01g21144",8,16,5,0,0,0,0,0,0,0,0,0
"78","Chr1+11975457","LOC_Os01g21450",0,1,1,0,0,0,1,0,0,0,0,1
"79","Chr1+11975299","LOC_Os01g21450",0,0,0,0,0,0,0,1,0,0,0,0
"80","Chr1+11981803","LOC_Os01g21450",394,488,491,106,111,91,210,247,237,92,57,55
"81","Chr1+11981977","LOC_Os01g21450",2,4,6,0,0,0,2,0,1,1,0,1
"82","Chr1-12704551","LOC_Os01g22600",1,7,4,0,0,0,0,0,0,0,0,0
"83","Chr1-12704882","LOC_Os01g22600",542,435,474,9,8,15,68,66,69,19,16,20
"84","Chr1-12704755","LOC_Os01g22600",217,231,223,14,23,14,124,138,128,17,22,20
"85","Chr1+13305003","LOC_Os01g23640",4,14,24,0,0,0,0,0,0,0,0,0
"86","Chr1+13304670","LOC_Os01g23640",4,5,11,0,0,0,0,0,0,0,0,0
