chrstrandcoord,gene,shoot1,shoot2,shoot3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,anther1,anther2,anther3
ChrSy+235579,ChrSy.fgenesh.gene.33,1,3,2,0,0,0,0,1,2,1,1,1
ChrSy+236049,ChrSy.fgenesh.gene.33,1,0,0,1,1,1,6,6,2,2,5,2
Chr1+356171,LOC_Os01g01689,2,2,4,0,0,0,2,1,1,0,1,0
Chr1+371188,LOC_Os01g01689,30,27,16,38,34,35,13,20,21,27,18,24
Chr1+374561,LOC_Os01g01700,5,7,6,4,4,4,18,18,13,20,16,5
Chr1+374424,LOC_Os01g01700,212,233,182,199,194,177,242,262,293,227,224,249
Chr1+1856529,LOC_Os01g04200,2,2,0,1,1,0,0,3,0,3,2,1
Chr1+1856256,LOC_Os01g04200,38,31,43,8,10,6,13,16,14,14,10,14
Chr1+1856117,LOC_Os01g04200,1,1,0,0,0,0,1,1,1,0,0,2
Chr1+1855402,LOC_Os01g04200,31,50,42,19,12,16,31,33,28,18,10,15
Chr1+2608018,LOC_Os01g05500,0,0,0,0,0,0,0,0,1,0,0,2
Chr1+2601686,LOC_Os01g05500,0,0,0,0,0,0,0,0,1,2,1,0
Chr1+2600567,LOC_Os01g05500,5,9,15,6,12,3,5,10,4,3,6,6
Chr1+2609247,LOC_Os01g05500,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2612758,LOC_Os01g05500,149,153,147,240,232,232,121,129,133,186,189,182
Chr1-3667570,LOC_Os01g07630,1,1,3,3,1,1,2,2,2,0,1,0
Chr1-3671562,LOC_Os01g07630,0,0,0,0,0,0,0,0,0,1,1,1
Chr1-3667505,LOC_Os01g07630,82,78,79,22,25,25,48,43,53,23,21,23
Chr1-3713770,LOC_Os01g07740,51,48,48,36,34,39,66,51,55,233,91,209
Chr1-3718312,LOC_Os01g07740,0,1,0,0,0,1,1,0,0,0,0,1
Chr1+5412511,LOC_Os01g10280,1,0,9,2,2,3,6,3,4,0,1,2
Chr1+5412761,LOC_Os01g10280,0,0,0,1,1,3,2,2,1,0,0,0
Chr1+5412697,LOC_Os01g10280,0,2,0,0,1,0,0,3,0,0,2,0
Chr1+6029641,LOC_Os01g11260,6,6,7,3,1,1,10,2,1,17,14,26
Chr1+6029525,LOC_Os01g11260,1,3,3,0,0,0,1,1,1,1,1,2
Chr1+6270688,LOC_Os01g11620,287,283,285,12,10,11,120,168,128,12,18,14
Chr1+6270822,LOC_Os01g11620,24,25,25,0,1,0,13,14,10,0,1,2
Chr1-6575126,LOC_Os01g12080,7,0,2,4,6,3,1,2,2,4,4,1
Chr1-6572018,LOC_Os01g12080,9,25,3,18,15,18,8,9,9,5,4,4
Chr1-6572877,LOC_Os01g12080,1,2,1,1,3,0,0,0,0,0,1,0
Chr1-6572141,LOC_Os01g12080,112,118,120,99,134,137,38,46,52,36,39,34
Chr1-6725035,LOC_Os01g12320,28,26,28,13,28,35,9,26,22,4,1,0
Chr1-6724944,LOC_Os01g12320,171,176,189,221,223,192,153,113,162,24,23,28
Chr1-6725081,LOC_Os01g12320,0,1,1,0,0,3,1,3,1,0,0,0
Chr1+7092083,LOC_Os01g12810,3,2,4,4,1,4,5,3,3,0,0,0
Chr1+7095316,LOC_Os01g12810,130,131,120,179,182,173,9,9,8,67,52,52
Chr1+7576953,LOC_Os01g13540,1,0,0,0,0,0,1,3,1,5,3,1
Chr1+7576771,LOC_Os01g13540,102,102,99,193,197,207,71,115,115,68,66,40
Chr1+7575165,LOC_Os01g13540,0,0,0,1,0,0,0,1,2,4,3,2
Chr1-7623978,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-7619138,LOC_Os01g13610,0,0,0,3,3,0,0,0,0,16,9,14
Chr1-7618935,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+7672581,LOC_Os01g13700,15,13,16,15,11,10,6,27,29,38,37,38
Chr1+7672710,LOC_Os01g13700,199,210,228,178,179,183,298,297,303,262,239,261
Chr1-7687909,LOC_Os01g13740,2,0,4,0,0,0,3,1,0,0,1,0
Chr1-7686899,LOC_Os01g13740,335,330,322,667,525,670,2,3,4,12,7,3
Chr1-8175378,LOC_Os01g14590,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-8175675,LOC_Os01g14590,10,12,14,0,11,5,5,3,4,4,6,4
Chr1-8175468,LOC_Os01g14590,8,5,4,3,4,3,0,3,3,4,4,4
Chr1+8408590,LOC_Os01g15000,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+8405373,LOC_Os01g15000,0,1,0,1,2,5,3,6,2,0,0,0
Chr1+8408240,LOC_Os01g15000,0,0,0,5,4,6,1,0,0,0,0,2
Chr1+8408351,LOC_Os01g15000,11,10,11,59,45,45,14,18,15,59,57,56
Chr1+8407017,LOC_Os01g15000,0,0,0,1,0,1,0,0,1,0,0,0
Chr1-9658230,LOC_Os01g16890,920,892,827,1167,883,999,1759,1715,1771,439,449,470
Chr1-9659592,LOC_Os01g16890,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-9660105,LOC_Os01g16890,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-9660661,LOC_Os01g16890,0,2,1,1,0,0,2,0,3,0,0,0
Chr1-9658021,LOC_Os01g16890,0,6,4,5,8,4,6,10,13,3,3,4
Chr1-9660380,LOC_Os01g16890,0,0,0,0,0,0,1,2,1,0,0,2
Chr1+9879603,LOC_Os01g17180,0,0,1,0,0,0,0,0,0,0,0,0
Chr1+9885367,LOC_Os01g17180,85,95,92,96,58,96,118,125,120,166,172,174
Chr1+10655296,LOC_Os01g18850,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+10656648,LOC_Os01g18850,49,42,45,105,108,103,56,54,52,24,29,33
Chr1+10679801,LOC_Os01g18880,0,0,0,0,0,0,1,2,0,2,0,0
Chr1+10678290,LOC_Os01g18880,0,0,1,0,1,1,1,1,1,1,2,1
Chr1+10676910,LOC_Os01g18880,0,1,1,2,1,0,1,3,3,4,3,1
Chr1+10677075,LOC_Os01g18880,2,0,0,0,0,0,0,0,0,2,1,0
Chr1+10679862,LOC_Os01g18880,0,2,2,18,14,19,8,9,7,43,49,39
Chr1+11170325,LOC_Os01g19694,0,0,0,0,0,0,0,1,0,0,0,1
Chr1+11174452,LOC_Os01g19694,0,0,0,0,0,0,16,16,8,0,0,0
Chr1+11174321,LOC_Os01g19694,0,0,0,0,0,0,11,9,4,0,0,0
Chr1-11253657,LOC_Os01g19850,3,0,0,2,1,1,6,7,8,61,57,57
Chr1-11253815,LOC_Os01g19850,0,0,0,0,0,0,0,0,0,5,4,4
Chr1-11800239,LOC_Os01g21144,0,0,0,0,0,0,0,1,0,0,0,1
Chr1-11801468,LOC_Os01g21144,2,4,5,3,4,4,2,2,2,11,19,4
Chr1-11800290,LOC_Os01g21144,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+11975457,LOC_Os01g21450,0,0,0,0,0,1,0,0,1,0,2,2
Chr1+11975299,LOC_Os01g21450,0,0,0,0,0,0,0,0,0,8,9,8
Chr1+11981803,LOC_Os01g21450,106,111,91,160,134,155,92,57,55,187,191,174
Chr1+11981977,LOC_Os01g21450,0,0,0,0,0,1,1,0,1,0,0,1
Chr1-12704551,LOC_Os01g22600,0,0,0,0,0,0,0,0,0,1,0,0
Chr1-12704882,LOC_Os01g22600,9,8,15,54,71,64,19,16,20,33,15,36
Chr1-12704755,LOC_Os01g22600,14,23,14,90,77,86,17,22,20,75,80,69
Chr1+13305003,LOC_Os01g23640,0,0,0,0,0,0,0,0,0,0,0,0
