chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,dry_seed10,dry_seed11,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,endosperm10,endosperm11,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,imbibed_seed10,imbibed_seed11,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,shoot10,shoot11,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_20days10,leaf_20days11,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,leaf_60days10,leaf_60days11,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,stem_60days10,stem_60days11,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_5days10,root_5days11,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,root_60days10,root_60days11,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,husk10,husk11,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,anther10,anther11,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,mature_pollen10,mature_pollen11,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,pistil10,pistil11,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9,embryo10,embryo11
Chr1+415839,LOC_Os01g01780,25.56574708,10.85372316,39.37484413,4.264551983,37.86252636,8.14131581,19.45698768,12.79674256,28.5231197,17.33728463,2.214960496,14.28270001,22.5450988,35.25020377,15.53329412,25.47334105,18.33558233,18.12740018,25.64498606,22.5962111,23.29085786,24.22412493,17.92276258,24.60374255,15.5025512,26.06149239,18.59798217,28.30716471,24.68326818,18.93637799,25.45398319,23.71363425,18.57737476,25.95992992,17.37884438,21.27666559,15.45436912,15.0198801,17.77551436,14.30512402,17.86864027,14.60286965,10.28894689,21.44820689,13.95440358,11.28552017,27.01002491,17.6019261,5.721127894,10.56968466,18.04213141,11.22594992,8.436637719,6.310184535,33.0516573,16.31288409,19.67502886,14.52504266,13.54206742,15.78569046,15.44883254,14.61339598,19.14362557,16.07831712,13.09723057,18.78204416,5.616095817,13.70071476,12.24470993,15.73467789,13.33344173,30.86973262,28.13531414,15.09321578,18.31983922,25.6215034,2.664647998,10.16666662,5.05191332,4.636955023,10.13384774,11.91162274,4.522453225,13.39486974,10.52921553,14.13737377,10.28653875,10.70044221,8.505517273,14.13190114,8.034343698,12.74717192,5.904523946,13.28866418,17.08245719,9.186575752,20.42949479,16.61477991,15.09102315,14.18554895,17.85354652,12.45424308,12.88572031,13.27025888,11.17316218,14.00910658,13.35694123,14.69286116,16.66384797,13.943694,41.2799484,46.13244072,57.6282272,42.02050614,57.23876196,52.52079197,48.39436998,45.53190806,59.96187346,51.16741537,50.80226248,5.805433764,2.8591589,3.90246581,0.828982568,2.154416325,4.409779198,0.150014845,2.171635182,0.168441511,2.387981198,2.710191986,54.8013571,41.44064062,51.88817517,56.72873059,68.38980761,56.92890715,48.43940855,56.57427387,81.4638295,67.02371095,65.04824231,29.45517963,10.70095497,30.75363442,14.92809434,19.35378792,26.73307187,15.87250769,20.06052821,31.43887788,19.34281512,9.651701956
Chr1+415356,LOC_Os01g01780,3.827796173,0.065588635,5.588421372,1.914856906,5.971238317,1.401413778,4.069632061,0.907863591,6.934319407,5.443238815,4.623841038,7.37801161,2.718112746,10.61235085,10.26077875,6.380520569,12.11654423,3.786228476,7.005314761,1.741824539,6.53526867,5.835567521,0.674408685,2.290703932,2.891301469,1.993696069,2.158106248,1.521003791,1.651351006,0.581252962,0.002479024,1.43010112,0.879166693,2.249008048,0.181461687,1.691569099,0.11160359,0.803788597,1.040599763,0.326688449,0.6627749,0.000640125,0.116351624,0.871536922,1.777115394,0.305405047,1.357883421,0.529451358,0.389047318,0.4031911,0.639425122,0.800510072,0.938093048,0.537153621,0.503126732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129586401,0.542729671,0.230834751,0.20356505,1.253566922,0.500960034,0.518648091,0.44384769,1.756653188,0.218889969,0.764335408,0,0,0,0,0,0,0,0,0,0,0,2.778769247,1.709709648,6.068121805,3.290331311,2.886505328,9.2172624,5.515106461,5.423392504,8.546433157,7.210217619,1.149264186
Chr1-1089988,LOC_Os01g02940,3.620059697,12.60238684,11.13556067,12.33366023,9.533951545,13.582136,3.173817408,3.716170927,7.543217162,2.019234559,6.537288683,1.458173301,1.23396866,3.22261906,1.107015548,0.702580217,0.410866264,0.101349437,1.817504255,2.241468465,0.071819657,0.072074776,21.43215952,27.93461954,20.87964533,18.084744,21.42785823,18.41028744,20.01231514,20.68762683,0.99520779,38.76741788,14.99767241,109.926134,131.3101348,114.8847262,105.7137514,107.5163943,114.7573349,117.6339158,129.2241714,110.9305895,109.790444,106.056702,7.526175185,4.331408955,1.951208879,7.640652421,4.994106555,4.611971803,4.170755763,4.545221245,6.107178494,5.360729507,3.390284518,3.022431144,0.81469725,2.644284013,0.8532728,0.544335041,2.257769771,1.41805294,1.510895994,1.527496953,2.571377141,1.296871316,0.436266282,0.891801249,1.711315927,0.43555959,0.463854876,0.542839396,0.141332619,0.239114872,0.234791426,0.072198476,0.732237938,116.7471996,121.3014455,115.3151757,120.6936684,108.3889012,104.7632942,112.2769455,107.3037692,119.5732007,107.273086,114.605648,35.01296542,31.96357743,34.5223673,21.98467401,34.91979155,21.13926742,37.33520196,21.57887279,22.60895058,35.48031066,26.40123134,42.34909882,40.03157418,37.18272187,34.61795638,25.64274558,41.2343198,39.32481653,34.60302682,34.57317593,40.91197038,28.39703878,37.66986449,45.70556637,40.47822712,42.35890099,47.47214105,40.08175445,35.18493206,44.39107034,43.17817729,52.46768825,38.57785846,103.7181743,100.4391833,73.13579721,134.1653915,94.55571164,4.033308814,139.3837116,35.31541762,32.35671817,29.22201885,93.16242402,84.08799157,63.70109487,74.48237155,60.88645385,80.7242019,75.2971073,73.48977999,93.74205295,88.42149908,73.33527882,78.54049323,2.776989054,23.72997098,12.93057513,6.092598248,4.921453912,12.53771575,9.053913196,10.12877718,4.851791419,13.1240711,14.86155978
Chr1-1089872,LOC_Os01g02940,16.96619756,32.86427534,22.25241455,16.59780922,31.37169536,4.452982069,25.39889437,12.7626175,22.44628386,19.21664219,14.05913427,6.648734992,4.80815493,6.351346328,8.169187648,2.982248821,9.688561758,0.608284904,1.259745531,6.07017076,4.498038019,5.757736222,36.50992206,30.10577858,41.38424792,25.62934641,39.7058231,44.72322828,29.96519283,57.03907914,34.18380489,38.89574541,24.98292531,132.3027877,121.9714603,122.9584214,124.3447403,126.1121825,122.9947238,123.7763977,124.5419862,125.4654896,123.8418507,125.939069,13.50298611,14.80454388,11.24497785,9.158589242,14.21276695,18.03157683,16.77781815,14.10763499,11.98457381,23.86736991,21.21976559,0.30430818,3.534471765,3.642125877,3.727699102,1.760639757,4.854300146,3.709515639,5.222483474,3.055597546,2.413022723,2.488052475,1.592593,2.712699582,2.756207185,2.216966561,2.3951035,3.32707118,1.665712112,3.36847455,3.045508557,1.804365472,2.556447859,101.2341826,114.3459371,107.6052112,89.79333878,92.53618728,102.4833599,99.05155208,105.3409907,92.50957088,106.5845857,117.4108658,34.48931829,41.80768457,30.44931327,41.36926219,31.01415598,39.10226882,48.10579111,46.54825476,35.98881605,34.62268478,40.56838381,53.21453991,54.96787351,64.14197699,78.08321674,57.07014909,57.26435409,55.87478624,52.70216669,59.57810192,41.76455798,42.25578754,34.67646989,53.7116495,28.13104158,38.72801152,48.02473049,35.54706016,33.13384224,50.68659049,44.80144765,36.22504062,26.92351796,10.23068559,8.696096916,16.43649494,3.966921548,16.64589873,47.06152972,21.48314304,1.638348063,1.833462891,9.687871168,5.186096779,66.39980337,84.67023429,98.81510751,102.3258848,87.99820775,74.21287078,102.6531288,113.7966707,106.7632785,124.9674837,85.60173394,17.73987285,19.27084147,20.2634484,18.18149585,18.72181765,19.07782456,19.0887263,19.23943974,19.12561928,18.63338173,16.2117009
Chr1-1090107,LOC_Os01g02940,0.579068541,0.105033136,0.905010254,0.063754777,0.218304668,0.965050808,0.088975642,0.180519733,1.293572609,0.136114762,0.334707765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.448462998,8.249860129,18.27333581,5.651407822,2.375306458,1.625775845,6.64264721,3.432608508,3.55529331,1.218096771,1.984118055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28905522,17.43160559,9.787385484,14.96155236,12.57045388,10.68310563,13.38226826,6.45279927,11.5026963,12.40623792,11.91818446,6.974147368,10.45814523,1.659646253,7.576614498,7.653275109,6.749808387,9.96263579,0.593997609,3.53530287,3.734684529,3.160943966,2.392159455,1.057863247,1.037683533,1.38155221,0.096917296,1.236273277,0.196395302,1.716597341,1.496110973,1.090373405,3.044840571,3.360553986,2.203036385,0.305455714,0.800919591,4.348243891,2.153283581,4.707199405,4.667487403,1.27103049,0.495387743,5.250451043,0,0,0,0,0,0,0,0,0,0,0,0.901963101,2.16378364,1.776239735,2.487931095,0.805009443,2.774447978,3.709269091,1.797256159,0.345397105,2.956321429,0.187561163,0,0,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,10.32158159,9.447461101,12.10151581,9.700798965,11.66680081,14.64764853,10.16974539,8.623412449,7.814991063,8.83959717,10.93769588,2.056578753,5.121360707,0.556370335,7.47218373,2.358054645,7.066973499,4.778142954,12.66996644,15.04992506,6.584031833,0.236320905,0.261829575,0.971870055,0.446530282,0.531046649,0.507637524,0.511576537,0.046275974,0.173064652,0.113217567,0.836963121,0.300265658,20.34025178,27.38883233,45.6802679,19.04771229,26.60047933,11.68904308,19.50781096,16.98368778,19.62443027,29.19596474,30.58210799,54.20532916,63.41353211,48.23589712,58.7123954,49.77030849,50.17517354,64.84291205,46.13101437,53.90053579,54.12332467,48.3821961,17.27658237,14.61011298,29.86572102,46.52146063,34.6033915,25.02183393,25.63077299,24.36922621,27.41149185,36.17517128,18.55811426,1794.721252,2247.585799,2227.595823,2337.093586,2194.058878,2640.489651,1844.980554,2005.110684,1886.628369,1865.531259,2552.395169,15.11079162,18.47098002,20.34821115,25.26626503,18.89578019,23.96729093,26.60356909,21.94452503,12.13103377,27.42577596,18.51318618,511.2806911,528.3664706,391.5688261,399.2043318,485.9547875,416.2580947,504.1221476,409.4975448,537.7734352,519.7996315,546.5058346,301.6385297,416.3179715,290.5422515,302.6808776,341.7626918,435.3515845,559.3019549,282.9636381,589.9108377,425.0560931,385.635154,198.673197,223.9878944,211.1295791,231.443426,258.6326634,282.0423799,209.7109584,220.1700487,307.445049,215.5577806,238.3247435,567.5942123,1157.366812,2302.88937,1808.042374,272.912982,172.06574,772.4395031,437.2086975,667.8335917,2133.060939,287.9760318,484.2744604,588.5993435,852.8601391,826.0746137,812.6798521,729.9476184,684.4988613,891.992715,690.374583,624.5523712,894.4858648,3,3,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,2.969565471,0.193577617,0.992647165,5.097598502,2.313231696,3.176675597,7.261499623,3.7551298,0.387255617,5.722185282,1.898488767,3.176124362,2.504470007,0.061583384,3.109535064,3.681901195,1.87006803,4.07542581,4.676222446,1.719859098,3.679054942,1.709679677,1.108194722,0.632834813,0.20057165,0.903284709,0.995813794,1.502354314,2.157415584,0.099493717,1.801703101,0.500934153,1.770461591,3.962353815,3.233759446,1.95386003,3.512037515,2.548072602,3.649980492,3.978308326,4.12031305,6.800508471,3.234952145,2.998125873,13.50427171,7.815801272,18.32643125,9.928926826,5.661368991,8.098845122,15.77733769,10.02870482,2.604432798,14.58466039,8.599823017,3.067571707,5.820038884,3.782741486,3.349669506,3.780274289,3.596631998,5.010932017,3.587465279,3.667023208,5.971524565,3.242052486,324.8414133,328.7980926,319.7114617,331.4682537,315.3784764,333.2873823,320.2596387,338.4859582,325.6604026,318.4815685,326.3637408,2.08033866,5.618042841,2.874924434,3.656090348,3.874881532,0.623057554,5.431436132,1.022200509,4.52694943,2.226082091,3.699047256,100.0038814,101.3675434,99.90413772,92.32271817,104.8089438,123.73928,107.0311964,100.7200924,100.618619,93.44609425,106.3601422,141.7014759,74.96414278,75.72957122,91.08445281,93.83991403,82.86995859,98.76472464,104.1821878,85.54235187,100.9714791,67.14920292,74.58253402,74.86801089,39.72063026,91.66833123,58.17606392,47.8050097,53.97466592,70.65718512,59.09375732,64.20731556,82.58446949,3.892973705,11.73222405,34.07378404,23.59256731,1.268255733,11.43215018,63.52467621,56.18635177,12.74953264,52.92856941,21.36999196,183.9720434,187.0396646,161.1410406,181.0142072,186.8477248,179.9505617,172.4612027,197.9225816,162.7888619,168.6238555,187.806223,0,0,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,51.27272956,4.887692116,37.07614171,77.54099336,63.96051854,42.03532841,54.53006009,52.14692452,57.81568745,60.0162146,45.30586749,59.66532563,58.47207025,61.52727061,58.624755,59.15642159,60.2270133,59.97102915,59.30390853,59.48103481,60.02090892,59.26456909,30.08189373,44.47271764,54.44598911,1.43225808,6.250134956,14.22763198,59.61991582,73.25192991,43.17154863,104.0636149,0.270951333,25.04241773,26.24063806,27.67216685,26.27126193,24.40278693,27.44607615,26.60480254,29.25436704,24.93355628,27.08131048,27.93564353,31.3641511,28.71762734,31.8811019,25.534521,28.18234258,30.25918306,29.06842806,25.78323296,23.54157781,30.5957824,23.75988192,10.60879428,17.87331643,12.99783634,14.71171612,16.83047169,17.321176,19.04641208,7.150425397,16.84751003,19.19000481,17.24835169,11.83914162,21.79551794,16.66804777,17.56170281,14.67603962,18.87813901,17.75642996,15.98134812,21.32980467,27.97773619,23.09869582,17.82040403,16.58215067,17.41884318,16.94275835,17.89260319,16.85473457,19.00820105,15.36505162,18.52779782,17.35101921,16.51598312,26.4910531,23.40500535,20.439345,21.32535514,27.92372224,30.63149914,21.63666472,18.63723703,26.36290727,22.37883449,32.23635845,22.38128829,25.48335339,19.49653179,33.20164634,15.55658844,38.4437113,35.30268554,20.62804865,25.71468398,32.18132911,26.882532,74.80683806,63.99851585,73.91711809,74.34341292,68.36871035,54.48149162,76.00520885,74.088976,74.49032451,59.75363293,69.18396368,16.81870747,34.61707429,38.94347353,7.206186769,35.66336008,18.00909757,25.52814498,39.80547307,28.43157652,20.5774051,8.410777971,29.80490634,25.30326618,21.50778012,23.00635279,26.05370686,22.70134907,23.82403185,23.70459024,12.01747177,22.58048534,20.37740034,81.98669086,84.84030245,41.2474644,98.34876163,66.8399545,73.10476117,58.09080508,72.63262883,63.9688818,73.58161573,42.21309632
Chr1+2792379,LOC_Os01g05830,21.64506692,0.473680396,6.240092978,3.535404005,8.810832762,16.32990483,1.026381305,0.325680013,16.80818304,10.77866835,16.9419209,2.753305495,4.797104988,2.459264043,1.016879506,7.889979656,8.039546445,8.265446498,0.505198491,4.870331131,0.974092123,3.721708306,3.531011467,4.388433657,0.110535221,3.722419886,6.914062266,5.643075752,3.486888707,1.87944492,4.17232259,0.25519107,1.908448244,0,0,0,0,0,0,0,0,0,0,0,1.292907911,0.409962744,0.916933405,1.955583652,1.96691024,2.428555514,0.721943313,1.232807363,1.306654393,1.593538495,1.416612759,0.543852763,0.036735447,0.758973578,0.175905127,0.782390107,1.278621412,0.035057113,1.651198678,0.21931538,0.277260865,1.218610886,0,0,0,0,0,0,0,0,0,0,0,0.946177959,0.267947007,1.029241847,0.411607865,0.054733773,0.451350748,0.695052955,0.211604214,0.287335669,0.333089232,0.469129664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31460971,0.530323299,1.224070696,0.029901903,0.043454108,0.253146666,0.611327019,0.327175223,0.996781969,0.90275311,0.559408937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325205453,2.767155057,4.501237922,2.940631045,5.201892811,3.698899368,3.200452929,3.940436246,3.241801714,3.583133598,3.657123298
Chr1+2795858,LOC_Os01g05830,54.29699367,69.28797075,68.8185387,42.33249027,69.25125826,76.58244569,66.50701312,75.70187882,29.46834901,43.18223823,87.2824598,86.41919662,114.5004445,91.41254392,94.30764603,73.32515532,122.8490174,71.67825363,64.14186865,103.3458435,88.09009789,104.9264609,67.42662436,66.2010681,69.07617233,69.00240683,59.76968788,71.06651587,67.29163004,64.66879013,65.64679439,58.56471668,61.06890507,15.66712083,21.75088033,26.46524835,26.8873102,7.592136432,17.12097573,19.24223387,24.69168108,16.51437688,7.103792257,19.05084199,113.4784592,73.40439207,43.14112473,60.29219426,51.726914,57.65868668,40.30917473,18.73448693,77.34252517,55.36772885,35.28996527,38.30565969,36.75847314,33.25145081,34.46473527,31.67520836,26.72192056,35.34603095,27.64703706,34.42477074,31.10683814,44.08696566,29.88556892,35.69357483,29.94340491,31.90656571,27.11364682,25.16468483,39.13807345,25.93049417,15.39566818,31.62036058,36.88553697,28.9801797,26.80464997,35.72265264,30.99363947,29.75047901,31.67859486,28.14407814,21.08847191,20.05995385,35.71503431,34.18308324,38.6201175,32.73030109,29.84380368,42.42866497,41.75949425,34.11248593,34.00226935,34.73327831,38.68885666,36.85772335,37.67157052,15.70874817,21.94943412,16.80765539,17.22292443,5.336700882,16.57694549,31.46771189,27.58774444,31.3632561,31.07226733,10.94376011,23.40247812,25.49346756,27.24424433,25.95357479,24.13051388,28.15137334,26.28760269,24.21081537,22.54939018,24.22546299,22.78138965,14.89875415,2.267367508,1.514421641,4.488352277,12.00608458,2.93488446,9.73887508,8.902460163,3.048479932,8.347285972,11.12685535,17.29053698,13.44494224,6.33774967,11.47885277,7.787514564,7.898098125,9.186580962,17.97790946,16.64801768,9.601322558,19.90235005,71.2316466,60.94308739,70.46906981,67.87065119,69.43780434,72.23960956,66.97685581,70.07615269,65.85966319,70.56876068,70.27653741
