"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","stem_60days1","stem_60days2","stem_60days3","root_5days1","root_5days2","root_5days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",3,0,2,0,1,1,0,0,0,0,1,2,1,1,0,0,0,0
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",21,19,19,3,6,5,1,1,1,6,6,2,5,5,5,0,0,0
"3","Chr1+356171","LOC_Os01g01689",0,0,0,1,0,1,0,0,0,2,1,1,0,1,0,20,20,18
"4","Chr1+371188","LOC_Os01g01689",113,108,79,66,33,18,38,34,35,13,20,21,40,30,55,2,9,5
"5","Chr1+374561","LOC_Os01g01700",1,5,6,2,0,3,4,4,4,18,18,13,7,7,5,1,0,2
"6","Chr1+374424","LOC_Os01g01700",184,162,197,209,211,211,199,194,177,242,262,293,146,173,174,184,229,436
"7","Chr1+1856529","LOC_Os01g04200",0,1,0,1,0,2,1,1,0,0,3,0,1,1,0,0,0,0
"8","Chr1+1856256","LOC_Os01g04200",37,39,83,22,19,23,8,10,6,13,16,14,12,13,14,3,4,7
"9","Chr1+1856117","LOC_Os01g04200",4,3,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"10","Chr1+1855402","LOC_Os01g04200",11,10,5,14,24,8,19,12,16,31,33,28,55,14,27,17,7,9
"11","Chr1+2608018","LOC_Os01g05500",0,1,8,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"12","Chr1+2601686","LOC_Os01g05500",5,8,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"13","Chr1+2600567","LOC_Os01g05500",8,3,13,1,2,13,6,12,3,5,10,4,9,15,7,36,65,10
"14","Chr1+2609247","LOC_Os01g05500",4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chr1+2612758","LOC_Os01g05500",435,258,459,182,162,188,240,232,232,121,129,133,131,141,147,197,149,183
"16","Chr1-3667570","LOC_Os01g07630",10,1,7,0,0,0,3,1,1,2,2,2,6,3,2,0,0,0
"17","Chr1-3671562","LOC_Os01g07630",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,24,16
"18","Chr1-3667505","LOC_Os01g07630",4,53,7,18,33,30,22,25,25,48,43,53,21,22,13,7,32,24
"19","Chr1-3713770","LOC_Os01g07740",62,58,57,51,54,11,36,34,39,66,51,55,37,50,49,83,148,158
"20","Chr1-3718312","LOC_Os01g07740",0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,1,10,1
"21","Chr1+5412511","LOC_Os01g10280",1,1,1,0,1,3,2,2,3,6,3,4,5,3,2,1,8,4
"22","Chr1+5412761","LOC_Os01g10280",0,0,0,1,2,0,1,1,3,2,2,1,0,1,1,1,4,0
"23","Chr1+5412697","LOC_Os01g10280",9,13,0,4,2,2,0,1,0,0,3,0,0,1,1,0,0,0
"24","Chr1+6029641","LOC_Os01g11260",1,2,0,2,3,4,3,1,1,10,2,1,9,9,10,2,8,0
"25","Chr1+6029525","LOC_Os01g11260",4,2,1,0,0,0,0,0,0,1,1,1,2,0,2,2,2,0
"26","Chr1+6270688","LOC_Os01g11620",48,57,64,33,31,7,12,10,11,120,168,128,26,24,30,38,46,21
"27","Chr1+6270822","LOC_Os01g11620",0,0,0,0,0,0,0,1,0,13,14,10,3,2,2,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",0,0,0,4,2,3,4,6,3,1,2,2,1,0,0,0,0,0
"29","Chr1-6572018","LOC_Os01g12080",0,0,0,16,12,21,18,15,18,8,9,9,0,2,1,0,0,0
"30","Chr1-6572877","LOC_Os01g12080",2,5,5,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0
"31","Chr1-6572141","LOC_Os01g12080",46,76,72,69,68,78,99,134,137,38,46,52,7,1,3,55,11,27
"32","Chr1-6725035","LOC_Os01g12320",0,0,0,2,0,0,13,28,35,9,26,22,6,8,8,0,0,0
"33","Chr1-6724944","LOC_Os01g12320",0,2,1,1,18,14,221,223,192,153,113,162,59,42,44,124,125,159
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,0,0,0,0,3,1,3,1,0,0,1,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",3,3,5,1,8,4,4,1,4,5,3,3,1,1,6,10,10,9
"36","Chr1+7095316","LOC_Os01g12810",4,6,9,36,37,35,179,182,173,9,9,8,6,0,3,93,207,100
"37","Chr1+7576953","LOC_Os01g13540",0,0,0,3,3,4,0,0,0,1,3,1,0,1,1,0,0,0
"38","Chr1+7576771","LOC_Os01g13540",14,3,14,41,57,66,193,197,207,71,115,115,103,111,109,134,45,40
"39","Chr1+7575165","LOC_Os01g13540",0,0,2,0,0,0,1,0,0,0,1,2,2,3,3,0,0,0
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,24,17,37,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,0,3,3,0,0,0,0,202,227,250,41,706,240
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,10,12,11,2,17,7
"43","Chr1+7672581","LOC_Os01g13700",42,34,37,28,10,11,15,11,10,6,27,29,22,16,21,11,18,34
"44","Chr1+7672710","LOC_Os01g13700",146,182,170,195,228,224,178,179,183,298,297,303,197,255,199,198,118,116
"45","Chr1-7687909","LOC_Os01g13740",0,0,2,1,1,0,0,0,0,3,1,0,0,0,1,5,2,1
"46","Chr1-7686899","LOC_Os01g13740",0,0,1,5,17,9,667,525,670,2,3,4,3,0,1,74,10,241
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,5,10,9
"48","Chr1-8175675","LOC_Os01g14590",0,0,0,4,5,3,0,11,5,5,3,4,72,69,58,0,1,0
"49","Chr1-8175468","LOC_Os01g14590",5,5,0,0,0,0,3,4,3,0,3,3,35,35,36,1,1,1
"50","Chr1+8408590","LOC_Os01g15000",3,0,5,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"51","Chr1+8405373","LOC_Os01g15000",1,11,4,5,4,5,1,2,5,3,6,2,5,9,7,0,0,0
"52","Chr1+8408240","LOC_Os01g15000",6,10,9,15,8,10,5,4,6,1,0,0,0,0,1,0,0,0
"53","Chr1+8408351","LOC_Os01g15000",261,276,324,326,356,321,59,45,45,14,18,15,56,45,58,50,68,43
"54","Chr1+8407017","LOC_Os01g15000",6,8,6,5,3,2,1,0,1,0,0,1,0,0,0,0,0,0
"55","Chr1-9658230","LOC_Os01g16890",1935,1923,1946,1488,1719,1915,1167,883,999,1759,1715,1771,1155,1407,1601,705,1062,491
"56","Chr1-9659592","LOC_Os01g16890",19,17,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Chr1-9660105","LOC_Os01g16890",22,12,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"58","Chr1-9660661","LOC_Os01g16890",39,70,0,34,33,30,1,0,0,2,0,3,0,2,1,0,0,0
"59","Chr1-9658021","LOC_Os01g16890",0,0,8,0,4,9,5,8,4,6,10,13,6,7,6,2,1,1
"60","Chr1-9660380","LOC_Os01g16890",30,43,37,14,10,9,0,0,0,1,2,1,0,0,0,0,0,0
"61","Chr1+9879603","LOC_Os01g17180",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,8,5
"62","Chr1+9885367","LOC_Os01g17180",324,417,264,117,125,87,96,58,96,118,125,120,83,44,59,241,230,229
"63","Chr1+10655296","LOC_Os01g18850",5,2,8,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"64","Chr1+10656648","LOC_Os01g18850",77,75,77,74,49,64,105,108,103,56,54,52,119,120,116,52,39,70
"65","Chr1+10679801","LOC_Os01g18880",1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4,1,36
"66","Chr1+10678290","LOC_Os01g18880",0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
"67","Chr1+10676910","LOC_Os01g18880",3,0,0,2,1,0,2,1,0,1,3,3,2,1,1,16,20,1
"68","Chr1+10677075","LOC_Os01g18880",0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"69","Chr1+10679862","LOC_Os01g18880",38,27,44,45,42,44,18,14,19,8,9,7,7,3,4,76,32,9
"70","Chr1+11170325","LOC_Os01g19694",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,24,50
"71","Chr1+11174452","LOC_Os01g19694",0,0,3,23,19,27,0,0,0,16,16,8,8,8,9,0,0,0
"72","Chr1+11174321","LOC_Os01g19694",8,4,2,29,30,38,0,0,0,11,9,4,6,4,6,0,0,0
"73","Chr1-11253657","LOC_Os01g19850",8,5,8,0,0,0,2,1,1,6,7,8,5,1,3,4,0,0
"74","Chr1-11253815","LOC_Os01g19850",11,0,2,0,0,0,0,0,0,0,0,0,1,1,1,4,2,1
"75","Chr1-11800239","LOC_Os01g21144",0,4,10,0,0,2,0,0,0,0,1,0,2,3,4,0,0,0
"76","Chr1-11801468","LOC_Os01g21144",3,9,13,0,0,0,3,4,4,2,2,2,12,17,20,4,0,3
"77","Chr1-11800290","LOC_Os01g21144",11,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"78","Chr1+11975457","LOC_Os01g21450",1,0,0,3,1,3,0,0,1,0,0,1,0,0,0,1,1,1
"79","Chr1+11975299","LOC_Os01g21450",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Chr1+11981803","LOC_Os01g21450",393,445,385,272,208,259,160,134,155,92,57,55,56,63,52,102,92,114
"81","Chr1+11981977","LOC_Os01g21450",2,4,3,2,1,4,0,0,1,1,0,1,1,0,0,0,0,0
"82","Chr1-12704551","LOC_Os01g22600",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Chr1-12704882","LOC_Os01g22600",571,522,370,109,115,143,54,71,64,19,16,20,22,32,35,51,39,27
"84","Chr1-12704755","LOC_Os01g22600",168,242,277,82,98,47,90,77,86,17,22,20,30,32,32,45,63,102
"85","Chr1+13305003","LOC_Os01g23640",9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Chr1+13304670","LOC_Os01g23640",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Chr1+13305253","LOC_Os01g23640",199,143,166,90,106,107,86,90,86,92,89,86,84,124,104,124,37,22
"88","Chr1+13443712","LOC_Os01g23880",0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,223,115,191
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27,6,3
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,0,0,0,1,2,4,0,4,1,8,8,11,30198,44014,48767
"91","Chr1+13935377","LOC_Os01g24764",6,11,12,44,41,31,110,117,111,4,7,3,4,0,6,52,78,126
"92","Chr1+13935124","LOC_Os01g24764",5,2,2,5,6,4,0,9,9,1,0,2,1,3,4,1,4,2
"93","Chr1+13935565","LOC_Os01g24764",0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
"94","Chr1+13935855","LOC_Os01g24764",8,0,2,11,7,9,4,12,12,1,0,0,0,0,0,1,1,1
"95","Chr1-14754834","LOC_Os01g26039",24,12,7,107,96,97,41,46,64,47,50,43,1,4,7,17,13,1
"96","Chr1-14757624","LOC_Os01g26039",1,4,1,0,0,0,4,3,2,5,1,2,5,4,0,17,9,10
"97","Chr1+16056051","LOC_Os01g28680",2,3,0,0,0,1,2,11,4,4,4,4,7,7,2,0,2,1
"98","Chr1+16056254","LOC_Os01g28680",17,19,14,27,14,25,167,124,169,164,181,136,278,323,402,28,106,32
"99","Chr1+16051023","LOC_Os01g28680",0,0,0,1,0,2,0,0,0,0,1,1,5,5,2,0,0,0
