chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,husk1,husk2,husk3,husk4,husk5,husk6,husk7,anther1,anther2,anther3,anther4,anther5,anther6,anther7,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7
Chr1+415839,LOC_Os01g01780,20.02756244,22.41970465,21.65597231,21.23016463,32.56556919,44.36272211,31.67422642,23.15805535,23.42775326,21.67210626,12.44609721,30.08997223,16.2342982,26.39991632,17.2932451,20.30055535,11.84171787,27.62799743,24.90983934,25.86692933,34.72270601,16.04183309,16.91411211,17.11654539,14.41135094,13.5483942,17.81646397,19.73935584,20.08488066,6.53224967,30.23649225,13.45398614,37.60744372,26.28988075,2.204903929,28.09638469,20.68240131,23.91602112,14.1137087,22.01813777,6.807738833,19.60549361,6.005424362,13.33220245,8.872448012,14.76089066,29.63753158,22.35575274,10.24961783,9.389263272,3.614615564,6.948869015,9.402973593,10.24547305,4.640076353,6.361465068,14.9320331,12.92521704,11.27733968,9.869347703,12.97963666,14.24460059,9.528335781,13.75929119,11.57774341,12.98806828,11.29659062,12.26646555,10.54559914,14.37565463,43.31678912,51.33934969,36.37552489,42.50003573,51.34223235,45.26576021,57.13591323,2.085366193,6.354054147,1.39058758,2.5133081,0.437329115,1.039559249,4.628147817,77.63579085,64.61143503,59.41086964,37.07356153,73.69632472,68.09913918,51.05511805,14.905563,15.06630143,20.06133584,15.37216037,23.45552,19.80656528,12.28972025
Chr1+415356,LOC_Os01g01780,4.269025093,2.687238984,5.366395399,6.172626082,7.827904157,2.736763277,8.153921284,3.284954415,11.17536491,3.239717593,2.238186038,7.996846971,8.06370052,0.22092658,1.947527488,0.342351965,0.358331756,1.697406132,0.867088026,0.405831189,2.433803354,0.028180172,0.500384179,0.388558228,2.157954513,0.229791785,0.462891746,0.38919013,0.271517366,0.192718638,0.048715849,0.309577514,1.099461281,0.338062083,0.721432297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510803318,0.290072183,0.705752785,0.903984695,0.568365814,0.210416772,0.413788126,0,0,0,0,0,0,0,16.7318615,8.885304744,6.143726097,0.343158667,3.858495568,1.285592589,1.837200224
Chr1-1089988,LOC_Os01g02940,7.77457822,4.363576114,3.399211607,8.243705813,4.780028517,1.759106135,0.580580351,0.043118035,0.920430684,1.229442336,0.739435747,2.572637046,1.167387991,2.270506037,20.40838429,10.73843013,19.89628144,28.61910592,19.4661118,20.56574699,20.82337991,119.3812612,117.6352524,118.3207417,123.7005707,124.3084291,123.6073571,120.7036696,6.724176176,3.787941793,6.023347419,5.4879381,5.87942375,3.95918594,5.999516912,0.479293199,2.966280682,0.803019503,2.836214193,3.140362721,3.551735232,2.311161989,0.346083609,0.807680068,0.289118204,0.206827346,0.630092388,0.334001859,1.457068756,105.703028,117.3072006,121.0757513,110.7815941,108.0855532,115.296651,118.0851315,30.63454493,30.66455008,36.51319259,31.74452814,28.37279957,37.02402583,23.6538419,33.86801026,40.5436431,37.57406177,36.75496013,35.5061653,41.09455713,41.1060683,47.46809056,40.8472149,51.71321198,36.98479515,46.64340049,39.30421631,44.61272896,28.91193192,93.69918652,68.97981297,25.96941245,58.92424573,43.77067885,81.71342378,74.31506727,78.07316288,85.005388,73.55985541,94.69163297,72.60844351,49.3886139,4.463003256,7.997439047,8.617697968,6.671464054,6.613508129,15.59467701,9.710762144
Chr1-1089872,LOC_Os01g02940,11.85598328,24.1880375,16.70034064,16.30457894,40.75232926,26.58650822,13.83591086,2.401668381,2.34366837,6.28456153,5.193294895,7.199171272,6.8071772,9.241438753,39.2312481,47.2430151,39.4738871,28.81362408,33.73060516,39.98296726,46.59799173,131.1868482,122.3553914,133.7395686,117.4019388,118.8239677,123.8321614,121.3494745,5.371271921,16.37307265,6.818337283,11.27121635,13.45782532,11.93510728,17.14515191,3.648324,0.460077837,5.94666489,3.728744327,0.902255297,2.720490558,6.64290504,2.767859247,2.882386299,2.781391435,2.380497256,1.995010285,3.643251234,2.893137917,86.60809089,101.6119951,96.95473827,88.16630263,109.1844339,91.817558,91.31190585,46.42585555,42.00575505,42.47128902,43.21691123,38.64912379,37.45910718,40.05623518,64.40947495,65.70874512,62.37660493,55.82676126,42.84803828,54.62202057,59.82344961,29.62110559,1.113737428,48.29356517,34.11548443,40.29193832,13.86707393,50.93756251,35.43295182,22.56684712,50.42830966,30.99979459,28.21810446,13.42417849,29.35916295,74.03171433,89.69423767,96.0140471,111.8528365,107.0400507,113.0932077,87.60908322,18.5411247,19.17504186,16.74301465,19.32005992,19.86528715,17.33001729,18.30106538
Chr1-1090107,LOC_Os01g02940,0.192313202,0.11728879,1.067165609,0.65641496,0.955080847,0.660883159,0.44444734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.513132937,6.912343048,7.655002864,5.164590118,5.838127222,9.952949122,6.043092765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.561202087,14.91013056,10.81306103,13.12452077,15.01365141,9.103950988,12.0415954,5.753550663,10.75982858,10.73645,4.143914076,7.271497361,6.642064728,3.368565576,0.259354951,0.486850265,0.04313975,1.546873252,2.815379237,1.411230551,1.8030474,2.773377859,7.044105086,0.912445834,3.829059753,2.894350733,0.317236081,1.728669714,0,0,0,0,0,0,0,3.226624916,2.072315316,1.886939922,1.387452989,1.972710881,0.661213319,1.953224073,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,10.74502721,9.796437753,10.08405863,8.442756561,9.390541808,9.328576086,11.3241484,13.28795795,3.788813608,1.239919848,0.170655806,1.83541673,13.31684411,14.53183721,0.879220344,0.562862893,0.407772459,0.456410209,0.442265855,0.27266567,0.619141901,29.21348239,35.02343975,25.89973133,26.48844034,35.62196986,24.96710211,15.10974103,55.49026352,57.49194607,57.34130832,54.14557311,53.5602266,45.5105564,58.46358588,16.32126829,27.07544726,25.6787876,25.61294041,20.88827631,13.00050086,24.9171489,2117.414105,2341.453424,2235.530687,2019.803466,2266.894367,2279.542732,2167.423847,38.06765622,20.66135082,27.4953565,6.342371889,11.55019051,15.16944468,12.41788038,596.4804808,451.2119212,559.266157,396.3547175,483.3716838,353.869912,539.5071262,299.0737696,351.1644238,306.0683571,511.46781,418.3967138,497.4941707,354.8437086,230.7129383,271.0548653,226.6357756,283.6856067,282.9295214,202.1191927,289.9546425,513.6629779,917.5557923,1102.979479,1233.288681,469.9771609,2485.062976,92.24522435,800.8553315,646.098468,829.7641937,733.7639761,543.1361637,567.6012699,781.6346051,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,2.001893392,0.839696302,0.908163298,2.396632274,0.330218932,4.456759988,5.440238516,3.931752207,1.932072787,0.167362373,0.566438047,0.847318819,1.263006416,1.602637787,0.071927278,0.96086515,0.201395179,2.586601532,3.423340384,0.003329886,2.083847383,5.264520062,2.921109614,2.136622307,3.768145668,3.834606463,3.57243795,2.698811349,8.706909991,10.72403801,7.296020181,12.52226431,12.05214484,5.075720423,20.09014762,3.694623348,3.979161057,4.567373221,4.616267488,2.284892338,3.393514872,3.385013169,324.1969777,315.1919026,330.6079551,337.4408464,321.1163286,327.4601917,326.9310242,1.484034054,3.102444296,5.054634872,7.298709805,5.077219366,3.482082393,3.729398318,89.15586178,83.28714547,90.38292171,111.785234,103.7998382,96.08767803,93.64767265,90.98839723,105.18234,78.38946976,86.53884239,87.42931353,77.22756112,66.28034723,31.75611221,75.67165888,19.36727487,64.2615103,54.46764717,32.21625605,70.97795998,8.439158128,12.28994401,7.498875429,8.184989123,1.772678792,54.52438197,67.99887011,183.5461847,184.0785102,182.156069,191.3173372,180.1493202,178.7948688,193.2247799,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,49.43649969,63.87592974,39.10549948,72.86856817,32.02266349,41.57987377,68.69371662,58.30390077,59.07787226,60.18046815,59.04599021,60.70450046,60.73304277,59.21972747,73.08727668,2.696964453,40.57615297,30.051245,39.45730239,10.35093414,30.39270617,25.88033937,28.33311158,26.72698377,25.52077628,26.19647186,28.8083197,27.71381831,30.88410318,32.95426468,27.85140594,26.51296379,25.31874621,28.19121352,25.20469231,21.79909941,29.62945333,15.14719131,17.01078626,21.09603847,17.73705261,22.31407502,18.33269254,22.0575718,22.92124233,25.5938572,17.76004557,22.03403964,13.40303804,17.72240405,18.17203289,15.40366759,13.38505554,18.67368558,14.72330261,16.54117161,28.16485929,18.35786964,19.47583028,28.78448424,28.71059252,22.0516682,24.9155411,38.20751523,27.42484679,18.46033423,21.20811342,28.92355686,30.74984772,27.26157951,66.46222547,57.91924125,58.55560471,86.46468691,73.84308625,69.69584886,77.03410867,22.66343564,21.02860234,37.90832791,7.199561211,24.69035019,47.22331506,8.660360215,17.57438935,26.85147766,17.04185353,16.55452185,21.68381556,21.82362484,8.825131097,105.0361428,121.4098116,86.23605876,57.60821929,77.26955329,93.71076966,68.83596619
Chr1+2792379,LOC_Os01g05830,12.70326382,9.002581294,5.759197108,17.06417806,12.39528235,29.28977712,2.292044827,7.210341396,8.998061889,2.086543059,9.765910691,2.902148924,0.999230701,3.789692381,0.448902572,5.191157704,2.012336733,7.187821381,7.37979363,5.695728561,5.15472112,0,0,0,0,0,0,0,1.456708011,1.626059995,1.006877878,1.379591579,1.082913224,1.397495881,0.579296229,1.186200714,0.042843913,0.23443659,0.490514961,0.728423012,0.271294904,0.857521501,0,0,0,0,0,0,0,0.223002017,0.047994377,0.802494547,0.138804936,0.290373628,0.363713201,0.197415348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404299162,0.657854126,0.362015158,0.473394358,0.474297329,0.28900846,0.108865604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.209462722,2.286986483,3.283547629,3.504068304,2.719674157,4.06992682,2.943842071
Chr1+2795858,LOC_Os01g05830,54.19057485,41.3134328,31.91041226,77.32833042,57.62161003,56.23516442,117.0536011,154.8009575,119.8775777,135.9496244,89.32057392,87.87228565,47.6582701,84.47617447,76.10262508,50.75363629,78.00413742,63.50900598,65.1306666,55.59584913,69.99084596,21.83930988,22.54132208,12.53175018,14.8553597,5.686137128,26.95733964,16.25000055,59.29402644,58.89351851,41.81909943,30.99361675,60.87233379,106.816912,90.95865509,30.77060449,33.30551564,36.40278387,36.37006117,34.71552075,29.40342203,31.72773368,26.53421539,33.56204319,27.34862509,24.03173096,32.49097264,31.127972,22.52728765,36.06776262,20.10062832,24.07938689,17.79541757,19.26585884,20.236282,34.13089657,41.75185226,35.9867826,37.73570653,31.16901974,33.75104717,33.47856247,38.44828495,30.30541368,32.62066319,8.002442016,21.42049652,24.01209563,23.2673047,29.0481346,27.24871991,23.47562912,20.91289711,24.31577197,29.47569268,23.83773155,21.44629084,12.22332131,2.356474588,15.98939348,17.47928644,16.62882037,3.874802888,0.298539426,8.339202185,16.42634518,10.71828374,11.18804632,12.70982665,8.148979283,8.46315921,73.34621823,64.50400384,71.70975648,70.62781354,69.56685092,73.37355303,64.74329857
