chrstrandcoord,gene,dry_seed1,dry_seed2,endosperm1,endosperm2,imbibed_seed1,imbibed_seed2,shoot1,shoot2,leaf_20days1,leaf_20days2,leaf_60days1,leaf_60days2,stem_60days1,stem_60days2,root_5days1,root_5days2,root_60days1,root_60days2,husk1,husk2,anther1,anther2,mature_pollen1,mature_pollen2,pistil1,pistil2,embryo1,embryo2
Chr1+415839,LOC_Os01g01780,2.047219824,18.1798697,19.96421969,24.77541433,25.35645078,24.75686313,17.64809169,13.31638701,5.810591065,6.028972555,14.82797291,18.30872631,10.69164452,26.52033335,7.202928654,9.468954394,7.982530396,10.00959244,12.15364587,16.34811825,51.88816331,46.80163614,8.451298379,1.760125574,61.06121991,76.71919963,30.38747324,18.5624523
Chr1+415356,LOC_Os01g01780,3.149691793,4.982535556,13.10086864,7.963608936,0.816850663,1.031558096,2.456707517,1.079974668,0.044151745,0.467032325,0,0,0,0,0,0,0,0,0,0,0,0,0.209598671,0.825940893,0,0,10.61888643,1.577504806
Chr1-1089988,LOC_Os01g02940,10.55649548,3.616999105,2.196324368,0.230657676,22.99270722,22.90497132,111.2859835,113.6907165,5.000593351,4.771781855,0.451295857,0.072256936,0.486886582,0.36968184,118.0454765,113.6294226,38.76859263,26.51045436,44.64403917,42.61211227,48.52552523,51.65047228,53.91215526,65.65295217,74.67665643,91.6633273,7.195209626,17.5298175
Chr1-1089872,LOC_Os01g02940,18.98359661,10.97142349,5.715641274,3.151565203,30.940819,33.42136737,124.5855013,124.7954827,13.86535913,11.27351424,3.782053481,2.67782355,1.122489189,2.742322321,92.64274587,102.9255063,26.24282377,43.86542358,38.33507653,59.94107959,53.19169717,12.66229264,19.54361624,6.897151769,83.61623676,93.63554514,18.51701428,17.01116954
Chr1-1090107,LOC_Os01g02940,0.118271788,0.58101446,0,0,0,0,7.364736918,5.049532884,0,0,0,0,0,0,11.87431179,19.57345747,5.61294109,1.79158803,0.615785162,0.464222666,0.868846523,0.349128344,0,0,2.434729799,2.241341208,0,0
Chr1-1365603,LOC_Os01g03390,9.947409064,8.984780289,5.546259095,10.39071526,0.137431406,0.1540123,23.7009298,38.28903126,50.85625956,54.29059723,28.73694736,30.74714453,2078.311021,2382.584232,22.55687779,32.86450567,476.4432813,485.9383739,566.4034788,533.5904577,233.1589058,207.0687539,423.421168,2383.499159,808.6452934,697.5391508,3,3
Chr1-1365676,LOC_Os01g03390,6.105896118,1.210018019,0.818480116,5.456835385,0.801083794,0.791615228,2.42238249,2.867220588,7.52020839,8.543793729,4.334102748,2.355756628,328.6724256,335.0415527,4.392852701,4.957804029,120.3210831,125.5475893,107.8142627,92.79712074,38.83700046,61.62956915,33.31933742,0.385539423,188.5954882,175.3579903,0,0
Chr1+2795636,LOC_Os01g05830,31.47996068,93.93808439,61.05113074,61.21277583,2.719454128,32.49163577,27.2170756,26.87435498,32.50933676,26.11349559,16.5771802,16.88691554,20.03175595,20.6334233,18.89322421,17.11341794,27.39098961,20.68875364,16.43033467,24.12669945,68.74221129,64.10513101,36.90317958,16.69771007,22.5646784,21.38313098,123.9896584,88.31226836
Chr1+2792379,LOC_Os01g05830,1.349328729,8.709194816,2.702511741,9.215388223,5.493536852,3.956870194,0,0,1.05056052,0.903462198,1.019527521,0.58298846,0,0,0.311713193,1.135522798,0,0,0,0,0.383249021,0.742361832,0,0,0,0,3.828107794,2.550469489
Chr1+2795858,LOC_Os01g05830,34.8170235,40.38653836,55.92146,93.03196344,72.90799565,53.93413848,25.03535285,21.73422334,100.0464648,68.26210062,30.81249931,31.6017167,27.38869023,18.05396677,21.42690708,30.01189743,34.9874834,30.14801725,20.78018784,8.193739085,25.48962082,23.85082161,1.85946636,7.296734525,7.359585302,12.11476781,68.15340964,71.4258787
Chr1+2795487,LOC_Os01g05830,325.9342256,514.4017106,355.9148291,327.0956673,16.52858233,79.73460442,9.435054946,14.04468596,17.89352329,12.77924692,6.681856049,11.11630387,10.07177769,12.59100527,17.45836013,16.76163169,10.17023121,11.85678678,11.88533344,10.95706228,49.64929587,52.80118428,283.1314146,131.7523762,8.067082617,9.43622773,189.1974379,190.8416863
Chr1-2830078,LOC_Os01g05900,22.20009668,22.18879667,30.9122536,29.92018434,8,8,7.931392813,0.198418724,0.061326272,3.530899978,0.226717549,0.576324701,0.645278312,2.80448012,1.837289564,2.13756543,1.481084249,2.064591486,2.118632051,2.060812015,0.053907177,0.123100163,1.223722563,7.983544157,3.257783699,0.810496896,22.34608128,17.69664469
Chr1-2820091,LOC_Os01g05900,63.41178879,45.60641447,69.72967641,59.68742451,52.53934554,57.14536171,135.7677205,135.8339739,42.69752518,31.5068917,36.7570106,32.00488504,71.57213985,75.58986893,147.1146183,135.8035775,135.7261384,138.1322154,53.71775867,47.39580248,48.17461406,41.82248616,104.6010057,112.4488881,78.81714914,77.21059225,19.78234722,22.64246305
Chr1-2828357,LOC_Os01g05900,4.110697744,0.35475855,13.1975956,11.21288633,0,0,0.347681084,0.940919454,0,0,0.499131313,0.202748482,0,0,0,0,0,0,0.209312298,1.154698044,0,0,0,0,0,0,10.49708673,9.173350226
