"","chrstrandcoord","gene","endosperm1","endosperm2","endosperm3","imbibed_seed1","imbibed_seed2","imbibed_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","root_5days1","root_5days2","root_5days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3","pistil1","pistil2","pistil3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",3,2,0,0,1,1,1,3,2,0,0,0,0,1,2,1,1,0,0,0,0,2,2,2
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",50,42,47,3,6,5,1,0,0,0,0,0,6,6,2,5,5,5,0,0,0,3,3,3
"3","Chr1+356171","LOC_Os01g01689",2,1,0,1,0,1,2,2,4,0,0,0,2,1,1,0,1,0,20,20,18,0,0,0
"4","Chr1+371188","LOC_Os01g01689",76,78,72,66,33,18,30,27,16,19,15,17,13,20,21,40,30,55,2,9,5,44,50,48
"5","Chr1+374561","LOC_Os01g01700",0,0,0,2,0,3,5,7,6,6,5,5,18,18,13,7,7,5,1,0,2,3,0,2
"6","Chr1+374424","LOC_Os01g01700",211,245,220,209,211,211,212,233,182,84,141,94,242,262,293,146,173,174,184,229,436,207,209,202
"7","Chr1+1856529","LOC_Os01g04200",0,2,0,1,0,2,2,2,0,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0
"8","Chr1+1856256","LOC_Os01g04200",32,45,49,22,19,23,38,31,43,29,20,24,13,16,14,12,13,14,3,4,7,22,31,32
"9","Chr1+1856117","LOC_Os01g04200",7,11,12,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,3,1
"10","Chr1+1855402","LOC_Os01g04200",19,3,19,14,24,8,31,50,42,27,22,44,31,33,28,55,14,27,17,7,9,29,30,31
"11","Chr1+2608018","LOC_Os01g05500",3,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12","Chr1+2601686","LOC_Os01g05500",10,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"13","Chr1+2600567","LOC_Os01g05500",9,13,9,1,2,13,5,9,15,14,6,14,5,10,4,9,15,7,36,65,10,2,2,5
"14","Chr1+2609247","LOC_Os01g05500",5,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chr1+2612758","LOC_Os01g05500",321,361,353,182,162,188,149,153,147,296,274,217,121,129,133,131,141,147,197,149,183,204,193,179
