chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,leaf_60days1,leaf_60days2,leaf_60days3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3
ChrSy+235579,ChrSy.fgenesh.gene.33,3,0,2,0,1,0,0,0,0,2,2,2
ChrSy+236049,ChrSy.fgenesh.gene.33,21,19,19,3,3,3,0,0,0,3,3,3
Chr1+356171,LOC_Os01g01689,0,0,0,1,2,2,20,20,18,0,0,0
Chr1+371188,LOC_Os01g01689,113,108,79,32,19,35,2,9,5,44,50,48
Chr1+374561,LOC_Os01g01700,1,5,6,6,3,3,1,0,2,3,0,2
Chr1+374424,LOC_Os01g01700,184,162,197,138,143,144,184,229,436,207,209,202
Chr1+1856529,LOC_Os01g04200,0,1,0,1,0,0,0,0,0,0,0,0
Chr1+1856256,LOC_Os01g04200,37,39,83,9,9,9,3,4,7,22,31,32
Chr1+1856117,LOC_Os01g04200,4,3,8,1,1,1,0,0,0,1,3,1
Chr1+1855402,LOC_Os01g04200,11,10,5,17,20,19,17,7,9,29,30,31
Chr1+2608018,LOC_Os01g05500,0,1,8,1,0,1,0,0,0,0,0,0
Chr1+2601686,LOC_Os01g05500,5,8,9,0,0,0,0,0,0,0,0,0
Chr1+2600567,LOC_Os01g05500,8,3,13,13,10,9,36,65,10,2,2,5
Chr1+2609247,LOC_Os01g05500,4,4,2,0,0,0,0,0,0,0,0,0
Chr1+2612758,LOC_Os01g05500,435,258,459,298,303,355,197,149,183,204,193,179
Chr1-3667570,LOC_Os01g07630,10,1,7,0,0,0,0,0,0,2,1,1
Chr1-3671562,LOC_Os01g07630,1,0,1,0,0,0,19,24,16,0,0,0
Chr1-3667505,LOC_Os01g07630,4,53,7,14,13,12,7,32,24,56,52,72
Chr1-3713770,LOC_Os01g07740,62,58,57,8,31,13,83,148,158,173,171,141
Chr1-3718312,LOC_Os01g07740,0,0,0,3,3,0,1,10,1,0,0,0
Chr1+5412511,LOC_Os01g10280,1,1,1,3,4,3,1,8,4,3,6,14
Chr1+5412761,LOC_Os01g10280,0,0,0,1,1,1,1,4,0,2,4,6
Chr1+5412697,LOC_Os01g10280,9,13,0,4,2,6,0,0,0,0,1,2
Chr1+6029641,LOC_Os01g11260,1,2,0,2,1,0,2,8,0,10,9,9
Chr1+6029525,LOC_Os01g11260,4,2,1,0,0,0,2,2,0,3,5,5
Chr1+6270688,LOC_Os01g11620,48,57,64,2,2,2,38,46,21,1,0,1
Chr1+6270822,LOC_Os01g11620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-6575126,LOC_Os01g12080,0,0,0,15,15,14,0,0,0,1,2,1
Chr1-6572018,LOC_Os01g12080,0,0,0,47,48,47,0,0,0,8,12,12
Chr1-6572877,LOC_Os01g12080,2,5,5,4,4,4,1,0,0,0,0,0
Chr1-6572141,LOC_Os01g12080,46,76,72,361,346,339,55,11,27,80,65,76
Chr1-6725035,LOC_Os01g12320,0,0,0,19,24,17,0,0,0,18,16,14
Chr1-6724944,LOC_Os01g12320,0,2,1,109,113,108,124,125,159,37,28,49
Chr1-6725081,LOC_Os01g12320,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+7092083,LOC_Os01g12810,3,3,5,1,2,3,10,10,9,1,1,2
Chr1+7095316,LOC_Os01g12810,4,6,9,478,497,471,93,207,100,88,71,77
Chr1+7576953,LOC_Os01g13540,0,0,0,1,1,1,0,0,0,0,0,0
Chr1+7576771,LOC_Os01g13540,14,3,14,829,813,894,134,45,40,90,85,80
Chr1+7575165,LOC_Os01g13540,0,0,2,4,5,8,0,0,0,3,5,3
Chr1-7623978,LOC_Os01g13610,0,0,0,3,2,2,0,0,0,0,0,0
Chr1-7619138,LOC_Os01g13610,0,0,0,0,0,1,41,706,240,0,0,0
Chr1-7618935,LOC_Os01g13610,0,0,0,0,0,0,2,17,7,0,0,0
Chr1+7672581,LOC_Os01g13700,42,34,37,10,8,11,11,18,34,38,41,40
Chr1+7672710,LOC_Os01g13700,146,182,170,159,161,124,198,118,116,308,316,330
Chr1-7687909,LOC_Os01g13740,0,0,2,1,2,2,5,2,1,1,1,1
Chr1-7686899,LOC_Os01g13740,0,0,1,1601,1649,1595,74,10,241,33,15,26
Chr1-8175378,LOC_Os01g14590,0,0,0,1,0,1,5,10,9,0,0,0
Chr1-8175675,LOC_Os01g14590,0,0,0,10,15,10,0,1,0,7,5,6
Chr1-8175468,LOC_Os01g14590,5,5,0,6,7,8,1,1,1,2,8,10
