"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","endosperm1","endosperm2","endosperm3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","root_60days1","root_60days2","root_60days3","anther1","anther2","anther3","mature_pollen1","mature_pollen2","mature_pollen3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",3,0,2,3,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",21,19,19,50,42,47,0,0,0,3,3,3,1,1,1,5,5,5,2,5,2,0,0,0
"3","Chr1+356171","LOC_Os01g01689",0,0,0,2,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,20,20,18
"4","Chr1+371188","LOC_Os01g01689",113,108,79,76,78,72,19,15,17,32,19,35,38,34,35,40,30,55,27,18,24,2,9,5
"5","Chr1+374561","LOC_Os01g01700",1,5,6,0,0,0,6,5,5,6,3,3,4,4,4,7,7,5,20,16,5,1,0,2
"6","Chr1+374424","LOC_Os01g01700",184,162,197,211,245,220,84,141,94,138,143,144,199,194,177,146,173,174,227,224,249,184,229,436
"7","Chr1+1856529","LOC_Os01g04200",0,1,0,0,2,0,0,1,1,1,0,0,1,1,0,1,1,0,3,2,1,0,0,0
"8","Chr1+1856256","LOC_Os01g04200",37,39,83,32,45,49,29,20,24,9,9,9,8,10,6,12,13,14,14,10,14,3,4,7
"9","Chr1+1856117","LOC_Os01g04200",4,3,8,7,11,12,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0
"10","Chr1+1855402","LOC_Os01g04200",11,10,5,19,3,19,27,22,44,17,20,19,19,12,16,55,14,27,18,10,15,17,7,9
"11","Chr1+2608018","LOC_Os01g05500",0,1,8,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"12","Chr1+2601686","LOC_Os01g05500",5,8,9,10,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
"13","Chr1+2600567","LOC_Os01g05500",8,3,13,9,13,9,14,6,14,13,10,9,6,12,3,9,15,7,3,6,6,36,65,10
"14","Chr1+2609247","LOC_Os01g05500",4,4,2,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chr1+2612758","LOC_Os01g05500",435,258,459,321,361,353,296,274,217,298,303,355,240,232,232,131,141,147,186,189,182,197,149,183
"16","Chr1-3667570","LOC_Os01g07630",10,1,7,2,4,1,1,3,2,0,0,0,3,1,1,6,3,2,0,1,0,0,0,0
"17","Chr1-3671562","LOC_Os01g07630",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,19,24,16
"18","Chr1-3667505","LOC_Os01g07630",4,53,7,24,16,14,25,23,25,14,13,12,22,25,25,21,22,13,23,21,23,7,32,24
"19","Chr1-3713770","LOC_Os01g07740",62,58,57,24,50,54,47,46,32,8,31,13,36,34,39,37,50,49,233,91,209,83,148,158
"20","Chr1-3718312","LOC_Os01g07740",0,0,0,2,1,0,0,0,0,3,3,0,0,0,1,0,1,0,0,0,1,1,10,1
"21","Chr1+5412511","LOC_Os01g10280",1,1,1,2,3,1,4,1,0,3,4,3,2,2,3,5,3,2,0,1,2,1,8,4
"22","Chr1+5412761","LOC_Os01g10280",0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,1,1,0,0,0,1,4,0
"23","Chr1+5412697","LOC_Os01g10280",9,13,0,3,3,11,0,0,1,4,2,6,0,1,0,0,1,1,0,2,0,0,0,0
"24","Chr1+6029641","LOC_Os01g11260",1,2,0,2,3,1,6,2,3,2,1,0,3,1,1,9,9,10,17,14,26,2,8,0
"25","Chr1+6029525","LOC_Os01g11260",4,2,1,27,12,27,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,2,2,0
"26","Chr1+6270688","LOC_Os01g11620",48,57,64,147,110,161,0,0,0,2,2,2,12,10,11,26,24,30,12,18,14,38,46,21
"27","Chr1+6270822","LOC_Os01g11620",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,1,2,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",0,0,0,1,1,0,0,2,1,15,15,14,4,6,3,1,0,0,4,4,1,0,0,0
"29","Chr1-6572018","LOC_Os01g12080",0,0,0,3,2,4,68,74,70,47,48,47,18,15,18,0,2,1,5,4,4,0,0,0
"30","Chr1-6572877","LOC_Os01g12080",2,5,5,9,5,2,7,2,1,4,4,4,1,3,0,0,0,0,0,1,0,1,0,0
"31","Chr1-6572141","LOC_Os01g12080",46,76,72,54,81,63,435,428,433,361,346,339,99,134,137,7,1,3,36,39,34,55,11,27
"32","Chr1-6725035","LOC_Os01g12320",0,0,0,1,0,0,44,49,44,19,24,17,13,28,35,6,8,8,4,1,0,0,0,0
"33","Chr1-6724944","LOC_Os01g12320",0,2,1,0,1,4,360,324,369,109,113,108,221,223,192,59,42,44,24,23,28,124,125,159
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",3,3,5,9,8,10,3,3,5,1,2,3,4,1,4,1,1,6,0,0,0,10,10,9
"36","Chr1+7095316","LOC_Os01g12810",4,6,9,17,14,19,861,863,902,478,497,471,179,182,173,6,0,3,67,52,52,93,207,100
"37","Chr1+7576953","LOC_Os01g13540",0,0,0,0,0,0,5,4,5,1,1,1,0,0,0,0,1,1,5,3,1,0,0,0
