chrstrandcoord,gene,endosperm1,endosperm2,endosperm3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,embryo1,embryo2,embryo3
ChrSy+235579,ChrSy.fgenesh.gene.33,3,2,0,0,1,0,0,0,0,0,0,0
ChrSy+236049,ChrSy.fgenesh.gene.33,50,42,47,3,3,3,1,1,1,9,5,13
Chr1+356171,LOC_Os01g01689,2,1,0,1,2,2,0,0,0,0,0,0
Chr1+371188,LOC_Os01g01689,76,78,72,32,19,35,38,34,35,173,168,181
Chr1+374561,LOC_Os01g01700,0,0,0,6,3,3,4,4,4,0,0,0
Chr1+374424,LOC_Os01g01700,211,245,220,138,143,144,199,194,177,246,258,252
Chr1+1856529,LOC_Os01g04200,0,2,0,1,0,0,1,1,0,0,0,1
Chr1+1856256,LOC_Os01g04200,32,45,49,9,9,9,8,10,6,61,64,76
Chr1+1856117,LOC_Os01g04200,7,11,12,1,1,1,0,0,0,0,0,0
Chr1+1855402,LOC_Os01g04200,19,3,19,17,20,19,19,12,16,7,14,17
Chr1+2608018,LOC_Os01g05500,3,3,3,1,0,1,0,0,0,0,1,0
Chr1+2601686,LOC_Os01g05500,10,3,1,0,0,0,0,0,0,5,0,0
Chr1+2600567,LOC_Os01g05500,9,13,9,13,10,9,6,12,3,2,0,2
Chr1+2609247,LOC_Os01g05500,5,8,2,0,0,0,0,0,0,7,7,7
Chr1+2612758,LOC_Os01g05500,321,361,353,298,303,355,240,232,232,334,330,334
Chr1-3667570,LOC_Os01g07630,2,4,1,0,0,0,3,1,1,2,0,4
Chr1-3671562,LOC_Os01g07630,0,0,0,0,0,0,0,0,0,0,0,1
Chr1-3667505,LOC_Os01g07630,24,16,14,14,13,12,22,25,25,2,19,66
Chr1-3713770,LOC_Os01g07740,24,50,54,8,31,13,36,34,39,69,61,79
Chr1-3718312,LOC_Os01g07740,2,1,0,3,3,0,0,0,1,0,0,0
Chr1+5412511,LOC_Os01g10280,2,3,1,3,4,3,2,2,3,1,1,1
Chr1+5412761,LOC_Os01g10280,0,0,0,1,1,1,1,1,3,2,1,0
Chr1+5412697,LOC_Os01g10280,3,3,11,4,2,6,0,1,0,10,10,10
Chr1+6029641,LOC_Os01g11260,2,3,1,2,1,0,3,1,1,7,7,6
Chr1+6029525,LOC_Os01g11260,27,12,27,0,0,0,0,0,0,2,1,3
Chr1+6270688,LOC_Os01g11620,147,110,161,2,2,2,12,10,11,10,5,8
Chr1+6270822,LOC_Os01g11620,1,0,0,0,0,0,0,1,0,0,0,0
Chr1-6575126,LOC_Os01g12080,1,1,0,15,15,14,4,6,3,2,8,0
Chr1-6572018,LOC_Os01g12080,3,2,4,47,48,47,18,15,18,1,0,0
Chr1-6572877,LOC_Os01g12080,9,5,2,4,4,4,1,3,0,0,0,0
Chr1-6572141,LOC_Os01g12080,54,81,63,361,346,339,99,134,137,86,86,84
Chr1-6725035,LOC_Os01g12320,1,0,0,19,24,17,13,28,35,4,4,4
Chr1-6724944,LOC_Os01g12320,0,1,4,109,113,108,221,223,192,0,0,0
Chr1-6725081,LOC_Os01g12320,0,0,0,0,0,0,0,0,3,0,0,0
Chr1+7092083,LOC_Os01g12810,9,8,10,1,2,3,4,1,4,2,1,2
Chr1+7095316,LOC_Os01g12810,17,14,19,478,497,471,179,182,173,18,10,10
