chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,dry_seed10,dry_seed11,dry_seed12,dry_seed13,dry_seed14,dry_seed15,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,endosperm10,endosperm11,endosperm12,endosperm13,endosperm14,endosperm15,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,imbibed_seed10,imbibed_seed11,imbibed_seed12,imbibed_seed13,imbibed_seed14,imbibed_seed15,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,shoot10,shoot11,shoot12,shoot13,shoot14,shoot15,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_20days10,leaf_20days11,leaf_20days12,leaf_20days13,leaf_20days14,leaf_20days15,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,leaf_60days10,leaf_60days11,leaf_60days12,leaf_60days13,leaf_60days14,leaf_60days15,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,stem_60days10,stem_60days11,stem_60days12,stem_60days13,stem_60days14,stem_60days15,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_5days10,root_5days11,root_5days12,root_5days13,root_5days14,root_5days15,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,root_60days10,root_60days11,root_60days12,root_60days13,root_60days14,root_60days15,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,husk10,husk11,husk12,husk13,husk14,husk15,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,anther10,anther11,anther12,anther13,anther14,anther15,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,mature_pollen10,mature_pollen11,mature_pollen12,mature_pollen13,mature_pollen14,mature_pollen15,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,pistil10,pistil11,pistil12,pistil13,pistil14,pistil15,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9,embryo10,embryo11,embryo12,embryo13,embryo14,embryo15
Chr1+415839,LOC_Os01g01780,22.09865453,27.05021283,42.16076475,9.560526829,29.79071139,27.12751498,7.632552975,47.42481338,26.58657961,53.85657701,29.12563325,30.07484781,5.116844771,8.976093573,30.1420625,20.54342345,23.18643876,21.9513979,18.37578812,27.89221161,27.18395447,24.82217662,4.178773464,9.42186377,29.48582137,24.30984095,22.28885537,24.3144745,20.76159884,20.06467777,32.61948484,14.7431238,31.74889958,31.80279585,23.54443694,21.40094876,28.79565496,22.49928304,26.63158248,18.67458987,12.75830122,30.48102373,17.1149962,27.98353598,20.98426453,17.68960617,15.88621365,18.23089066,28.18326619,19.48738456,28.87076431,20.98774747,22.10540879,17.75690555,23.63596163,25.3506458,18.27252578,18.6232869,17.26669222,29.356573,24.92334942,1.710518897,2.953791445,7.472318971,10.15923225,33.45746236,3.332685111,24.91797638,3.558362171,6.646602855,21.63195496,2.839009241,9.451368974,9.64003551,12.93082926,15.91291636,15.33596529,9.086583443,11.63205489,8.091912158,15.20720407,15.28771209,13.57057196,12.49911014,9.083483208,23.78809312,10.27602337,17.23585626,14.62944379,6.512732286,9.631734668,15.31341057,17.57209246,25.10447138,29.96126888,28.39135692,24.10945675,19.29763307,6.11060473,19.92892295,13.18719968,30.56561291,9.518831484,12.24626867,1.169429777,5.70175334,10.54164395,12.62209321,7.802662061,9.911322402,2.750361449,10.40596166,8.326451357,7.0457822,3.733429597,11.736509,9.287451393,10.20199829,7.113303903,9.858074758,11.23230793,16.16652068,12.73891447,12.35551238,10.6560184,13.03673568,12.84020834,8.385565423,12.41195386,15.06490341,13.90935953,11.07196968,9.474027846,17.55102424,6.008840488,11.16462,12.11364845,11.59627526,16.27670487,16.26533973,11.25858311,13.68424806,13.12114239,14.8703158,16.36220755,15.37072596,15.56218556,9.007100313,12.94316675,11.78869656,52.53161639,46.89164163,40.89794319,53.72411161,49.99983608,54.02442175,49.71900444,51.01086129,44.46831043,39.74865539,51.87157173,40.13080468,42.48587212,52.17537615,54.42956037,1.64791664,1.075005749,2.481328751,4.206236771,1.109361579,4.796909827,6.829958422,0.898529622,3.644667005,7.073889699,3.496674182,4.082395967,1.83312192,2.256677652,1.074262945,56.60886281,52.55766965,62.96934892,75.84562751,78.04817108,55.51793545,68.92053837,61.02062269,30.94792425,64.10167736,82.43009925,54.84808194,84.31648766,70.75808198,50.07464985,21.70575896,25.21697496,22.6668884,21.17789094,19.48672426,12.36091322,27.51026817,23.79298667,18.94652369,9.974751919,18.88170318,13.11069433,21.70689076,17.05604356,20.58429947
Chr1+415356,LOC_Os01g01780,1.708803742,2.62734431,6.305972144,1.088785158,2.971407775,9.20289978,3.350806388,5.166235926,4.954848096,4.324649484,1.545719492,0.735838679,4.56450606,6.838071226,9.266323063,12.65955041,3.603783573,5.006269175,6.200324419,4.056547354,8.228906828,4.147345886,8.277638605,2.39904421,4.590197457,10.06762149,5.678238425,10.41467735,7.761840098,3.764583077,3.486753056,2.446084081,0.068507802,1.515944141,2.090504422,0.035487427,2.463972746,2.107301627,0.58436683,2.569263317,2.39870043,0.002713772,2.216078799,1.73446283,0.997706919,1.692841289,1.570807412,1.190011949,2.374731616,1.181627181,2.055789447,0.056957958,0.041554678,1.404412143,0.350192258,0.9331168,0.035497649,1.585229456,0.743379421,0.196854552,0.38953659,0.919877984,1.660328675,0.143570874,0.183485195,1.122891962,0.404296582,0.624426783,1.300942795,0.096164422,0.422163877,0.083581115,0.492123946,0.553624459,0.442499952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571767024,0.817285701,0.478123335,0.505732855,0.461960775,0.088007864,0.556797923,1.369454418,1.3534375,0.723834151,0.504934505,0.167742291,0.163540032,0.711222505,0.193816962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25998149,5.040427382,3.678284065,7.246463619,6.889011904,6.573106181,7.500374702,1.641608931,4.423063899,4.237187762,3.394665995,4.104487192,1.419220369,9.109715041,6.330454334
Chr1-1089988,LOC_Os01g02940,8.787049949,6.554580156,9.454941888,1.726285557,0.446748314,3.284452543,1.198448364,3.965095973,1.27909247,11.75518578,6.424197152,9.587913599,3.280706986,8.780577158,4.658658818,0.830619234,1.976945595,1.357870539,0.296963151,0.54852719,1.109137287,1.003056317,1.630372243,2.340137406,1.778569741,1.196628018,0.953978807,1.88508714,0.403545031,2.037743965,14.62554711,19.01378345,21.07410097,28.47515697,24.21509153,13.90383069,22.15035512,16.95220885,19.21951603,17.51545029,16.54252768,13.9597504,28.07446592,21.48151105,18.33852632,114.7037783,122.2756209,118.5611704,112.3011044,115.3457495,120.0513601,128.1049417,117.2198535,112.5246185,123.2554916,115.5798379,127.7600747,111.6989655,127.9112642,121.6581722,4.134888712,5.462679254,5.46024365,6.272075618,5.121952947,3.771541262,6.314683244,4.527409723,4.86804549,3.92878364,5.755160959,4.958860547,5.481775943,7.194203661,4.827864648,0.199654222,0.327946573,2.823625577,1.382308894,3.467498707,1.736508047,1.136280411,0.082579053,0.026016444,2.500711194,1.204014818,1.25606354,1.867493865,1.567780765,1.54374401,0.433671605,0.694287875,0.649529454,0.190816962,0.22308865,0.056566727,0.472159085,0.021167142,0.229005252,0.13201761,0.631687589,0.55173672,0.595265265,0.988902368,0.2399177,118.1522656,112.8459359,114.9841076,106.004394,108.6279486,110.5377343,106.2803031,104.1304733,109.1386866,119.176215,104.6649078,113.0889471,118.6747866,111.4079294,118.3339598,43.65374559,35.79696305,28.9249845,29.62339859,37.04324719,34.83458247,32.17733556,34.56980914,25.16971955,31.72762678,25.998971,33.16008048,34.79295913,43.76158815,33.33433431,38.11801652,29.15100975,40.42453382,39.37209487,25.371224,39.28678533,45.55894574,45.52877427,32.02458615,45.17643598,45.79130042,34.62813188,39.44619782,43.43678562,41.20476093,39.57203599,32.59511092,50.10947781,44.16219109,45.46983607,36.66943646,42.24945972,40.08419922,45.19090982,45.72808361,37.91067549,39.42617475,49.95569136,37.04016323,44.6448831,33.06229088,8.817490666,78.30921043,29.93315582,92.42265268,35.41923331,68.13785783,101.1684693,8.275115196,9.334143892,107.639177,122.6332738,20.15280065,27.59932788,39.44560182,85.59651021,98.69470208,87.16471496,70.50040083,87.19957649,66.07931175,77.87273649,62.65961051,80.97470709,92.35247021,56.50646611,66.95565704,50.99832801,58.53909765,65.77241743,9.289434241,8.780496491,11.8147598,10.01711179,28.78355789,13.07056485,15.22526497,10.00289939,14.83556051,17.99025917,21.06086016,15.28359831,12.13681922,10.71389772,10.38548223
Chr1-1089872,LOC_Os01g02940,13.91361136,23.47859074,20.13889225,34.11183239,22.10789917,22.33576751,15.25658197,20.16653306,17.56581254,8.263128457,22.10522842,17.65635036,16.71787915,9.196792361,26.37870503,4.381736387,5.110656299,9.964559311,1.314511833,12.40197403,4.487670424,6.574559107,11.62418947,4.5589821,10.74594801,7.8922894,9.298212005,5.080817023,7.828382878,9.646098909,34.11668915,32.75785531,46.61668544,38.05573019,28.37603099,38.11285724,37.11483761,39.77519134,35.86912999,39.97327551,25.83912166,21.97753112,39.29953478,49.62471373,24.45604264,124.4599822,128.1541316,128.4754994,117.9503679,126.1871021,122.0240683,124.4914738,123.7157151,124.4976215,122.956598,119.1344465,120.8414325,122.2583763,120.6589937,128.0042335,20.93969545,16.55095423,25.70239036,9.395151353,12.56489747,9.48380667,9.372240412,16.27248518,16.92270068,12.3941293,11.8335829,13.97868745,12.66034307,11.67510455,15.4372691,0.99527887,5.53394339,0.690841659,7.678656728,3.400098633,4.215470265,0.057086693,0.911398933,4.756561365,4.322493131,4.918531922,4.374443463,6.449167988,1.519604248,1.141587654,1.328908444,2.201277216,2.786992004,2.38617678,1.801846424,2.653047843,2.058284584,2.31117366,2.572988148,2.349338985,1.29825385,2.834849605,0.881303919,2.845523136,2.316785792,112.2530443,101.9440337,94.04467886,109.952741,64.39267492,93.5515439,97.08106504,102.2532347,95.30724325,82.7161838,102.4821384,98.55911678,108.5219937,104.727419,91.70775741,31.87347377,39.18214287,40.1209987,32.33748113,31.75547832,27.74418324,32.54196567,49.50882238,42.13664586,44.49017688,33.08668425,33.69576554,32.61739296,48.19308021,38.21694459,51.3658615,55.56319041,32.22430212,61.12936914,41.89276651,51.29954145,39.37236751,48.30622705,64.72195672,44.98605088,51.12257473,70.0433476,50.78765893,47.21551648,64.53253468,70.65426903,41.11877235,50.05833438,33.46620473,54.25852981,29.77831451,22.1731628,62.00264146,63.79622125,43.79135857,35.33875688,42.26753739,51.31066609,59.40873603,49.57345107,13.517083,49.89274307,8.450983432,21.95198252,12.83939385,45.87290295,19.35869172,17.49511427,3.122097709,5.918340231,13.09959791,26.83816008,18.78764748,6.058113855,29.16958433,87.26377306,85.54591901,86.41960249,102.8994089,99.59041908,96.1579237,81.28420321,93.2095722,124.2652187,104.7328196,86.66339044,68.07052263,86.76706426,94.03997186,69.16368854,18.60619954,20.40706597,18.10191383,19.69211441,19.93602278,20.14274042,18.37084404,20.21759815,19.17266325,18.39810675,17.12778209,18.71820371,20.88884186,17.80459414,19.57052861
Chr1-1090107,LOC_Os01g02940,0.093734029,0.198789667,1.341210963,0.762388063,0.553693624,0.640233425,0.269097621,1.073384827,0.249909502,0.670298149,0.655989745,0.099142637,0.096162022,0.621231691,0.404002041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.27178096,10.37895322,1.333439464,5.097917218,5.448471936,8.208199799,7.698125909,2.06985192,4.39319912,5.933145561,4.771579804,4.557817174,4.149761217,11.27089672,8.404289034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73000596,13.6428909,15.41125839,17.14005678,17.44057422,16.67753842,13.34416124,14.44688861,13.37673616,13.20773124,13.72818541,19.39970267,14.99038709,8.684637127,14.29882973,2.966394078,1.993970217,1.191067319,8.396361466,4.919849233,5.88002667,3.122379339,3.572462027,0.952753457,9.202358882,9.829724137,12.00303482,8.548157252,7.726246443,7.124470767,0.87491934,4.554616805,2.117911089,2.305021988,0.11493966,1.603967017,0.540762235,0.122427302,0.128784312,3.759819152,0.946294447,0.864041107,2.926131708,1.082621765,1.520511455,2.803680152,1.705374969,1.63132053,2.989416589,3.069194717,1.177059246,2.088083239,1.352313729,0.408693966,0.378807252,4.583541872,2.560180365,0.884950649,0.483224658,0.751024406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334262082,0.503501681,0.592524603,1.777584216,3.020568537,0.132153816,2.697623048,1.541446413,3.136288405,1.895853775,2.646156647,1.664577695,2.273409819,1.16867626,1.098284691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,11.52546128,11.92900398,5.834204445,8.563973921,11.22369235,12.18168585,9.466579346,14.78860423,9.550222449,10.43883454,10.95208888,8.302306188,9.665108295,9.111939687,10.52201992,10.90202885,7.843817411,10.14606007,17.54827259,0.179873237,5.132846267,8.849851121,6.808710847,11.53745945,19.7303756,10.31288759,17.37173187,21.04040858,4.057511049,23.97844938,1.297000046,0.865870271,0.595893211,0.430350192,0.847617035,0.317113717,0.235357675,0.233913173,0.007164373,0.583917899,0.09035588,0.19787221,0.336066914,0.370057905,0.811327062,10.5003433,15.6766877,20.93143422,24.61056628,37.4100849,32.85953946,16.71601729,16.11279677,21.62028089,29.73464418,35.98177588,27.00775275,25.18784777,12.45151707,17.4093493,47.06234003,47.05874877,50.75929619,52.17450955,52.35033719,61.13467349,46.11581721,56.32570097,44.292253,51.87295784,51.654272,58.115917,59.63204013,50.85894804,57.11454866,26.41363475,8.769822407,23.47816876,33.35595089,20.49355616,24.15878101,30.62338025,4.358355644,25.94634634,13.49350957,9.517223311,24.01604324,34.1484765,16.27415304,26.17409071,2333.896623,2338.670048,2041.292775,2344.709796,2359.109476,2231.331603,2060.221288,2096.43836,2072.720829,2336.664269,2487.990633,1876.248308,2428.229588,2384.737316,2118.078778,26.55617491,19.66732373,33.04833563,25.88147064,32.58438917,23.26686387,20.53895725,30.92385759,41.75310508,53.36673673,33.50406728,26.71060368,21.88537997,28.11276211,42.95642028,631.8857754,571.1186713,632.5131288,631.8467778,558.2280328,512.5242392,480.4186665,354.5444073,397.7677489,543.8722682,517.1446802,463.476819,519.7135863,488.2302329,642.7177864,579.4621983,360.7810461,596.2359076,419.2722345,583.7165141,284.6371835,414.1722351,506.7543564,323.106327,397.4471244,382.5797918,438.3845389,425.7493449,530.7527919,330.7871301,263.0259023,301.2906673,303.7458509,225.517086,278.2834989,257.7880269,209.4451099,191.9208261,326.6015548,226.5740599,167.9659494,229.2331364,248.215256,206.595619,237.6160253,843.2298693,392.8982283,359.7332553,2069.362851,3356.638836,1432.260086,1375.838141,353.2713489,47.33559398,366.6766217,1227.604025,1743.89318,1317.874544,749.1661409,676.0603137,580.8173827,584.7106207,649.8871233,790.0047632,735.5647798,650.9366351,552.4846598,758.8928857,716.891524,761.9279943,585.9787435,748.4862549,603.5566391,696.3156041,659.5446965,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,2.710472661,0.765102457,3.142315353,2.309146772,0.582204227,2.170792388,5.04909297,2.271867781,1.966953318,2.711008845,0.701617136,4.427685069,0.327291097,4.560231775,2.04908696,2.368516902,3.549846023,2.535250918,4.245983726,4.589203988,1.279077231,6.05744581,1.369653773,3.382326032,1.383086632,3.371432386,1.337585897,1.831674202,1.425112647,2.16520977,2.021813891,0.910613524,0.469034131,1.212074487,1.177282024,0.657609214,1.860521788,0.090013814,1.236426776,0.136670522,2.683188429,0.389687067,1.612839837,0.056541821,1.428202009,1.44051423,3.202357648,4.016483361,1.84588064,3.168460578,2.982786261,2.773104128,3.415034502,4.963758793,4.259687957,2.673404024,5.433906201,2.628042745,4.513756816,3.444282943,14.29439531,7.972751072,14.28672805,14.53233144,10.24293916,15.56203436,5.720358807,15.89043918,19.96845371,6.871471814,6.751278639,9.704986435,12.92570413,9.048917851,7.944502418,4.390031837,3.766424824,4.843398268,4.338704743,3.576383368,5.233828176,2.455631534,3.910932664,3.381124298,2.52043814,4.090523148,3.38438095,5.613747176,4.085563863,5.302178286,313.6441928,322.9412408,326.4143249,338.9681903,321.719776,325.0684306,322.9073587,323.9176439,328.7833802,325.1382707,337.8247856,334.1701866,322.1968683,325.1509488,317.389327,8.077797441,3.044479415,5.389745315,4.263836539,5.428383745,1.925251678,2.725796054,4.57604489,4.720192304,4.205440679,4.998602534,4.134789876,5.686255678,2.181118651,4.936836929,126.5189061,97.77362123,129.3186741,97.70788907,101.5995456,120.7026383,103.561253,103.5609263,98.86440759,104.9813918,81.99408788,89.45686283,93.24943719,92.38125637,104.9108059,60.4310778,91.13579321,110.5110555,96.26497914,102.7466951,86.80304722,103.8237418,116.1383927,122.7848746,116.252396,62.68475767,96.03649131,96.79241351,104.6543692,104.9143316,62.02611265,86.46482961,37.34309862,41.67686717,42.81499724,65.40829221,62.5012305,50.80566114,60.65925912,65.45960032,32.56684757,38.35483412,35.72327191,75.88514959,57.40862592,49.66097964,26.98147556,86.26205428,52.15725954,34.21893607,15.83123625,3.193820586,45.51827885,36.80142261,45.26921311,11.50518923,15.53943782,45.27244146,11.96588055,59.12887462,168.0290594,176.579332,174.2889557,165.5750164,192.5756517,179.2387002,203.8575967,196.3997805,185.611243,176.5928177,185.2924094,164.468358,181.3377905,193.1064156,174.7957029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,5.512311223,91.8161913,70.2995225,67.4714915,36.63691214,51.81848285,48.67906902,64.88339378,73.33204566,59.94208986,27.82643814,62.94299647,67.71802046,33.49746237,66.0541862,59.13878878,61.20529477,59.65425927,59.52074058,59.13862647,60.30897622,61.2691392,59.94567306,60.02043291,60.77029331,58.58158653,60.65569325,60.39828205,59.24561498,60.66228587,46.84183948,36.46348348,0.635863494,8.747288454,21.48479425,56.71145201,46.76446839,19.54497051,4.924382987,23.1749662,42.5524465,43.31109587,53.36549007,58.7788034,52.88632922,27.91115672,25.35135766,26.31437691,28.11526855,29.84120528,27.32703826,27.56301547,28.38875571,29.5153777,27.35712964,28.59632896,27.10111666,27.58260173,27.09946112,30.17573991,31.01541624,27.57141052,31.32585431,30.58472673,28.3099082,26.81877882,29.28549944,32.02688926,31.79846375,31.48437292,31.78152442,31.48321568,32.20909524,27.26328038,28.91062415,18.70546737,16.08203695,13.00146812,22.47673486,21.70414243,14.20611686,19.11127717,2.937971109,17.13981035,28.12415899,13.98996472,14.41071569,16.10936222,19.80043048,19.2468346,19.97170729,17.11529378,21.305638,15.33566598,18.67548884,16.27500801,19.85257398,19.21479287,21.60892142,24.16965815,15.21007122,15.09593981,19.60525324,19.42910466,18.04355813,16.8546814,19.61882176,18.26800358,16.78657559,15.9827869,16.36781326,16.68124591,17.79080796,20.28973115,18.83935416,16.37186653,18.30656811,18.6560694,17.90791801,17.00214488,27.6265286,16.95853039,31.84885625,21.8358803,25.2305225,26.28087551,25.86919096,25.1275503,24.49035188,30.01779968,25.19395908,20.22441138,22.17392643,21.39296228,23.44580284,30.42620877,20.38551205,28.61216349,31.37082516,27.69000727,18.2412482,24.65267028,35.61555904,26.9806452,15.45680359,22.09575182,37.51573659,38.53583553,34.29838275,37.46579478,65.29245809,66.09526128,62.62090059,74.26709575,74.92135296,74.01199983,75.16132684,83.27084232,70.72080688,62.03229824,80.9468322,72.57915585,65.51021104,72.01588839,69.9521442,33.30299716,32.99429523,12.05623777,24.99828782,0.418478022,9.760786047,21.6970327,39.17033992,18.9671497,14.15581964,30.11635899,8.533440901,71.1115837,51.35482545,37.62614238,23.20920952,27.84755681,17.30657902,25.52295394,13.45770656,20.43771859,17.54410665,22.95862458,16.41539908,21.53368027,25.02940093,30.88808397,24.57495495,16.6863079,21.6535858,85.03525965,75.54216394,28.10102426,76.51632966,129.74944,109.1325634,75.46139187,19.40615406,61.4028936,53.7842552,87.39186722,91.28738158,105.0101848,53.32325961,98.22247334
Chr1+2792379,LOC_Os01g05830,6.460925213,3.449461077,2.60715667,7.354727521,8.296612196,10.43609921,12.17402189,18.9348695,21.44402208,4.967564349,1.550548469,18.79228746,10.78279284,12.00558718,4.214129178,1.701700355,3.22935497,4.003047327,3.228105403,8.14972274,2.074155285,0.573038537,2.432211779,7.686258369,8.542589276,3.675351845,1.264643189,2.083378248,2.091113212,2.643116744,0.592560618,2.155360523,2.418561616,2.260471867,3.55969317,2.591555611,2.328094116,2.025583333,3.712551262,1.622924431,1.224607595,1.124805544,4.742265681,2.416067387,2.97478884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879316122,0.343417499,0.920872895,1.436228031,0.257241458,0.663056655,0.813355046,2.817817687,1.267094389,1.157841424,0.471352276,0.173883639,0.053839366,1.481347517,0.897510858,0.422865608,1.21726453,0.958796429,0.940424427,0.019456905,0.477100995,0.236923261,0.848960011,1.022236346,0.020599352,0.500468091,0.025977271,0.320151793,1.379790699,0.745316959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957749708,0.692414619,0.764229881,0.26141711,1.230328757,0.612986994,0.927803662,0.481584552,0.456880239,0.920233607,0.175902717,0.532287213,0.115534006,0.65752294,0.031428778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012233062,0.387427169,1.106313991,0.188563033,0.074843386,0.572663898,1.188758527,0.687929779,0.22773668,0.145304231,1.139993102,1.340679838,0.135205225,0.069400249,1.579875398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.662308736,2.544408239,3.811785897,3.572033822,3.920925035,4.207571177,3.89657999,3.880916044,3.975735093,3.23782786,2.345007003,3.818096319,3.033564877,3.342485928,3.612678589
Chr1+2795858,LOC_Os01g05830,33.56701033,88.1501828,30.80428548,66.30109157,67.8986578,96.55647459,61.39684395,36.37546651,28.86724553,71.76225302,48.01592916,51.30088142,31.94521254,51.29685242,50.60439913,86.55999629,46.96067028,83.46678992,23.34975892,141.9096068,62.81538838,55.79339497,95.9184704,87.7289587,70.92533535,78.41566657,129.467904,119.7702742,113.2680019,116.1487554,54.22544281,63.04563838,64.6168592,57.99024203,58.46397254,56.5853336,62.97023821,70.06797086,75.12196029,66.38989068,62.21059938,63.20498443,66.62740004,67.19045792,73.13281274,18.64529711,21.17739713,35.57920545,19.79907443,26.41747129,27.08165075,22.01735788,18.76300571,29.96179605,23.65688959,9.691167604,14.24072512,22.20236109,27.00787603,21.28228016,78.10840791,61.41191363,8.871699112,109.6528232,102.8166305,57.11275682,68.39968548,83.0166185,64.04080045,77.76421321,40.82209016,64.18088449,51.84749298,28.52963711,53.07203892,41.39083313,27.19687997,32.84157435,28.93345875,31.51947916,33.48903582,42.14192404,30.67229939,34.54902881,35.97579599,35.12970902,36.46238208,36.78117546,35.59391292,33.65264778,33.2342763,28.35230873,27.77533969,29.79393223,26.22793407,36.16623095,28.23349082,12.08360285,44.49525434,40.86408043,38.0439815,37.23192536,19.27294259,26.00383208,31.19614082,30.30710551,20.55343508,32.64513856,26.59244444,25.30380187,32.52770161,24.93884063,30.58272382,27.65210738,26.13003066,32.60147143,29.01235556,27.83343313,31.25675269,35.42371653,29.57096044,38.85744473,34.26991498,34.08845886,34.53382103,31.20226841,37.94764634,36.62046514,35.44552954,37.10895961,32.58254361,37.10576649,35.4617086,33.06341671,35.62271161,31.55015702,16.70385575,4.266498828,21.78352599,15.54747093,7.926123675,18.13879906,22.68906799,25.91789585,1.405857612,5.626376507,17.20714905,7.699553463,8.473373681,24.24587868,20.09294377,24.72107484,23.74567535,22.74937655,24.99766591,24.16461352,27.39386123,26.01074818,20.86546347,24.5478109,25.69259023,22.82003607,26.05849702,28.22550641,24.94727705,11.22376934,5.057137114,2.422264086,8.377195543,28.29590732,2.401463246,15.42955109,8.156854019,28.50839672,1.981254698,10.10339755,2.307046725,15.92961137,2.412716585,21.01822075,9.490656168,16.94830629,12.06267652,9.970533796,6.432383783,11.34863165,15.02095353,13.08130326,14.2573985,12.78552761,13.56797239,11.30725352,10.86483189,10.22847074,13.72587991,76.65150206,67.91704021,62.26012719,69.18594949,71.10142499,60.17476743,69.97953503,68.48445289,74.45968624,69.06700104,66.69014897,76.65434253,66.55992335,67.94223516,62.00718726
