chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,leaf_20days1,leaf_20days2,leaf_20days3,husk1,husk2,husk3
ChrSy+235579,ChrSy.fgenesh.gene.33,3,0,2,3,2,0,0,0,0,0,0,0
ChrSy+236049,ChrSy.fgenesh.gene.33,21,19,19,50,42,47,0,0,0,1,1,2
Chr1+356171,LOC_Os01g01689,0,0,0,2,1,0,0,0,0,3,3,0
Chr1+371188,LOC_Os01g01689,113,108,79,76,78,72,19,15,17,64,23,54
Chr1+374561,LOC_Os01g01700,1,5,6,0,0,0,6,5,5,4,12,1
Chr1+374424,LOC_Os01g01700,184,162,197,211,245,220,84,141,94,115,145,105
Chr1+1856529,LOC_Os01g04200,0,1,0,0,2,0,0,1,1,2,0,1
Chr1+1856256,LOC_Os01g04200,37,39,83,32,45,49,29,20,24,32,35,19
Chr1+1856117,LOC_Os01g04200,4,3,8,7,11,12,1,0,0,5,1,0
Chr1+1855402,LOC_Os01g04200,11,10,5,19,3,19,27,22,44,20,23,19
Chr1+2608018,LOC_Os01g05500,0,1,8,3,3,3,0,0,0,0,0,0
Chr1+2601686,LOC_Os01g05500,5,8,9,10,3,1,0,0,0,0,0,0
Chr1+2600567,LOC_Os01g05500,8,3,13,9,13,9,14,6,14,7,5,10
Chr1+2609247,LOC_Os01g05500,4,4,2,5,8,2,0,0,0,0,0,0
Chr1+2612758,LOC_Os01g05500,435,258,459,321,361,353,296,274,217,186,186,141
Chr1-3667570,LOC_Os01g07630,10,1,7,2,4,1,1,3,2,2,3,5
Chr1-3671562,LOC_Os01g07630,1,0,1,0,0,0,0,0,0,2,1,1
Chr1-3667505,LOC_Os01g07630,4,53,7,24,16,14,25,23,25,43,49,42
Chr1-3713770,LOC_Os01g07740,62,58,57,24,50,54,47,46,32,80,87,98
Chr1-3718312,LOC_Os01g07740,0,0,0,2,1,0,0,0,0,1,1,1
Chr1+5412511,LOC_Os01g10280,1,1,1,2,3,1,4,1,0,0,3,4
Chr1+5412761,LOC_Os01g10280,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+5412697,LOC_Os01g10280,9,13,0,3,3,11,0,0,1,10,5,0
