chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8
Chr1+415839,LOC_Os01g01780,26.08995575,22.35627509,6.663888211,5.266782154,27.79704122,47.49372812,41.70042761,35.000882,9.714916723,27.64967121,22.88025535,20.5921811,18.07815478,17.19495947,17.6574755,22.42601335,13.43933563,26.07673422,24.92628381,18.9752522,25.07026976,14.76243658,23.26844622,18.24891199,11.12787517,22.58280708,11.57936945,19.09078843,17.05823926,26.34797157,19.22623757,11.39239801,22.30721815,10.68664491,10.44010497,32.75903211,35.98991852,13.60380919,7.525235523,1.768938645,19.48806769,27.4779152,12.2471335,5.128667184,17.88820137,22.8818304,24.60105831,17.19728155,19.16549629,17.95388565,21.05108084,17.37249175,11.28630516,35.62076916,24.6384455,18.48811325,2.109181295,10.98058128,8.245267797,7.341453841,10.58969907,2.645660286,9.428476375,15.48593304,7.831762635,15.85429978,20.83464156,16.43565346,15.8972794,8.698512902,16.98126807,11.0621351,12.70900872,10.57831595,11.4945543,13.57086896,14.38523255,12.23301004,14.55570013,13.59408052,53.71802968,42.37970292,47.40869868,42.14008192,51.26870568,61.03591881,55.1288304,49.93445068,1.490565644,1.94285238,0.065089655,3.331039055,0.361027652,2.996696389,2.574578901,7.809576876,57.09510953,59.19047365,53.90162059,57.36061837,55.60152813,63.23153806,62.88768213,68.40861046,26.87468259,9.669831656,25.77661138,24.61209889,15.82793916,11.88047768,21.96904324,29.9017148
Chr1+415356,LOC_Os01g01780,1.701608704,8.317917222,4.9645883,4.098421303,2.73773693,1.112798418,0.969319116,6.173387583,6.202542425,11.30494932,7.162400269,4.717007561,7.626988541,4.061071684,2.433239167,8.528749277,0.60217659,0.058111228,0.582678739,2.894082283,0.203898585,0.561829802,1.27429324,1.792034718,1.801915968,2.33618707,0.219314711,0.036064918,1.922093069,1.080478753,0.655608176,0.603206584,0.109166575,0.086300081,0.915122943,0.516429806,0.664946319,0.278514133,0.654834024,0.151058572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045704541,0.51115427,0.550398138,0.586222263,0.339207662,1.086052644,0.17738608,1.306232596,0,0,0,0,0,0,0,0,6.966659254,10.41070912,6.661576959,2.760578853,3.103572142,8.453603431,9.942158598,5.827241632
Chr1-1089988,LOC_Os01g02940,9.331941578,4.958981196,4.020712501,1.748357207,3.629914719,0.158388337,2.516884101,2.861825181,2.926741973,1.244519342,0.885766831,0.598398969,2.061786315,1.436355778,0.680200417,0.862382047,8.423962542,24.93702671,12.72154091,22.49636307,9.953111488,27.61376852,20.32137881,18.68466114,124.9183593,117.8912895,115.4780361,129.2757891,121.7580158,117.3638511,119.1394803,114.7309843,6.52069944,4.044923532,4.428441653,5.045075814,5.376136671,6.057853611,4.730547663,4.620665547,2.12578147,2.569671558,0.284548077,2.725055757,2.254951823,6.597145989,0.794160284,0.582651041,0.166357458,0.177165365,0.33291487,1.226956558,1.356025765,0.31352607,0.566886077,0.943052367,115.5768204,101.8424586,122.1688345,114.6817142,106.4234638,110.3159003,113.3207079,111.2163788,30.60969668,37.2146819,35.40952629,27.75765012,31.77329524,36.7508208,36.05149759,36.42717065,34.29845952,40.96607437,32.60702016,39.30854096,34.82787663,42.19624633,34.79856878,31.13729426,35.01524749,41.1916175,35.03615843,44.62629454,39.3455621,40.69562289,42.22133672,49.97137069,47.58420469,41.08163708,102.9541998,89.10384395,32.69183611,126.5362156,7.92601589,96.21973011,80.78694879,59.72731083,67.55413848,87.09812501,70.07195905,74.79754053,66.94452665,74.56326584,11.28541274,11.16319734,8.347951757,10.45584535,7.756422516,4.998563104,15.08468136,2.005964933
Chr1-1089872,LOC_Os01g02940,29.46061769,33.68491946,23.76309658,27.60358229,16.49566827,37.65543693,46.21638813,8.403005864,4.884387929,8.894725331,6.360453589,1.954299949,4.403385924,7.02973472,8.704545794,8.392837117,36.63129751,40.27766871,36.26840236,41.44805039,38.0266396,49.03277701,52.67383096,38.97633121,122.4152896,114.2123337,119.3996407,118.378677,122.5798542,131.3529415,119.3955109,118.479844,15.05250744,15.11564204,19.66277633,14.51443634,15.29774138,12.55585985,12.69401543,14.60334192,0.603354289,6.539250237,6.292773498,0.70059379,12.7893896,1.728265364,5.950251252,5.561952685,1.362755567,2.810156115,1.907106132,1.114681567,3.734346541,2.080331611,2.046322734,1.89748053,91.85571403,96.34618987,98.54957868,101.2077949,111.045282,93.52917184,110.1923624,110.2147828,38.01937613,31.84617317,29.10680645,32.32778039,45.93911709,37.90297547,27.94007984,33.29795125,59.36106255,47.50877702,49.66312994,57.61869535,37.68106473,50.32638545,52.3971434,47.98059564,32.92519692,31.63014458,48.45264786,44.09202374,60.88161375,24.64270307,41.06452119,20.95820987,38.6169322,38.65927505,39.30948176,4.378692376,22.34227038,0.002522968,46.85072195,41.33142283,81.15670463,79.65129356,92.02763717,105.3581727,77.26844572,98.07408472,107.4724181,116.2633257,20.38236826,19.10633377,18.80269447,20.47646728,19.03325176,17.66919501,18.62305967,20.50354614
Chr1-1090107,LOC_Os01g02940,0.58412953,0.509713917,0.91254344,0.312058037,0.892467747,0.335454921,0.300663625,0.305451922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.802489779,9.659807464,8.602945279,11.07475142,10.17463295,6.414289546,5.111580762,10.53071646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.871086014,10.74557658,15.68386485,15.43121298,13.18728037,14.40780199,7.062050878,14.10384587,3.562879645,3.328166908,5.448641418,3.988206621,4.198586136,9.263392221,6.354568269,5.015540943,1.73164422,2.615769979,1.595138891,1.108289975,2.420194468,3.190500288,0.830475384,0.850642618,4.751536468,0.342942861,2.677087388,1.58317887,1.08440088,0.7620579,2.658456995,0.309922477,0,0,0,0,0,0,0,0,2.871882394,1.817223656,2.222896532,3.098161014,2.619430401,1.608138986,2.309002823,2.291733722,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,8.754664959,6.815966946,10.71822833,14.33218864,11.89191761,10.08047125,10.70682402,8.28936381,9.839735599,0.247011083,12.9154866,3.396511786,6.528885477,21.98358308,8.284222561,13.03257231,0.413462279,0.618144431,1.155637221,0.009299703,1.099053337,0.841093736,0.789262942,1.226846206,41.7234152,18.64853192,13.40557144,23.57029868,25.12993268,23.19160062,28.38083552,15.93901513,60.21342697,53.64416389,48.6177625,44.42720971,40.70218414,38.93153928,45.93888557,54.39414816,43.79770272,36.34641796,8.197100162,7.584463584,33.84876148,6.358684798,28.92900527,31.27377093,2196.468091,2262.893776,1833.611488,2120.911376,2281.585854,2299.435839,2484.856645,2403.390169,9.585384116,16.59096253,32.32317713,17.8295213,21.19416265,17.82292086,19.1868184,36.47924379,525.0664284,484.4606183,497.4811972,444.3570508,441.5775257,278.0105814,485.876099,349.1448134,285.9347407,453.6228931,345.8052058,340.355575,565.5808564,369.7489033,247.6685223,282.3974734,214.0887784,246.0473609,225.525289,197.062728,224.410083,285.014954,246.5072981,207.7844641,144.4402895,1539.365838,1246.504793,219.9166059,585.310279,1205.645727,582.5124869,1456.48394,749.6768727,757.1516759,864.4230562,715.5351769,766.6961672,862.3699978,685.2054934,632.547509,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,0.419131089,3.18949513,2.734649637,5.319155283,3.008189426,0.417810385,0.494634839,0.48611922,3.623674059,4.179320857,4.718931734,2.045556209,5.784278214,3.03484768,7.470025026,3.990753931,1.145202248,0.56866506,0.408124944,0.800483609,1.740241561,0.758321232,0.094308366,0.912620009,5.169577814,3.509262985,2.594920575,3.112606885,5.162310143,4.498826848,3.188921634,5.288804456,10.01399704,8.68805839,9.646978823,12.57900355,16.70518358,12.00733875,11.59130238,16.26913882,3.627399874,4.827223661,2.927724033,3.429341813,3.865839375,4.175587012,4.180840091,3.389705628,326.939263,319.6142219,327.0180706,333.3833049,308.0480416,333.0670292,323.7534814,329.0970857,3.372416264,1.003724924,1.345375711,6.975537315,2.630101093,5.673213507,4.695350986,4.216596894,86.8458899,97.14851436,116.5007152,113.615674,118.4335537,78.3000902,121.8393551,103.4798336,98.58148935,78.93180541,93.78345008,84.79780965,97.99500834,93.14688852,91.16233489,111.4510973,56.06972894,43.19509532,79.62912514,79.15652792,58.7140845,54.25396988,51.40557381,54.90833371,15.79827122,58.27346917,30.51301966,89.16681264,5.700905901,51.61637081,11.80358901,45.54768589,178.3941938,200.3802068,192.6855025,176.072006,177.4427422,175.2631885,179.7736358,189.6317728,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,43.42200529,49.57459337,42.77795603,69.28502471,50.94224742,59.67823654,52.41429574,24.76215254,60.67424705,59.9389414,60.3745187,59.37328989,58.89428156,59.8037555,61.25470234,58.51188274,76.86032218,51.53062298,43.28246473,57.20306189,85.2357109,53.75720055,45.87452232,33.61333993,24.93477068,26.75299945,27.04508997,28.61963553,26.63034698,25.90759986,25.39168836,26.88581765,27.47796916,28.79136834,33.65490718,23.42460838,29.10580207,24.87992603,27.81656406,31.89264695,20.62816346,17.28506783,21.70573208,22.97988454,19.221156,21.95382829,26.41781186,18.41972936,19.32989748,23.86723327,15.82661549,27.5891423,17.98930603,17.56206083,17.89642788,18.96684371,19.21962493,14.98782597,16.43784765,17.62471729,20.40859351,15.65297736,15.95101086,15.66307654,23.23627969,15.94007974,27.99555466,28.92221536,36.0640535,20.95155142,34.99192084,24.47659492,31.77394432,22.57401787,22.66162726,36.61655033,20.34134968,28.27817602,24.16221865,34.26903558,66.2873351,71.5437169,70.71287971,75.70579904,76.90664017,72.70879322,73.47713239,70.06358085,18.2860224,26.12910286,46.33101828,25.87570287,54.99801319,19.19239248,34.93384289,43.46168028,15.27759454,25.50747265,24.53521043,27.64734373,17.02493457,19.96667143,16.30195093,12.4581657,133.5993752,58.13276634,111.5181834,113.7259808,58.27772388,87.42468173,101.8485111,80.90932203
Chr1+2792379,LOC_Os01g05830,15.21690504,0.492568225,4.575785472,0.69488779,11.96682261,1.746192845,15.97505287,6.044629825,9.105551303,5.03905908,9.310335912,0.693196518,6.709230508,0.245435703,7.089203585,4.593781417,4.639579711,3.323059069,3.710042537,1.469187872,4.700806248,1.877234742,2.695191722,4.947779992,0,0,0,0,0,0,0,0,2.541253156,2.207750151,0.613956088,0.099329386,0.123863402,0.156523228,0.016610382,1.874863626,0.437490035,0.424261798,0.32993188,0.442993487,0.310523478,0.095185954,1.001977944,0.426224437,0,0,0,0,0,0,0,0,0.473227131,0.9404926,0.875782513,0.118668317,0.26721553,0.459620204,0.338758036,0.056059644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035728731,0.527116104,0.996621069,0.782283577,0.422780324,0.891858155,0.098777853,0.895704695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.716970832,3.542928236,3.112967064,5.338436464,2.98784875,4.572897784,2.330839708,3.342114629
Chr1+2795858,LOC_Os01g05830,12.19306212,85.90934843,34.71727132,69.99618994,24.43241797,52.29347964,4.943769694,94.37321994,104.5789352,49.97848726,97.2231957,72.54929921,72.33794309,79.99207985,67.08687713,102.600502,46.01588182,72.35714483,59.59486481,70.03089578,58.61832634,66.76340185,56.9994745,72.67800306,14.00698821,13.55995748,11.21374173,30.89227852,23.52566963,29.30803287,14.47314646,23.03944476,76.24206347,110.7667862,50.51762437,5.996189563,50.27299889,35.43529729,83.2488935,68.81404838,28.46098111,32.18048107,31.08141489,38.44218149,41.22455378,38.46555523,33.85667884,35.88557316,27.73363324,18.70451556,21.63941398,29.27627015,31.53733771,32.97237462,28.92702749,35.73568037,26.72098708,32.57298924,23.90558408,30.05589692,21.84174533,33.42838962,27.98514314,24.10713849,38.50029567,39.2571885,30.31547421,40.09839535,31.31938812,36.49883132,36.75741733,36.93728349,19.15587935,32.15140953,25.58909857,14.71914903,26.44514083,26.64450513,16.95571975,16.78212277,24.66057847,24.91542459,26.44579728,25.06791558,24.74528319,24.78047608,24.36914928,25.42761256,1.408937414,10.75007998,22.28897797,2.878886792,5.612848841,0.13154032,8.403843663,3.066167624,11.83316276,16.63995768,13.59816208,15.3301121,10.45834515,14.47308934,9.911311328,11.73725917,73.99020235,63.14723089,72.54244321,78.45548488,63.59605716,63.36977433,67.64583646,72.56314936
