chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,dry_seed10,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,endosperm10,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,imbibed_seed10,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,shoot10,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_20days10,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,leaf_60days10,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,stem_60days10,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_5days10,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,root_60days10,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,husk10,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,anther10,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,mature_pollen10,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,pistil10,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9,embryo10
Chr1+415839,LOC_Os01g01780,23.29825399,2.542496396,41.75257558,14.93867015,7.02680873,27.66336178,40.23244164,26.56852496,1.250726509,44.36852196,17.52044574,26.61996604,22.88597269,23.03549299,28.8872008,16.7229708,24.71469993,24.98823447,26.01510121,26.04240582,23.26862543,21.10913894,26.05773132,33.17593393,12.90518737,24.14589145,26.15302916,26.07199977,11.2516611,26.11065901,19.05090717,18.66543583,16.88708058,16.77373428,15.18232517,23.54284179,17.57591258,20.21026768,16.90503919,18.5335046,16.0366107,26.38708265,19.76070449,5.553101375,7.635905102,8.132374963,8.472138067,0.317496036,30.75881354,6.360857642,13.34176366,13.01226571,7.937458693,11.4700677,21.66727524,13.5797451,18.49641902,6.035372425,18.52590213,15.90219836,18.59613824,18.80007178,26.02599688,14.18070211,6.486776079,12.59265115,18.38860671,11.63849055,21.93574608,11.40928757,4.31399068,5.080871665,7.060038989,6.28921984,1.130185954,10.53905511,1.293033082,14.62018891,11.12028298,7.648327071,23.49956581,10.24420401,18.73875631,10.74434844,10.99868122,16.60057455,18.06887427,16.95668257,14.85996222,16.27963732,14.38902641,12.31619173,12.4397419,12.41866645,11.7562702,16.43063538,15.71749214,15.60875601,11.30999682,13.35524492,45.96178966,43.90798712,56.79574687,56.77199217,59.57167379,44.80084427,63.82519713,39.67145714,37.76845176,46.53968244,1.432443614,1.490585088,1.448491646,0.203553726,4.619555482,0.256063286,1.555259092,6.472950101,2.128985037,10.79511313,38.90994072,49.36274338,64.3107821,50.72141358,53.26891887,50.10949439,70.45425085,51.6867763,47.40659118,74.63998659,7.572456822,25.92148713,20.09513058,19.67480073,19.42623198,20.69736153,17.08617918,27.52665129,22.9653051,21.7490047
Chr1+415356,LOC_Os01g01780,0.585983215,6.726135694,0.405903466,0.961992209,8.029054919,11.00330498,2.482386902,3.454092268,6.851194594,6.14839733,6.762458589,3.770800406,10.26074131,3.952007963,5.686290202,4.669632973,11.27953529,5.191871622,2.10716702,10.36423393,0.818836769,1.390716239,0.488472891,1.412096061,1.010659696,1.493128522,1.415528448,1.882470491,0.519943,0.346226104,1.435359431,0.16334108,1.349775215,2.485242428,0.408666819,1.103592146,0.132884486,0.517082372,1.1187873,0.176793868,0.5172005,0.057220322,0.110223252,0.111754547,0.947470526,1.803263759,1.217888189,0.567460871,0.396004133,0.005306487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285309218,0.451549486,0.153515824,0.668021674,1.68500504,0.71516439,0.246969965,0.103337532,0.011814372,0.365692194,0,0,0,0,0,0,0,0,0,0,3.135010432,6.776701866,13.60589987,6.46810595,3.811910484,4.321065106,0.761796138,3.723318579,5.508521738,6.987045292
Chr1-1089988,LOC_Os01g02940,6.006456204,10.1613703,5.405936819,1.551671075,1.169824929,4.696953174,8.00811826,7.887136547,9.130754105,7.038930564,0.084509192,0.051035015,1.467230469,0.942821353,1.31299965,1.02845325,1.477568965,1.545940018,0.069269494,0.665508615,9.802178159,29.8854349,11.28146996,23.73379132,23.11690606,28.26084856,16.47990178,16.49429085,10.16772732,26.95703421,117.5599802,111.6864348,111.774176,125.7638704,103.9334468,116.3567333,125.7743356,120.6753301,122.1083359,118.5848848,6.828340855,5.075453063,2.672943472,7.1234243,3.471449857,6.619232292,4.98579882,4.359041698,4.348502804,4.864070982,0.831077018,1.112978833,2.190516533,4.489667193,0.026709468,3.66066228,1.616151932,0.413624215,0.868210687,1.694009457,0.008872988,1.251179698,1.188183737,0.068793853,0.373456338,0.351037878,0.504542621,0.110287665,0.074184401,0.696070729,112.3199815,115.1243838,110.4298575,115.6608607,122.5086636,115.6591613,117.9166508,113.7772565,109.3362155,113.981775,34.92428544,29.17101141,35.09851138,30.87974643,32.45264638,31.80178272,36.05987046,27.31529641,21.94580377,44.71315617,40.24319375,41.0832723,30.05737676,36.8554579,28.98256127,45.23179099,44.03964056,37.59858024,46.30031045,42.29952962,45.52916167,37.67462362,39.24688199,44.08706052,36.8981687,45.07978676,46.76251715,44.51340437,42.95485791,45.9679712,41.75846717,24.34204051,32.15449217,32.13723549,79.59762217,92.61014212,12.52234007,97.5464701,84.9841179,33.55906449,76.25702634,80.16552332,73.16530451,88.21230349,78.53876343,81.04117348,67.37875017,86.48657818,85.27404061,47.56145992,19.91742774,5.250714691,14.4979246,6.745568012,19.56816941,18.19009602,2.277546379,18.15337017,10.78863612,5.896199678
Chr1-1089872,LOC_Os01g02940,32.04698328,21.66030114,26.80488265,13.65678098,18.19356592,22.94314449,12.99493821,19.08287253,22.07994597,22.41861741,5.670299057,8.019370451,1.48193441,6.718268349,5.494918693,7.995260124,7.765248103,6.516975965,6.275349882,0.946340931,32.75270652,48.49131897,46.6793819,39.05346851,31.37869533,31.42685025,47.73010265,21.51991697,25.5401998,35.57865502,118.7383793,120.097383,122.8293531,121.874693,122.2383443,122.091459,129.8066171,118.5914639,120.8581813,118.5484134,24.46973567,17.96671232,16.69420877,12.73556429,22.56437574,18.40899201,13.20788642,19.12358656,15.70519469,13.7764032,6.746864676,4.640853077,2.136722345,5.532245308,1.419890527,1.287208671,0.597053135,5.273596435,5.983535196,3.573999015,1.257800286,2.748125607,2.526301801,2.26645735,2.225431027,3.110741477,2.276217957,3.444663067,2.349211491,3.09030364,97.82393833,93.66477575,113.9581395,91.11993882,92.25894167,83.31031277,101.5058649,97.80147092,102.8503059,89.68060127,33.03681566,52.22765401,42.28889139,46.62114301,35.39635608,35.89589551,38.53780641,37.5545531,40.32039709,37.23554801,55.64270506,42.03972142,46.02812662,61.00886416,47.64111114,56.78851303,53.95899971,60.65226671,45.52269464,54.87495246,23.43922953,54.76389402,41.24636284,68.73478724,27.72789405,51.03243254,33.96055152,73.92997714,66.22432537,43.92001289,7.052318407,19.22659208,2.086136739,16.99626481,17.82017434,5.468526195,5.064402888,16.63178074,27.65430476,54.67772439,112.0778581,92.57656746,88.75069851,84.34158952,85.34508722,135.9213757,89.78767829,85.96559161,73.84225336,86.42949965,19.46307289,19.73965495,21.31965357,16.49754331,21.21444946,21.6543465,20.5446932,18.41516796,21.38774232,18.01806058
Chr1-1090107,LOC_Os01g02940,0.306196673,1.5843882,0.041982037,0.198388,0.987567278,1.113330027,0.187247071,1.103453416,0.346120394,0.430084151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.035982782,11.27335148,6.081474094,11.43223094,5.298794064,12.93209919,7.499024702,15.46765577,4.140012874,9.214840223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57190037,22.09932128,13.91275419,13.91093355,13.47984057,19.28261547,8.391327706,19.44734634,9.303196249,10.78756852,4.873495005,11.26001591,8.275983226,4.451558234,5.057802605,1.348274418,2.777397301,2.350346598,2.518660306,7.221875011,0.847634167,1.018451372,2.423144641,1.262900872,3.918667861,1.748590285,2.361437919,2.272708132,2.535595338,1.787972102,3.240129966,1.278718137,2.950781083,1.048748199,1.488854427,0.108683818,1.652259317,0.38347039,1.14826448,2.144882663,0,0,0,0,0,0,0,0,0,0,2.612220363,2.945882247,2.533684102,1.174517914,0.740554184,3.065489307,1.211982381,2.512410671,1.953628727,1.689434235,0,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,11.70478179,15.07232394,11.85130551,12.00937754,11.25882483,10.6614718,11.91158586,7.907841459,7.892442997,13.29053186,9.145970773,12.42351623,15.41471879,4.213441589,19.74153407,2.760880431,22.87812799,17.98577782,24.70669506,11.71290413,0.044483566,0.709020747,0.316942249,0.576809617,0.078871284,0.654804062,0.572583734,0.028885797,0.420311238,1.053935151,43.7117449,18.1592153,14.67352445,33.04394516,16.27826381,27.23621738,23.44569442,39.28247767,26.91286598,10.53416562,52.26711551,57.98087753,48.04836555,61.64301935,54.66666444,57.40739918,60.66953012,53.16173606,53.72432649,57.23615629,32.47184871,25.04515466,32.08945488,0.020706062,40.6620153,15.45678784,25.06107961,24.55729275,12.92359906,20.57460808,2165.215652,2020.436354,2365.946184,2498.592122,2201.288183,1995.852151,2066.753127,2204.7533,2089.316909,2359.116188,26.24657885,19.45071774,31.75087966,41.27147468,27.75858334,25.55683971,24.9250333,27.60909032,30.29201132,38.83334245,458.9462782,403.7536779,405.3430453,450.7089395,441.1517371,461.3077787,474.7743929,464.6665587,533.929876,492.2485392,306.5308283,534.1273632,222.3654272,494.4403392,261.3920703,338.5844879,359.5609221,398.557807,376.9414109,454.5363671,254.0427968,283.1232849,255.0753112,203.5434593,262.6232539,249.4248052,245.8031766,254.0302525,296.9970482,234.581697,321.1183539,498.510307,368.1980268,901.0629878,929.5149877,370.8065771,74.99321913,215.4296932,3282.489079,1411.650838,653.2236064,814.6918341,714.6348606,797.4200672,727.1259489,730.8354106,863.0178802,810.6781161,791.622276,604.582173,3,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,4.856124905,0.427011935,0.628320693,0.77689161,0.077860478,2.340044934,2.64421192,2.098136166,1.480547018,1.856145729,2.356726901,1.746961159,0.783703767,2.008778589,4.103740078,3.358393351,2.442152508,2.336466652,2.55468064,2.424016082,2.499960404,2.346749839,1.071330708,0.403728475,3.117575136,0.622664389,0.771958855,0.880617454,1.264445261,0.405736925,3.744997419,4.426539538,4.064051761,3.684887364,3.766245456,4.50622711,3.504349734,1.659474691,5.522793225,3.815268571,10.30258836,9.981856674,2.541117547,0.822707179,8.897645008,16.55744083,10.57668146,13.15799283,8.893499739,9.596621062,3.620942458,5.769601926,2.526727561,5.482476675,2.532649335,5.225678138,4.62918351,3.996965425,2.246580804,4.27934897,324.9927487,330.9214125,329.212475,322.4333119,328.61475,330.3637253,323.1188938,339.4924688,336.4673552,322.7844054,3.272124111,2.479709643,6.318426946,3.431965142,6.543638369,4.766365929,0.374386786,2.740885787,8.311896033,6.085969467,131.592673,117.8333168,132.2334199,76.97852729,82.89757928,100.7287955,85.32374709,103.5733627,96.32795569,79.98956885,76.99740417,81.12227313,126.1754732,85.64182818,96.71420604,82.32905777,81.55997579,99.51151446,119.5887656,86.43241027,66.33506951,53.46797265,48.90072055,47.21156697,42.94295939,54.98517165,25.57275719,24.18567833,42.63417228,61.75018529,18.33482525,28.05546946,15.54639183,44.41780368,16.099072,19.11459796,35.51275808,35.18766031,15.97000737,24.93237345,188.6775106,181.3229157,178.9898712,180.0238975,206.3791885,194.4385567,174.0217669,179.3528354,175.6100821,177.77643,0,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,74.7201344,30.94810228,65.58294869,42.26605961,72.9377367,75.27490275,30.72299277,57.73590249,49.53759343,32.81652026,60.6270446,59.66113445,61.00163022,61.12755273,60.46222381,59.38297371,61.42151865,59.77992154,59.84282454,61.18228689,16.21547059,66.38517077,57.86872427,35.83610056,34.58283956,28.58226478,34.85910449,58.7179486,14.87761026,56.05032252,27.88212338,28.84418141,26.19304717,27.65640031,28.71579259,27.17762158,28.04450074,25.63536357,27.9203657,26.2481464,30.17444657,27.14945869,26.60912915,27.08917945,25.09064247,27.65743592,28.22249438,23.95638327,27.59485421,31.02878018,21.40297249,21.66495308,28.48400594,23.79193981,19.0523935,16.82567281,19.83158159,15.59711183,20.32777303,20.67894595,23.48603874,19.90318516,17.7059686,19.81795063,15.39806509,19.83690553,14.5877087,20.64656609,26.86212069,13.58946344,18.78979993,17.23555413,17.78784478,15.40255759,20.13060786,13.71416548,18.08707349,16.34870528,16.51024206,18.61873623,24.21871364,15.88059379,27.48905659,14.53690156,21.8043617,20.35002502,19.79710218,27.05897261,30.805462,36.78682514,21.02011067,22.06296494,23.48734283,16.71704291,28.94409891,24.69072223,28.82256506,33.65896258,31.18369898,28.23349082,60.09249651,72.48100912,73.7279328,74.96425521,73.09095362,75.95272008,84.27666462,72.29975164,63.21621546,66.95995854,40.29625151,31.5597057,21.00988463,14.11043718,19.89543574,44.43093154,28.93056241,7.964838854,42.84327004,17.69851589,23.9534422,21.30119907,24.76800346,24.453576,24.22480289,24.70174453,19.87564692,9.092126288,31.48939158,18.09739226,98.53866237,105.1613111,73.20389475,89.51705566,106.8370951,143.1145743,127.3920933,47.51816675,92.53539284,66.90474433
Chr1+2792379,LOC_Os01g05830,8.661381055,1.677587321,27.58210161,16.91613306,1.899384498,13.55419625,2.807678014,16.86504251,6.542870474,2.154448766,1.706121818,0.358695972,3.402742117,2.479530485,6.875144877,0.633740843,0.605322673,3.54799534,6.437912801,12.2338825,1.727436944,1.606913161,0.227108545,3.364347461,2.543775653,4.070553949,2.068743342,3.468525298,5.515070054,4.814393335,0,0,0,0,0,0,0,0,0,0,1.087910715,0.587144785,1.738911115,1.11549464,1.667795841,0.759218737,0.779537218,0.751406073,2.458669025,0.947225347,0.051551004,0.018323261,1.172866311,0.0396255,0.393523879,1.341180546,0.586989902,0.531933553,0.462579771,0.502301621,0,0,0,0,0,0,0,0,0,0,0.647903775,0.584447474,0.350626536,0.789024955,1.01470803,0.078632718,0.035349064,0.407274173,0.917335675,1.028457189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623685934,0.826658361,1.250267806,0.754561235,0.472333431,0.504552609,0.287986156,0.908535085,0.378776197,0.457321558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.306515838,5.184995028,3.269241692,4.124954821,3.308569525,3.661210529,3.936051735,4.602015748,2.613869653,3.988600852
Chr1+2795858,LOC_Os01g05830,60.49393041,62.93535751,77.48208015,82.03399829,115.2315539,62.76078631,13.18689941,92.87233361,61.93996715,43.46873636,39.25695145,82.65083763,49.38479042,96.59876969,97.8215947,79.34326659,53.71071258,42.71016559,84.62091279,113.2024253,65.4926029,66.02304897,78.57913379,72.68841158,80.53100408,61.35013591,77.14957376,61.87265766,63.92622472,60.60143032,18.90021202,25.33558629,35.85136417,34.02996583,26.98204597,10.07703597,30.31091373,29.58148572,29.53398781,19.26259682,95.39809049,75.81185645,81.90944281,22.07507679,74.61642817,60.40171302,27.20572835,44.33856748,56.49166805,69.72700701,25.67402465,32.56094707,29.82064221,27.23232596,37.12425909,33.92249167,30.495618,34.93338326,31.60800915,34.92171719,30.52718256,23.23322332,42.47502382,36.78890523,50.82793741,28.71173177,43.0336307,26.92687899,33.16105597,20.13873078,27.05848473,23.69685316,30.16581567,28.07398285,32.14506898,24.8901947,21.35690694,24.49868153,27.06868253,28.20811101,34.7549717,37.61982309,35.45297665,34.34750384,31.07433661,39.54421736,30.56240684,39.47060069,34.22730672,38.59454694,34.47524414,13.52169333,31.31900999,26.00938217,17.26852749,28.78287431,30.75113373,6.44651194,9.678957214,27.55058456,28.62911879,24.67261016,23.07149517,26.84322684,27.4370718,25.55315602,27.19983064,24.63219817,24.33709301,27.00680878,3.893074346,15.48624191,8.848559779,21.47218078,7.32399087,11.3415303,8.285747435,14.72261447,3.820009631,0.642803375,17.52376402,7.921868819,18.1442935,14.41430315,12.6791165,8.331667266,13.30833657,10.84741396,11.32171223,8.583289607,70.31108946,75.98613846,73.04030857,70.22761123,65.69556379,64.86630475,71.82745709,68.84831049,72.73066423,68.54697915
