chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,endosperm1,endosperm2,endosperm3,endosperm4,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,shoot1,shoot2,shoot3,shoot4,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,stem_60days1,stem_60days2,stem_60days3,stem_60days4,root_5days1,root_5days2,root_5days3,root_5days4,root_60days1,root_60days2,root_60days3,root_60days4,husk1,husk2,husk3,husk4,anther1,anther2,anther3,anther4,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,pistil1,pistil2,pistil3,pistil4,embryo1,embryo2,embryo3,embryo4
Chr1+415839,LOC_Os01g01780,25.92031584,8.417594927,11.47247432,15.87440748,29.30320502,34.61995809,27.17822749,12.84024244,24.43717055,22.92693691,19.00126285,22.14474333,20.37775239,20.32022419,21.34857921,18.61238301,15.11201529,16.29988745,0.594482812,21.79960162,20.69410537,21.04446912,12.87051092,14.2726083,20.25220203,10.25152982,16.96308161,20.97843946,10.01161243,9.849566905,3.595798384,7.515091619,15.1085438,11.67831676,12.33223968,10.91997203,11.60565746,17.36218118,12.27044006,13.64849655,55.0018356,50.37835729,40.648478,60.56110328,2.267212462,0.030974922,1.055386711,6.265168831,73.10837383,61.40428233,76.87384208,57.0798118,21.08271942,13.40145593,24.81499357,15.08962015
Chr1+415356,LOC_Os01g01780,2.700318026,0.372819942,2.664065031,1.195217823,11.38939846,10.80913455,6.712899084,6.930491948,1.425081285,0.252360197,0.354716435,1.036291478,3.029680545,0.98025828,1.173549662,0.124313006,0.948713484,0.46569485,0.530308451,0.040326237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563191464,0.602727762,0.426428097,0.86435384,0,0,0,0,4.635232773,10.62553496,8.349350622,1.191273993
Chr1-1089988,LOC_Os01g02940,0.337842491,6.647992451,5.392366526,12.17484357,2.383699366,0.220365923,0.947367622,2.985383622,25.91412595,31.45666987,11.70495764,25.10106859,122.1676009,112.9003292,117.6184879,119.0949671,5.173383776,6.986382714,7.138803459,3.237802769,0.903347607,1.982859488,2.979425986,0.723421241,0.923271072,0.947372054,0.022713038,0.596570165,117.0460064,113.7152364,116.2406641,118.3764327,38.99497169,39.71110286,23.72111603,29.5175432,41.16801117,36.55932507,40.84259818,38.61363706,41.28521609,37.82180125,50.14673159,36.34129168,10.97383293,47.27799905,48.72008915,21.02656042,72.90634431,59.69405009,77.03620772,75.62860367,18.45029896,5.252081673,1.446820146,8.929413184
Chr1-1089872,LOC_Os01g02940,19.71352539,28.2880869,22.78320925,27.14992226,2.665032076,13.34061453,9.592418334,6.455128037,39.58116628,42.05920459,27.53556957,47.07218006,133.8380033,122.4936384,122.9844966,116.1239828,22.04867837,15.01799291,14.27137777,6.684215491,1.230331242,1.325431372,5.26376585,3.15112626,2.479531445,2.916708495,1.366953962,2.100337287,95.23234085,90.38317348,92.39089729,103.1913994,55.27942162,39.09665093,44.63201032,41.78293867,58.2018228,44.25827809,51.6051517,58.8948385,49.16461273,32.7504061,54.88241222,34.47718555,36.89937989,13.15414636,5.191954722,10.77089998,100.2670708,103.1692184,82.70514928,91.63932485,17.9955839,18.1441595,19.36012696,18.68131059
Chr1-1090107,LOC_Os01g02940,0.581903165,1.106334399,0.776866288,0.662954824,0,0,0,0,0,0,0,0,1.596855712,6.992306969,6.794257514,8.44241538,0,0,0,0,0,0,0,0,0,0,0,0,12.04929502,12.70066072,9.546591297,18.32828783,1.932997005,2.214537619,8.481607963,8.542983981,1.235467532,1.394730993,0.186418161,0.591378135,0.767699128,1.874818412,3.831125987,0.99778216,0,0,0,0,3.848640935,1.219110781,2.779342864,3.207241549,0,0,0,0
Chr1-1365603,LOC_Os01g03390,13.14531278,10.33514936,13.19881727,9.368658517,6.427477039,15.69610342,2.453178209,10.98848476,0.310104336,0.558690474,0.905556223,0.019512566,21.53137831,29.61595085,23.9489393,40.35472253,50.86071818,49.41636313,62.38062936,46.96028026,43.78112099,27.76891005,16.05447004,30.2737028,2296.432857,1991.248477,2168.093147,2259.555554,30.11483344,20.05959704,17.45639353,36.40293217,563.4458087,405.200375,427.2898945,365.00201,265.6567422,452.6255227,557.4774996,434.5248842,204.005853,190.9400586,310.9851174,260.3973156,673.6402107,820.8212587,867.6426563,1224.89801,746.7072784,718.6353947,809.7498104,769.9938915,3,3,3,3
Chr1-1365676,LOC_Os01g03390,0.839240074,2.395267027,0.134472487,3.980332454,5.36578496,1.594542644,2.078562839,2.663824726,0.424664672,0.188737962,1.109944153,0.981131486,3.931045354,3.483332031,4.412981339,2.609955032,13.78537284,14.93050786,20.6414309,14.64020529,3.954747618,3.916686796,3.322127481,2.409624073,323.4042403,315.6616852,329.7549476,324.4428966,2.446213095,5.941035912,0.591540872,4.024570934,97.62608229,110.1844935,99.55271188,104.8092237,112.1016072,88.9592739,86.08922946,89.16988473,43.3409832,60.70101456,82.08279264,60.51871525,45.30812177,44.38020835,29.2474757,31.55958883,164.3009225,185.1313593,188.6682397,192.6026813,0,0,0,0
Chr1+2795636,LOC_Os01g05830,73.46342328,60.29584186,61.46764746,84.51081392,62.51825489,60.72736387,60.91317467,59.02868277,0.917997453,24.31293516,55.0468334,32.61499922,26.30069146,27.39919353,26.84927031,28.32556543,28.94268689,33.6898831,28.57527625,29.31229078,18.37601911,25.07145935,17.29502647,10.09666699,23.62459035,19.33378186,11.2972899,17.94122365,15.82598368,16.94932508,18.54413153,19.61663716,24.05635591,20.385388,20.57731258,19.89688539,27.39522108,20.10214404,23.17675667,39.04857481,70.83737071,74.86270515,66.79534092,55.0887943,32.8818775,34.59477449,38.4442017,46.36133886,19.07945369,26.92741516,22.51852747,33.34414901,72.04154008,42.42503397,102.4675842,85.44553467
Chr1+2792379,LOC_Os01g05830,12.80850904,22.02478011,4.117664341,0.262057882,3.13970676,4.86487919,0.926802221,2.707414108,0.024900673,0.091862428,0.895175469,0.218282803,0,0,0,0,1.957955276,1.26457318,1.087091057,0.583453878,0.257422705,0.127464341,0.291929533,0.212059261,0,0,0,0,0.136888356,0.373310231,0.17078177,0.162166249,0,0,0,0,0,0,0,0,0.330369965,0.52502989,0.850836191,1.404853199,0,0,0,0,0,0,0,0,3.978976579,4.001046687,5.471491666,2.550595642
Chr1+2795858,LOC_Os01g05830,29.8012592,33.07441286,107.6120908,26.33695079,74.16739105,102.4794997,90.96479586,82.31191576,68.77695029,63.91922706,71.18078649,63.19257191,18.84922928,24.63799567,17.81197226,17.83503747,84.23593047,104.939373,34.76777991,115.4100734,37.43666483,31.3891734,30.84104655,37.19593687,23.72244844,27.08287714,36.84370397,24.23149289,30.41579707,22.0721988,26.38478153,31.19118768,40.00412199,36.26305897,35.96660984,37.41697971,42.08986753,20.17164168,36.87228623,11.48340756,27.74988131,26.29042254,26.50328615,27.64608739,2.902257867,5.212746047,11.92118177,3.061362286,10.22004415,9.25183653,11.18502637,10.09708159,61.23677668,75.72463316,73.06238508,69.8448287
