"","chrstrandcoord","gene","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","root_60days1","root_60days2","root_60days3","anther1","anther2","anther3","pistil1","pistil2","pistil3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,2,2,2
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",0,0,0,3,3,3,1,1,1,5,5,5,2,5,2,3,3,3
"3","Chr1+356171","LOC_Os01g01689",0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0
"4","Chr1+371188","LOC_Os01g01689",19,15,17,32,19,35,38,34,35,40,30,55,27,18,24,44,50,48
"5","Chr1+374561","LOC_Os01g01700",6,5,5,6,3,3,4,4,4,7,7,5,20,16,5,3,0,2
"6","Chr1+374424","LOC_Os01g01700",84,141,94,138,143,144,199,194,177,146,173,174,227,224,249,207,209,202
"7","Chr1+1856529","LOC_Os01g04200",0,1,1,1,0,0,1,1,0,1,1,0,3,2,1,0,0,0
"8","Chr1+1856256","LOC_Os01g04200",29,20,24,9,9,9,8,10,6,12,13,14,14,10,14,22,31,32
"9","Chr1+1856117","LOC_Os01g04200",1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,3,1
"10","Chr1+1855402","LOC_Os01g04200",27,22,44,17,20,19,19,12,16,55,14,27,18,10,15,29,30,31
"11","Chr1+2608018","LOC_Os01g05500",0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"12","Chr1+2601686","LOC_Os01g05500",0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
"13","Chr1+2600567","LOC_Os01g05500",14,6,14,13,10,9,6,12,3,9,15,7,3,6,6,2,2,5
"14","Chr1+2609247","LOC_Os01g05500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chr1+2612758","LOC_Os01g05500",296,274,217,298,303,355,240,232,232,131,141,147,186,189,182,204,193,179
"16","Chr1-3667570","LOC_Os01g07630",1,3,2,0,0,0,3,1,1,6,3,2,0,1,0,2,1,1
