chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,imbibed_seed1,imbibed_seed2,imbibed_seed3,shoot1,shoot2,shoot3,leaf_20days1,leaf_20days2,leaf_20days3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3,embryo1,embryo2,embryo3
Chr1+415839,LOC_Os01g01780,37.7579379,18.27003726,34.35174474,19.7182538,28.65724284,19.32218283,21.23629128,13.27042605,31.2269622,19.42109041,13.64802194,14.43835733,3.882462292,4.777233194,12.57303758,15.91719411,12.29952582,16.41887269,9.972808794,29.87965181,21.27378908,6.844007286,8.120479195,5.804130913,15.4801804,18.7346543,12.61437832,15.52357266,12.97248794,17.55041982,32.9095832,45.79989702,50.82448784,5.560311456,3.278053323,4.879157533,43.46275619,51.15065485,50.45072465,21.08578017,12.38225248,24.06560353
Chr1+415356,LOC_Os01g01780,3.200241055,3.23327702,3.3321419,3.898344633,1.516442327,0.910594087,0.345547869,1.180745555,1.345375989,2.870366761,0.25156685,0.892744741,0.039729926,0.123902579,1.480677831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209960281,0.098863939,0.065756473,0,0,0,6.728243521,6.463938363,5.132876767
Chr1-1089988,LOC_Os01g02940,5.232136783,0.575243011,1.837648659,0.833716267,0.073664437,2.942548519,15.02444749,29.59827318,15.67918422,105.9499832,114.8269242,103.2289314,7.137453618,4.988435637,5.001881331,2.409449202,2.16231788,2.994780949,0.577719822,0.014762011,0.025432288,104.8137329,110.6803978,117.5972432,18.66464079,35.37729483,37.7422882,39.83722903,38.54635171,40.3767392,43.89368652,42.69296974,37.86307343,119.0673017,38.5586487,69.75858749,77.92681957,58.42510556,89.8194093,26.69463482,15.50664966,10.09082918
Chr1-1089872,LOC_Os01g02940,26.53282663,29.2497082,12.81536391,1.391809357,12.21566256,7.516386798,38.04091678,51.26946699,41.48342486,125.5603246,119.4853299,128.7211997,15.98374911,21.83138793,5.028198677,0.54181223,4.539424802,0.113112488,1.726511418,0.956779156,2.28213236,91.60781781,88.78799586,81.217418,31.43985295,46.6264104,27.09968893,60.38701737,59.50045551,51.55419763,25.01039286,37.07578991,25.79802105,39.09185376,7.372685159,11.46757043,72.59584495,96.7849548,82.78838717,18.83897624,20.536627,20.07073716
Chr1-1090107,LOC_Os01g02940,0.733724506,0.89836931,0.630875017,0,0,0,0,0,0,4.932405266,6.597505142,11.40704066,0,0,0,0,0,0,0,0,0,9.240111545,11.7605926,12.45281487,5.366470593,12.60346491,7.306807441,0.02241338,2.376609763,0.402513623,4.108843964,0.121202073,1.241973777,0,0,0,1.27097839,1.958276917,0.960444196,0,0,0
Chr1-1365603,LOC_Os01g03390,9.949210639,12.01224663,7.879279779,2.204014153,2.18005787,2.983341711,0.345538085,0.935253176,0.572271811,18.71745233,28.86144082,27.74232971,60.34584893,59.40087757,59.91012119,32.16543505,30.22407424,20.09436621,2180.645086,2335.80259,2251.735804,27.96373021,37.87482208,22.19472863,460.1133712,441.1856312,403.5505991,414.4745514,453.1896639,258.1916112,174.1281757,254.5909745,245.7044723,912.220233,2428.761581,554.5086354,585.3366331,526.9808694,806.0285629,3,3,3
Chr1-1365676,LOC_Os01g03390,4.883482452,3.700490453,1.174470814,6.541072768,4.194462252,2.063526031,0.107812231,2.186185587,0.707248122,3.641089072,3.136548532,3.851802323,6.270168968,11.97207859,14.5506107,4.012533748,2.954113939,4.554465068,315.1929992,334.3511428,318.4573513,3.569093428,4.220253916,2.26319423,104.4099777,108.6751289,90.46121651,111.3348228,71.10465798,89.23758711,56.35614199,81.9372814,55.54290922,73.56212915,28.26761107,22.54614425,185.836188,172.8978176,175.8623637,0,0,0
Chr1+2795636,LOC_Os01g05830,70.28663485,26.03518929,35.61779005,58.56242021,61.73192773,60.01307147,59.37928813,67.12543532,15.9948541,27.75081103,28.39674616,25.34793687,29.99935685,27.09935937,33.55665161,15.23465754,19.17922382,22.17888014,10.97828979,20.89179778,15.87986721,17.96679612,17.63020775,18.49503283,23.86280749,27.06032204,20.45499772,21.4264524,25.11019616,28.67418342,67.9815107,72.98998811,81.37071135,20.46734725,19.25244134,12.17003601,23.50830067,27.33806225,27.61273441,48.59855285,118.7993445,9.812722181
Chr1+2792379,LOC_Os01g05830,10.28175229,18.93939797,0.50739512,2.933362082,1.303160114,5.001602671,4.976065823,0.351986496,1.036360209,0,0,0,2.512256356,2.543065287,0.927777111,0.747340872,1.063055387,0.605654478,0,0,0,0.716187969,0.002025463,0.006905944,0,0,0,0,0,0,0.08498663,0.344684473,1.445445444,0,0,0,0,0,0,1.499432706,2.75543556,3.345156433
Chr1+2795858,LOC_Os01g05830,65.78885217,16.9202239,102.7002688,117.3527079,122.6433252,57.29637016,74.00635076,78.97267368,61.56662477,20.45917855,26.50440741,44.8214471,85.94211502,51.20008379,46.52086929,36.96248472,27.91190357,27.26261966,38.10233509,30.19923624,34.02210244,24.65827173,28.86810388,32.32485702,37.04495436,32.52883015,43.38397094,31.11215909,28.31834887,1.416313262,27.15583476,27.15426764,23.17858872,16.2140333,22.94269943,26.07057099,16.12899305,12.74932164,15.19150705,68.62444915,68.45439092,69.64825916
