"","chrstrandcoord","gene","imbibed_seed1","imbibed_seed2","imbibed_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",0,1,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",3,6,5,1,0,0,0,0,0,3,3,3,1,1,1,0,0,0
"3","Chr1+356171","LOC_Os01g01689",1,0,1,2,2,4,0,0,0,1,2,2,0,0,0,20,20,18
"4","Chr1+371188","LOC_Os01g01689",66,33,18,30,27,16,19,15,17,32,19,35,38,34,35,2,9,5
"5","Chr1+374561","LOC_Os01g01700",2,0,3,5,7,6,6,5,5,6,3,3,4,4,4,1,0,2
"6","Chr1+374424","LOC_Os01g01700",209,211,211,212,233,182,84,141,94,138,143,144,199,194,177,184,229,436
"7","Chr1+1856529","LOC_Os01g04200",1,0,2,2,2,0,0,1,1,1,0,0,1,1,0,0,0,0
"8","Chr1+1856256","LOC_Os01g04200",22,19,23,38,31,43,29,20,24,9,9,9,8,10,6,3,4,7
"9","Chr1+1856117","LOC_Os01g04200",0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
"10","Chr1+1855402","LOC_Os01g04200",14,24,8,31,50,42,27,22,44,17,20,19,19,12,16,17,7,9
"11","Chr1+2608018","LOC_Os01g05500",2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"12","Chr1+2601686","LOC_Os01g05500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Chr1+2600567","LOC_Os01g05500",1,2,13,5,9,15,14,6,14,13,10,9,6,12,3,36,65,10
"14","Chr1+2609247","LOC_Os01g05500",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chr1+2612758","LOC_Os01g05500",182,162,188,149,153,147,296,274,217,298,303,355,240,232,232,197,149,183
"16","Chr1-3667570","LOC_Os01g07630",0,0,0,1,1,3,1,3,2,0,0,0,3,1,1,0,0,0
"17","Chr1-3671562","LOC_Os01g07630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,16
"18","Chr1-3667505","LOC_Os01g07630",18,33,30,82,78,79,25,23,25,14,13,12,22,25,25,7,32,24
"19","Chr1-3713770","LOC_Os01g07740",51,54,11,51,48,48,47,46,32,8,31,13,36,34,39,83,148,158
"20","Chr1-3718312","LOC_Os01g07740",0,2,1,0,1,0,0,0,0,3,3,0,0,0,1,1,10,1
"21","Chr1+5412511","LOC_Os01g10280",0,1,3,1,0,9,4,1,0,3,4,3,2,2,3,1,8,4
"22","Chr1+5412761","LOC_Os01g10280",1,2,0,0,0,0,0,0,0,1,1,1,1,1,3,1,4,0
"23","Chr1+5412697","LOC_Os01g10280",4,2,2,0,2,0,0,0,1,4,2,6,0,1,0,0,0,0
"24","Chr1+6029641","LOC_Os01g11260",2,3,4,6,6,7,6,2,3,2,1,0,3,1,1,2,8,0
"25","Chr1+6029525","LOC_Os01g11260",0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,2,2,0
"26","Chr1+6270688","LOC_Os01g11620",33,31,7,287,283,285,0,0,0,2,2,2,12,10,11,38,46,21
"27","Chr1+6270822","LOC_Os01g11620",0,0,0,24,25,25,0,0,0,0,0,0,0,1,0,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",4,2,3,7,0,2,0,2,1,15,15,14,4,6,3,0,0,0
"29","Chr1-6572018","LOC_Os01g12080",16,12,21,9,25,3,68,74,70,47,48,47,18,15,18,0,0,0
"30","Chr1-6572877","LOC_Os01g12080",0,0,0,1,2,1,7,2,1,4,4,4,1,3,0,1,0,0
"31","Chr1-6572141","LOC_Os01g12080",69,68,78,112,118,120,435,428,433,361,346,339,99,134,137,55,11,27
"32","Chr1-6725035","LOC_Os01g12320",2,0,0,28,26,28,44,49,44,19,24,17,13,28,35,0,0,0
"33","Chr1-6724944","LOC_Os01g12320",1,18,14,171,176,189,360,324,369,109,113,108,221,223,192,124,125,159
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,1,1,3,3,0,0,0,0,0,0,3,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",1,8,4,3,2,4,3,3,5,1,2,3,4,1,4,10,10,9
"36","Chr1+7095316","LOC_Os01g12810",36,37,35,130,131,120,861,863,902,478,497,471,179,182,173,93,207,100
"37","Chr1+7576953","LOC_Os01g13540",3,3,4,1,0,0,5,4,5,1,1,1,0,0,0,0,0,0
"38","Chr1+7576771","LOC_Os01g13540",41,57,66,102,102,99,1278,1373,1296,829,813,894,193,197,207,134,45,40
"39","Chr1+7575165","LOC_Os01g13540",0,0,0,0,0,0,7,16,13,4,5,8,1,0,0,0,0,0
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,41,706,240
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,7
"43","Chr1+7672581","LOC_Os01g13700",28,10,11,15,13,16,11,5,13,10,8,11,15,11,10,11,18,34
"44","Chr1+7672710","LOC_Os01g13700",195,228,224,199,210,228,170,167,209,159,161,124,178,179,183,198,118,116
"45","Chr1-7687909","LOC_Os01g13740",1,1,0,2,0,4,3,3,3,1,2,2,0,0,0,5,2,1
"46","Chr1-7686899","LOC_Os01g13740",5,17,9,335,330,322,1858,1694,1780,1601,1649,1595,667,525,670,74,10,241
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,10,9
"48","Chr1-8175675","LOC_Os01g14590",4,5,3,10,12,14,2,1,1,10,15,10,0,11,5,0,1,0
"49","Chr1-8175468","LOC_Os01g14590",0,0,0,8,5,4,2,1,1,6,7,8,3,4,3,1,1,1
"50","Chr1+8408590","LOC_Os01g15000",4,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"51","Chr1+8405373","LOC_Os01g15000",5,4,5,0,1,0,0,0,0,5,7,11,1,2,5,0,0,0
"52","Chr1+8408240","LOC_Os01g15000",15,8,10,0,0,0,4,2,1,1,5,8,5,4,6,0,0,0
"53","Chr1+8408351","LOC_Os01g15000",326,356,321,11,10,11,71,74,69,146,142,122,59,45,45,50,68,43
"54","Chr1+8407017","LOC_Os01g15000",5,3,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"55","Chr1-9658230","LOC_Os01g16890",1488,1719,1915,920,892,827,219,253,294,247,268,274,1167,883,999,705,1062,491
"56","Chr1-9659592","LOC_Os01g16890",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Chr1-9660105","LOC_Os01g16890",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Chr1-9660661","LOC_Os01g16890",34,33,30,0,2,1,0,0,0,1,2,1,1,0,0,0,0,0
"59","Chr1-9658021","LOC_Os01g16890",0,4,9,0,6,4,2,0,1,1,0,1,5,8,4,2,1,1
"60","Chr1-9660380","LOC_Os01g16890",14,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Chr1+9879603","LOC_Os01g17180",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,10,8,5
"62","Chr1+9885367","LOC_Os01g17180",117,125,87,85,95,92,120,122,127,111,104,112,96,58,96,241,230,229
"63","Chr1+10655296","LOC_Os01g18850",2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
