chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,dry_seed9,dry_seed10,dry_seed11,dry_seed12,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,endosperm9,endosperm10,endosperm11,endosperm12,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,imbibed_seed9,imbibed_seed10,imbibed_seed11,imbibed_seed12,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,shoot9,shoot10,shoot11,shoot12,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_20days9,leaf_20days10,leaf_20days11,leaf_20days12,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,leaf_60days9,leaf_60days10,leaf_60days11,leaf_60days12,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,stem_60days9,stem_60days10,stem_60days11,stem_60days12,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_5days9,root_5days10,root_5days11,root_5days12,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,root_60days9,root_60days10,root_60days11,root_60days12,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,husk9,husk10,husk11,husk12,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,anther9,anther10,anther11,anther12,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,mature_pollen9,mature_pollen10,mature_pollen11,mature_pollen12,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,pistil9,pistil10,pistil11,pistil12,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8,embryo9,embryo10,embryo11,embryo12
Chr1+415839,LOC_Os01g01780,14.94894135,31.34179434,2.342685154,1.747263462,42.15839516,24.21922512,24.82353094,23.1989092,19.46460202,15.55405456,16.89508795,51.85190414,21.51522348,22.94559977,32.64926582,19.00311167,25.14095408,18.97778213,26.68286097,22.5547626,16.22863492,21.5004147,16.86664662,26.99285899,23.14635074,18.03836825,22.63078791,21.57841431,15.60446238,16.41636745,24.89904021,18.00561584,32.2661232,14.50997381,25.59563874,32.71612082,19.55394879,19.89013343,22.76601717,21.09073231,25.15781404,16.14119319,18.60154802,16.71758538,16.75620158,15.93145173,20.79778201,13.00240265,19.42394751,8.517001069,21.28705438,11.09213437,16.10473659,19.98801594,14.96353819,30.56095421,8.634293004,12.68644583,0.676342201,14.44234538,18.64962757,11.85295906,9.908612841,14.32466751,12.71003012,15.21545148,6.113193025,20.1096258,25.95001104,10.158272,28.54243797,18.80189759,14.6756637,16.56002883,11.74283737,5.835439286,15.4846099,18.05058379,19.63759345,15.88514219,20.05747357,25.41896321,18.65046522,14.49377761,7.496639062,11.30849512,3.018746047,5.496151793,3.582406054,2.171752201,11.64690666,7.619335186,2.454194003,8.600318722,11.32281355,8.725678199,17.3071739,12.11834546,15.69011687,11.81773041,13.16548507,16.72955554,16.688048,12.44969534,13.27593485,9.588470059,11.6234583,13.8921439,11.01586856,11.54054698,11.32240422,14.26294227,11.16583917,14.69482861,13.2863099,11.80609838,18.11576943,13.33212292,14.5830848,13.02772584,28.58711693,51.10461015,46.04646299,58.23714239,44.72333375,59.02806856,57.07176894,36.458868,40.01780457,56.40041043,35.58651245,62.41110659,4.242987728,5.350677973,0.192816044,1.493043642,2.894059791,5.270245751,1.965358231,3.268158776,4.02050091,8.173490346,5.345691008,6.057898484,56.70180479,56.45498783,42.54413,57.39426439,54.10101784,53.33321295,37.14982601,67.47430418,44.43522753,57.78345874,51.12656969,62.83338784,18.77710804,9.486053402,20.81514758,20.02119477,17.13102227,21.06366788,23.40033985,17.84813546,14.9908767,20.89244558,30.78250533,24.79069548
Chr1+415356,LOC_Os01g01780,9.30736479,7.61477943,0.922245395,4.524900156,4.375638343,6.141049055,8.663880152,5.003989678,1.461605709,2.504549927,8.322480001,8.005087145,5.855393116,2.738237167,3.31276726,0.206416258,4.011808622,8.517908174,5.840383144,5.177460819,8.849927448,1.850640881,9.19987921,2.13594197,1.034965155,2.381858731,0.963478,0.82469061,2.013064098,1.122638795,2.409718661,0.544014142,1.699001252,0.922671879,0.819298582,1.015192125,0.714496524,0.522030073,1.528275401,2.475126961,0.953461118,0.738407018,1.047957175,0.550848682,1.662385442,0.367055013,0.449885116,0.597519798,0.016443645,0.325509668,0.054556143,0.557186736,0.702082315,0.44259372,0.911969865,0.657731868,0.50248738,0.530966663,0.330026823,0.367897022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040939075,1.587200263,0.834493265,0.358144308,0.571729144,1.292738906,0.41619149,0.544117333,0.448850921,0.482544609,0.964434609,0.199027943,0,0,0,0,0,0,0,0,0,0,0,0,1.854243797,6.877566409,6.019574874,6.578095977,1.612980298,4.22000733,3.494399833,14.04059191,6.851791087,7.556179144,3.575469374,0.301854359
Chr1-1089988,LOC_Os01g02940,5.623592268,11.84788669,11.72725738,5.908118975,12.0788129,8.574566001,1.973067689,8.111362971,9.912448131,2.507787243,8.106673061,0.292349624,1.25599935,1.219950022,1.896991697,1.285175609,2.203596279,0.674781084,1.413009872,1.543713211,1.328414834,1.510253031,1.871346622,1.017153712,13.95596545,18.80530672,16.70331699,24.86048724,19.56553484,23.30640685,24.58048234,36.16336904,8.118307862,10.30319947,15.09498145,21.35268641,115.2570837,131.0708085,97.89405351,102.9157516,124.4474512,118.0779025,109.0974619,116.3630193,122.7455677,126.2918529,114.1335882,121.307257,6.126981388,4.826602473,2.767071719,5.590656766,6.152501436,5.367525516,4.120985175,6.136470688,4.534609637,3.906912968,5.10089665,4.233711661,0.693902873,0.295376348,1.336805685,0.407565225,1.432124771,1.269148165,3.165635797,0.804895455,2.22181659,0.999577607,1.875431382,4.007388479,0.570462038,0.244594932,0.582925329,0.075908804,0.32826658,0.832240424,1.285583473,1.026182662,0.009155043,0.588982998,0.195898835,0.198633218,109.1230258,117.3884316,106.0775509,110.0124066,111.7280155,116.8760222,118.3324586,108.4741967,113.8469074,111.7417617,98.76113679,113.5278663,26.82109499,20.6319373,24.9552028,30.19140823,27.27338055,37.61190381,36.34416909,36.63605431,36.8564988,25.03447869,29.77315484,38.84511391,43.72175874,42.99556667,35.57670011,43.41843425,32.96268202,40.14323512,36.41893037,44.84068601,47.01646033,29.49515932,50.52429891,37.91486989,45.03825742,46.94628094,42.41291477,46.66789859,38.6137966,46.16925304,39.99493056,38.39839164,44.40259297,48.73615514,42.36105306,38.57377353,55.77873874,63.74586382,54.05431014,142.8599286,98.53071839,90.18759646,118.6137919,119.7340273,104.9764934,135.0663447,63.06512544,87.79445478,69.59958206,90.06627617,69.02443268,72.91656949,83.66270392,66.86370413,73.29031344,71.77105756,82.93405531,76.09489077,72.84978207,68.80086149,16.0007247,13.81506839,23.37635461,15.88508454,25.83012002,2.56314222,13.9203465,2.082365223,10.06666277,11.71860945,19.62417208,15.98582535
Chr1-1089872,LOC_Os01g02940,18.86169842,10.17223248,38.66876755,22.52369492,42.13326521,31.96996733,17.7287928,28.2247565,13.29370096,20.31473091,31.57957763,0.433214472,6.538458445,4.095672335,5.464013799,7.511644002,13.12782462,6.854765108,7.238971457,7.259854618,4.225664633,7.55150739,2.916603817,1.710901545,34.72150127,39.62157938,28.26069119,39.19008927,39.58315184,40.05784691,29.53814013,60.62880952,47.67258381,41.92264201,35.8887893,37.47890272,121.9863338,122.8599532,121.3947414,124.660642,133.5805157,118.9558921,128.9250419,131.0012842,119.0451716,128.366518,121.3530067,122.9884273,10.31047253,24.73563989,20.41824312,6.658536079,8.582804631,15.27019374,14.20498044,19.45798398,22.29940099,14.53111561,16.24203686,14.35984615,0.531746813,5.46265792,0.118377852,0.565158788,2.314876165,3.112012508,0.540730952,3.214150623,5.555045976,4.057966445,3.016984522,5.009509131,3.228049869,2.228890629,2.358429412,2.04641165,2.258607047,2.791537936,2.367848761,1.356785019,2.378664552,2.40433441,1.774833656,1.970415593,88.61041065,87.64845781,92.11845197,82.25002141,75.72851294,104.1506002,122.4991873,84.24538383,76.57119811,69.84179344,115.0664001,112.7736935,39.35305134,34.12652582,36.96540224,45.34697145,43.46066265,40.31267215,42.49195079,24.68637383,41.78010537,35.13264139,31.81833699,39.21021356,45.96652116,67.55262362,52.63527175,47.74357539,42.6657518,45.40766079,49.12485049,65.62514208,58.10073912,63.51640914,77.87871278,52.60286037,54.67606339,21.10607177,41.60313981,36.50505964,61.13773822,48.18398757,37.75491482,31.28159975,27.49553721,18.51056643,29.76040205,24.54337625,3.528612592,77.79913191,30.42152838,25.96719594,8.018756921,14.67550902,11.41292814,23.16920362,22.65667328,36.83653324,31.30956867,16.14420013,78.97489409,84.88682998,96.98514683,103.0262998,99.58262225,100.811158,77.48396509,100.5733694,84.33467478,101.3999412,69.81077309,85.02233061,20.30029748,18.66611128,20.86179847,18.30677337,20.95266533,16.86439305,17.99249505,20.11922387,17.97874797,18.23484705,18.80744574,20.16877998
Chr1-1090107,LOC_Os01g02940,0.263429659,0.32776834,0.580547733,0.533758297,0.543696309,0.151808039,0.386248446,0.274256045,0.568960676,0.093387533,0.422273435,0.429155109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.996820574,8.691725596,12.78402924,1.407548031,6.463673695,4.971458977,15.43015168,3.163343095,11.24700909,12.07327826,6.522681073,7.715112568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02649309,17.6003539,13.32804428,18.47110754,8.522440512,18.44842974,9.910127084,13.72641368,13.33794885,11.48693574,9.695143402,11.70402596,6.545508543,3.453940236,6.716864355,6.263851335,9.978841461,0.789555626,0.400837765,4.087651449,6.700701966,5.034739123,6.025844019,12.08695404,1.19884823,1.136262193,2.415471128,0.0130169,0.623856384,1.07846289,0.569275932,1.511631497,4.970482972,2.538410716,1.443193417,1.466665245,3.054644343,0.942962982,0.459391511,1.780744545,3.365169254,2.807310175,2.750600885,1.069128186,1.433203564,1.242883387,5.132124451,1.884061232,0,0,0,0,0,0,0,0,0,0,0,0,2.735912235,1.736095587,2.437649961,2.260502602,1.895121644,2.379590741,1.540966537,0.033015164,1.157255584,4.858039854,0.966073691,1.630372504,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-1365603,LOC_Os01g03390,12.1599804,6.961648804,11.27052458,10.01412471,8.819830536,10.63018233,9.971961878,12.09967315,11.27841115,8.152929488,11.42847136,11.61092997,12.07654814,7.707695131,10.62242399,15.34353069,17.76057944,8.687741396,19.71769544,12.01436171,19.9502419,7.242545633,3.340740319,7.383867768,0.303735518,0.551078935,0.165566754,0.037388473,0.185282579,0.072843605,0.936614228,1.248416977,1.800712429,0.296309589,1.002485595,0.395549351,13.5800667,30.30827431,33.00048297,13.75945391,30.75072031,22.24692825,17.19836943,31.32218467,35.16958749,25.25008848,17.11007818,32.5394171,51.13500287,50.12376824,57.39596717,62.4497347,62.48103028,48.37737352,53.51637902,52.74664061,47.85216138,50.15056756,56.94850589,50.49892941,28.16075308,28.7540545,32.72688072,31.84030958,22.90308475,8.380067614,29.18636598,9.416998808,28.47379049,6.946224584,18.6171382,39.18214983,2381.194239,2408.344894,2560.701342,1776.156271,2145.346729,2412.511432,2135.765635,1796.498099,2478.066936,2279.679067,2312.804904,2257.357673,24.13754505,28.66047854,25.09641235,37.4449814,28.19650653,22.93997223,23.06415415,17.28610568,28.5371271,14.58122694,29.33931923,11.88379424,448.8103474,487.3531194,509.8307085,493.4725285,499.048914,480.7002101,353.5423138,387.3882175,443.0871835,367.8532313,501.1902772,519.3111956,499.2493905,242.0245081,97.49179998,422.202681,464.9634304,481.2878422,466.4218149,409.9960518,423.2260528,469.7418644,509.8853228,325.8002141,251.5543166,245.1061,230.5575452,254.6876911,234.8215018,283.1869433,212.3881685,227.1609524,282.6193719,276.2550442,255.6315528,244.7024087,1369.602961,2200.634273,784.2207839,407.922099,1020.974358,2072.295944,502.4294967,1700.994898,1920.636636,4209.092498,2903.231522,898.37111,697.0870957,806.1190283,613.8288542,739.6986824,603.7876292,796.214865,695.187983,698.4918669,883.4834934,720.0765096,712.8795743,593.772723,3,3,3,3,3,3,3,3,3,3,3,3
Chr1-1365676,LOC_Os01g03390,0.276009067,6.2082794,0.763686263,2.445919229,2.341278524,1.037213773,0.092447766,0.219973772,0.698426386,3.903728585,0.676674376,2.680620198,1.835042969,3.612483729,5.671820702,2.011499668,4.669822449,3.682412295,3.983194926,5.815825408,0.214614796,2.395705334,0.204025366,4.414946518,0.203576936,0.991251187,0.758299726,0.981807906,2.775928035,1.174127966,0.57631527,1.440294416,1.439099424,0.869979567,1.533944824,2.02557666,4.742258488,2.208518577,5.891326548,4.206399714,3.401694797,1.777186612,4.142163161,4.902451715,0.570905364,2.119827849,1.889703999,1.664858712,10.95540273,7.473610534,11.92006763,14.56666652,7.778462474,19.60082277,16.24208359,12.8433944,13.2247806,11.01025838,5.323202076,2.203969477,3.266442915,2.719304661,4.342737272,5.776460373,5.485004498,3.935818935,3.144878035,4.485890923,4.37846229,5.562971294,2.445167986,4.939008232,323.5142131,323.6988067,313.0273107,314.8878091,326.6229766,337.3211685,324.8272986,312.4035302,323.1961164,310.2022761,321.3629563,325.3350233,2.691858313,0.286993402,3.086391825,5.872682416,2.358701978,3.539350408,1.193917705,2.311419087,6.540536593,3.592226897,2.343243139,2.635079075,71.76743904,55.87443177,115.2161737,112.5489752,74.81340236,105.6835022,103.0568382,117.928721,109.6283248,108.4324359,90.10738537,98.87743195,99.20515559,86.67773206,100.630191,73.65523605,67.57747917,123.1598638,82.95765408,89.59501469,85.82812536,95.2204185,98.98905311,74.19195879,47.81950815,93.70070902,48.58353763,64.42860316,71.7880303,91.88463308,47.8185544,63.6200529,91.52000524,64.08733941,58.3362655,53.56237983,47.46908407,3.774277084,14.4424256,83.71848051,26.99040745,88.35074654,71.45070912,65.78593023,23.27565307,93.53486212,68.69879184,50.18092985,171.0168762,182.8637369,161.4894738,195.0404831,187.973724,173.7704935,196.4141148,181.3285601,172.7629204,194.8653343,180.7933971,184.0495197,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+2795636,LOC_Os01g05830,93.60395727,32.2547363,49.0931818,70.69260863,43.34255926,61.81902588,35.97804408,73.7616899,41.24139978,95.39517371,28.81297497,38.97299789,59.71110209,61.43400308,59.87223993,59.96087522,59.89969895,59.68592994,61.26032414,60.43462444,60.79397649,59.67796502,60.60026827,59.65270497,37.73118408,11.37461057,57.35918416,0.346929055,36.77003083,18.17987537,1.568988902,26.59162759,63.14322426,69.99450076,0.99469621,22.35197533,28.51010216,25.63216892,28.31220785,26.992424,28.48327778,24.58019591,25.46996385,26.79117088,28.27942339,26.91272286,28.91362349,29.79226496,29.39826192,25.00367856,27.52320801,26.50514955,28.40827543,27.77338916,29.80728466,28.26466842,31.09680589,30.36686816,25.87143757,28.05946025,14.43659119,28.12273997,11.07118298,25.80918868,15.49630252,11.38303651,21.42277091,21.75232905,18.22249398,18.73262454,15.63575916,14.41701787,19.81023622,18.70733448,17.61285888,27.15811309,16.78101485,16.44970181,14.25290275,21.40052519,20.3752108,19.60882377,20.4694725,21.06441381,16.81916997,16.71368102,16.33251246,16.48936312,17.53959456,16.05208713,16.21931998,15.70290483,19.81553535,18.70182997,15.27899314,17.35691761,21.27521601,26.53422402,32.2150563,23.28307908,27.51643172,24.29345056,16.63956145,22.82863179,23.00525027,24.80500494,25.58194235,25.82495222,7.924689682,21.96594849,19.89161512,36.97521734,34.58480307,30.37649324,32.60513659,27.64065213,31.83189818,26.62209848,21.58920655,17.8365973,68.06378068,75.38218137,59.57532057,56.74570976,54.42968193,68.82120338,67.80367331,72.10262762,68.14578188,70.89983952,75.70192089,73.90527055,46.64431631,24.05809707,37.24931,7.651693848,51.20554987,0.646672442,12.28277907,27.69640612,42.27060372,18.7043444,37.69641905,21.94385487,23.83311486,16.72570579,26.03655292,22.61099295,26.14238781,26.34678905,24.03296287,22.84468862,24.64357748,27.51035847,20.90908259,23.6018925,19.36891864,91.2120015,142.5796698,22.9808506,90.42931604,164.5844236,32.64431723,94.36075971,111.8026158,102.0955536,66.96277568,27.69750678
Chr1+2792379,LOC_Os01g05830,0.585525901,10.36633721,3.590031151,15.90249547,9.505106638,16.86082339,2.957252833,13.85937926,3.990733195,8.123620564,2.334440332,11.43333957,7.288264944,6.653736108,3.124013272,2.739790824,4.10261126,1.746549404,2.345684179,1.580843368,4.275613994,0.751916781,1.561174632,0.84000255,4.224004102,3.078318075,2.675575288,3.217147946,0.667078615,1.04083849,0.432859116,2.336960684,5.785778324,2.33540615,5.759128918,0.173613461,0,0,0,0,0,0,0,0,0,0,0,0,0.504238914,1.216985437,0.562482741,0.54741097,1.43552675,0.823713676,1.242113981,1.863316484,2.263363986,0.219101984,1.369609075,0.274467709,0.433823682,0.163628703,0.174077814,0.527605867,0.292137073,0.217661478,0.313575992,1.229661995,0.124392236,0.030418967,0.312041535,0.782014224,0,0,0,0,0,0,0,0,0,0,0,0,0.047025017,0.749723825,0.584593715,0.018285496,0.008760694,1.659752985,0.743571872,0.463383812,0.897739373,0.560709918,0.183572535,0.374076261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15083294,0.573796119,0.101045976,0.582759915,0.294113198,0.662834386,0.491588882,0.373900739,1.000683355,1.249106644,0.821610246,0.832692722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14317592,2.486814148,3.361491794,3.021058545,2.637499332,3.618849196,4.96583583,4.837789557,3.574852046,3.844237899,3.130090249,3.096403197
Chr1+2795858,LOC_Os01g05830,61.57395656,114.077301,46.11649583,26.84893984,61.91332006,37.02187109,58.56232046,35.48745645,41.45904465,35.128553,49.68813445,94.90218143,87.53178621,85.12467016,78.66896487,94.82150188,64.66409581,36.12671249,64.24976179,37.85182234,88.963143,59.00183766,71.55367028,69.5946787,71.3862416,60.87230532,66.90464435,56.0789587,61.66015055,62.33313582,61.85630259,67.0286721,61.22617339,70.00779552,64.62429075,69.1098847,11.32457712,11.56570675,14.6115238,14.77302091,18.50289283,15.43304197,11.71402605,21.20403308,17.2466622,12.22192401,25.15935958,21.22651734,64.10801736,12.75570563,74.20028459,59.61667031,65.97785102,17.12975013,49.40868354,18.86860636,49.98661028,58.34026863,85.02923853,92.81150113,41.16158575,40.46247072,31.36447319,34.35536473,30.26780569,34.03319276,32.07288446,30.02535256,36.83757184,32.48004549,27.68717114,38.84769123,25.44492704,35.28194733,22.35352555,38.12531582,29.83487429,29.72129785,26.65408142,32.80266265,35.38045429,25.24775801,28.96644254,31.85507317,26.8161017,26.13630539,22.97312382,32.73448724,21.24829134,12.10910166,18.18714951,18.76988234,25.08913748,25.91962306,22.51744284,27.31127576,39.08023887,29.99702974,40.47879984,32.79206802,33.84094753,35.3060232,32.78993311,39.26731827,43.65275307,33.24780519,33.93143036,41.18369099,2.54459821,9.291647402,6.670479295,19.69745752,19.8783937,28.94917598,42.36417563,37.62379696,2.329966375,29.74187042,20.67689753,36.49539327,26.98720524,29.00957951,26.04117977,26.48082753,26.62780428,23.94713861,25.24149492,25.26297696,23.76200359,25.78998327,24.77165525,23.22235772,7.361283754,11.65053875,1.568779518,9.131094573,26.1479833,23.52365429,9.070564783,1.868357215,4.902178314,5.753560104,13.66045506,1.202291451,9.737854728,16.58659791,13.14478666,9.269294546,9.327784706,22.12465414,13.5830043,12.88125605,3.338619881,8.478014281,13.30693003,17.18675158,69.72545315,70.62244927,76.0400893,64.82196183,71.33566019,66.73344525,68.44352923,76.57555666,70.57213829,68.94469883,69.09290512,67.35101528
