"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","root_5days1","root_5days2","root_5days3","anther1","anther2","anther3","mature_pollen1","mature_pollen2","mature_pollen3","pistil1","pistil2","pistil3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",3,0,2,1,3,2,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,2,2,2
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",21,19,19,1,0,0,0,0,0,3,3,3,6,6,2,2,5,2,0,0,0,3,3,3
"3","Chr1+356171","LOC_Os01g01689",0,0,0,2,2,4,0,0,0,1,2,2,2,1,1,0,1,0,20,20,18,0,0,0
"4","Chr1+371188","LOC_Os01g01689",113,108,79,30,27,16,19,15,17,32,19,35,13,20,21,27,18,24,2,9,5,44,50,48
"5","Chr1+374561","LOC_Os01g01700",1,5,6,5,7,6,6,5,5,6,3,3,18,18,13,20,16,5,1,0,2,3,0,2
"6","Chr1+374424","LOC_Os01g01700",184,162,197,212,233,182,84,141,94,138,143,144,242,262,293,227,224,249,184,229,436,207,209,202
"7","Chr1+1856529","LOC_Os01g04200",0,1,0,2,2,0,0,1,1,1,0,0,0,3,0,3,2,1,0,0,0,0,0,0
"8","Chr1+1856256","LOC_Os01g04200",37,39,83,38,31,43,29,20,24,9,9,9,13,16,14,14,10,14,3,4,7,22,31,32
"9","Chr1+1856117","LOC_Os01g04200",4,3,8,1,1,0,1,0,0,1,1,1,1,1,1,0,0,2,0,0,0,1,3,1
"10","Chr1+1855402","LOC_Os01g04200",11,10,5,31,50,42,27,22,44,17,20,19,31,33,28,18,10,15,17,7,9,29,30,31
"11","Chr1+2608018","LOC_Os01g05500",0,1,8,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0
"12","Chr1+2601686","LOC_Os01g05500",5,8,9,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
"13","Chr1+2600567","LOC_Os01g05500",8,3,13,5,9,15,14,6,14,13,10,9,5,10,4,3,6,6,36,65,10,2,2,5
"14","Chr1+2609247","LOC_Os01g05500",4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chr1+2612758","LOC_Os01g05500",435,258,459,149,153,147,296,274,217,298,303,355,121,129,133,186,189,182,197,149,183,204,193,179
"16","Chr1-3667570","LOC_Os01g07630",10,1,7,1,1,3,1,3,2,0,0,0,2,2,2,0,1,0,0,0,0,2,1,1
"17","Chr1-3671562","LOC_Os01g07630",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,19,24,16,0,0,0
"18","Chr1-3667505","LOC_Os01g07630",4,53,7,82,78,79,25,23,25,14,13,12,48,43,53,23,21,23,7,32,24,56,52,72
"19","Chr1-3713770","LOC_Os01g07740",62,58,57,51,48,48,47,46,32,8,31,13,66,51,55,233,91,209,83,148,158,173,171,141
"20","Chr1-3718312","LOC_Os01g07740",0,0,0,0,1,0,0,0,0,3,3,0,1,0,0,0,0,1,1,10,1,0,0,0
"21","Chr1+5412511","LOC_Os01g10280",1,1,1,1,0,9,4,1,0,3,4,3,6,3,4,0,1,2,1,8,4,3,6,14
"22","Chr1+5412761","LOC_Os01g10280",0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,1,4,0,2,4,6
"23","Chr1+5412697","LOC_Os01g10280",9,13,0,0,2,0,0,0,1,4,2,6,0,3,0,0,2,0,0,0,0,0,1,2
"24","Chr1+6029641","LOC_Os01g11260",1,2,0,6,6,7,6,2,3,2,1,0,10,2,1,17,14,26,2,8,0,10,9,9
"25","Chr1+6029525","LOC_Os01g11260",4,2,1,1,3,3,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,3,5,5
"26","Chr1+6270688","LOC_Os01g11620",48,57,64,287,283,285,0,0,0,2,2,2,120,168,128,12,18,14,38,46,21,1,0,1
"27","Chr1+6270822","LOC_Os01g11620",0,0,0,24,25,25,0,0,0,0,0,0,13,14,10,0,1,2,0,0,0,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",0,0,0,7,0,2,0,2,1,15,15,14,1,2,2,4,4,1,0,0,0,1,2,1
"29","Chr1-6572018","LOC_Os01g12080",0,0,0,9,25,3,68,74,70,47,48,47,8,9,9,5,4,4,0,0,0,8,12,12
"30","Chr1-6572877","LOC_Os01g12080",2,5,5,1,2,1,7,2,1,4,4,4,0,0,0,0,1,0,1,0,0,0,0,0
"31","Chr1-6572141","LOC_Os01g12080",46,76,72,112,118,120,435,428,433,361,346,339,38,46,52,36,39,34,55,11,27,80,65,76
"32","Chr1-6725035","LOC_Os01g12320",0,0,0,28,26,28,44,49,44,19,24,17,9,26,22,4,1,0,0,0,0,18,16,14
"33","Chr1-6724944","LOC_Os01g12320",0,2,1,171,176,189,360,324,369,109,113,108,153,113,162,24,23,28,124,125,159,37,28,49
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,1,1,3,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",3,3,5,3,2,4,3,3,5,1,2,3,5,3,3,0,0,0,10,10,9,1,1,2
"36","Chr1+7095316","LOC_Os01g12810",4,6,9,130,131,120,861,863,902,478,497,471,9,9,8,67,52,52,93,207,100,88,71,77
"37","Chr1+7576953","LOC_Os01g13540",0,0,0,1,0,0,5,4,5,1,1,1,1,3,1,5,3,1,0,0,0,0,0,0
"38","Chr1+7576771","LOC_Os01g13540",14,3,14,102,102,99,1278,1373,1296,829,813,894,71,115,115,68,66,40,134,45,40,90,85,80
"39","Chr1+7575165","LOC_Os01g13540",0,0,2,0,0,0,7,16,13,4,5,8,0,1,2,4,3,2,0,0,0,3,5,3
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,9,14,41,706,240,0,0,0
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,7,0,0,0
"43","Chr1+7672581","LOC_Os01g13700",42,34,37,15,13,16,11,5,13,10,8,11,6,27,29,38,37,38,11,18,34,38,41,40
"44","Chr1+7672710","LOC_Os01g13700",146,182,170,199,210,228,170,167,209,159,161,124,298,297,303,262,239,261,198,118,116,308,316,330
"45","Chr1-7687909","LOC_Os01g13740",0,0,2,2,0,4,3,3,3,1,2,2,3,1,0,0,1,0,5,2,1,1,1,1
"46","Chr1-7686899","LOC_Os01g13740",0,0,1,335,330,322,1858,1694,1780,1601,1649,1595,2,3,4,12,7,3,74,10,241,33,15,26
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,10,9,0,0,0
"48","Chr1-8175675","LOC_Os01g14590",0,0,0,10,12,14,2,1,1,10,15,10,5,3,4,4,6,4,0,1,0,7,5,6
"49","Chr1-8175468","LOC_Os01g14590",5,5,0,8,5,4,2,1,1,6,7,8,0,3,3,4,4,4,1,1,1,2,8,10
"50","Chr1+8408590","LOC_Os01g15000",3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Chr1+8405373","LOC_Os01g15000",1,11,4,0,1,0,0,0,0,5,7,11,3,6,2,0,0,0,0,0,0,1,0,0
"52","Chr1+8408240","LOC_Os01g15000",6,10,9,0,0,0,4,2,1,1,5,8,1,0,0,0,0,2,0,0,0,0,0,0
"53","Chr1+8408351","LOC_Os01g15000",261,276,324,11,10,11,71,74,69,146,142,122,14,18,15,59,57,56,50,68,43,26,10,25
"54","Chr1+8407017","LOC_Os01g15000",6,8,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"55","Chr1-9658230","LOC_Os01g16890",1935,1923,1946,920,892,827,219,253,294,247,268,274,1759,1715,1771,439,449,470,705,1062,491,872,897,943
"56","Chr1-9659592","LOC_Os01g16890",19,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Chr1-9660105","LOC_Os01g16890",22,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Chr1-9660661","LOC_Os01g16890",39,70,0,0,2,1,0,0,0,1,2,1,2,0,3,0,0,0,0,0,0,4,5,3
"59","Chr1-9658021","LOC_Os01g16890",0,0,8,0,6,4,2,0,1,1,0,1,6,10,13,3,3,4,2,1,1,1,0,2
"60","Chr1-9660380","LOC_Os01g16890",30,43,37,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,2,1,1
"61","Chr1+9879603","LOC_Os01g17180",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,10,8,5,0,0,1
"62","Chr1+9885367","LOC_Os01g17180",324,417,264,85,95,92,120,122,127,111,104,112,118,125,120,166,172,174,241,230,229,123,132,130
"63","Chr1+10655296","LOC_Os01g18850",5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Chr1+10656648","LOC_Os01g18850",77,75,77,49,42,45,69,68,63,186,100,162,56,54,52,24,29,33,52,39,70,52,52,60
"65","Chr1+10679801","LOC_Os01g18880",1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,4,1,36,0,0,0
"66","Chr1+10678290","LOC_Os01g18880",0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,2,1,0,0,0,1,2,1
"67","Chr1+10676910","LOC_Os01g18880",3,0,0,0,1,1,3,0,1,1,0,0,1,3,3,4,3,1,16,20,1,9,9,9
"68","Chr1+10677075","LOC_Os01g18880",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1
"69","Chr1+10679862","LOC_Os01g18880",38,27,44,0,2,2,6,6,6,10,7,5,8,9,7,43,49,39,76,32,9,12,16,18
"70","Chr1+11170325","LOC_Os01g19694",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,24,50,0,0,0
"71","Chr1+11174452","LOC_Os01g19694",0,0,3,0,0,0,0,0,0,0,0,0,16,16,8,0,0,0,0,0,0,5,3,6
"72","Chr1+11174321","LOC_Os01g19694",8,4,2,0,0,0,0,0,0,0,0,0,11,9,4,0,0,0,0,0,0,4,4,5
"73","Chr1-11253657","LOC_Os01g19850",8,5,8,3,0,0,0,0,0,2,1,1,6,7,8,61,57,57,4,0,0,6,8,8
"74","Chr1-11253815","LOC_Os01g19850",11,0,2,0,0,0,0,0,0,0,2,0,0,0,0,5,4,4,4,2,1,2,3,1
"75","Chr1-11800239","LOC_Os01g21144",0,4,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"76","Chr1-11801468","LOC_Os01g21144",3,9,13,2,4,5,0,0,0,0,0,1,2,2,2,11,19,4,4,0,3,4,2,5
"77","Chr1-11800290","LOC_Os01g21144",11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Chr1+11975457","LOC_Os01g21450",1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,2,2,1,1,1,0,2,2
"79","Chr1+11975299","LOC_Os01g21450",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,9,8,0,0,0,0,1,1
"80","Chr1+11981803","LOC_Os01g21450",393,445,385,106,111,91,204,226,268,210,247,237,92,57,55,187,191,174,102,92,114,118,123,135
"81","Chr1+11981977","LOC_Os01g21450",2,4,3,0,0,0,0,2,1,2,0,1,1,0,1,0,0,1,0,0,0,1,0,1
"82","Chr1-12704551","LOC_Os01g22600",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"83","Chr1-12704882","LOC_Os01g22600",571,522,370,9,8,15,72,95,77,68,66,69,19,16,20,33,15,36,51,39,27,51,49,53
"84","Chr1-12704755","LOC_Os01g22600",168,242,277,14,23,14,114,98,101,124,138,128,17,22,20,75,80,69,45,63,102,65,110,7
"85","Chr1+13305003","LOC_Os01g23640",9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Chr1+13304670","LOC_Os01g23640",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Chr1+13305253","LOC_Os01g23640",199,143,166,72,89,83,96,86,88,96,92,95,92,89,86,72,67,66,124,37,22,49,48,57
"88","Chr1+13443712","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,25,29,223,115,191,0,0,0
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,27,6,3,0,0,0
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,3,1,6,0,0,0,6,5,7,0,4,1,5138,4754,4993,30198,44014,48767,8,9,10
"91","Chr1+13935377","LOC_Os01g24764",6,11,12,87,77,80,134,136,154,150,189,188,4,7,3,75,80,82,52,78,126,113,129,83
"92","Chr1+13935124","LOC_Os01g24764",5,2,2,9,9,4,9,8,11,7,7,8,1,0,2,8,7,12,1,4,2,8,5,5
"93","Chr1+13935565","LOC_Os01g24764",0,0,0,6,2,8,5,3,7,8,13,4,0,1,0,2,0,3,0,0,0,5,4,3
"94","Chr1+13935855","LOC_Os01g24764",8,0,2,7,0,7,20,15,18,36,28,34,1,0,0,3,4,3,1,1,1,6,5,2
"95","Chr1-14754834","LOC_Os01g26039",24,12,7,61,64,83,504,495,547,181,173,217,47,50,43,79,99,88,17,13,1,40,36,41
"96","Chr1-14757624","LOC_Os01g26039",1,4,1,3,2,3,0,3,3,5,4,0,5,1,2,3,4,2,17,9,10,1,1,1
"97","Chr1+16056051","LOC_Os01g28680",2,3,0,1,3,2,8,0,11,6,10,4,4,4,4,0,0,0,0,2,1,0,0,1
"98","Chr1+16056254","LOC_Os01g28680",17,19,14,69,100,93,259,210,256,468,462,528,164,181,136,37,42,34,28,106,32,9,14,8
"99","Chr1+16051023","LOC_Os01g28680",0,0,0,0,0,0,3,0,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0
"100","Chr1+16053083","LOC_Os01g28680",0,0,0,0,2,1,3,3,4,4,5,5,3,0,1,0,0,0,0,2,1,0,0,0
