"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","leaf_60days1","leaf_60days2","leaf_60days3","husk1","husk2","husk3","anther1","anther2","anther3","embryo1","embryo2","embryo3"
"1","ChrSy+235579","ChrSy.fgenesh.gene.33",3,0,2,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0
"2","ChrSy+236049","ChrSy.fgenesh.gene.33",21,19,19,3,6,5,3,3,3,1,1,2,2,5,2,9,5,13
"3","Chr1+356171","LOC_Os01g01689",0,0,0,1,0,1,1,2,2,3,3,0,0,1,0,0,0,0
"4","Chr1+371188","LOC_Os01g01689",113,108,79,66,33,18,32,19,35,64,23,54,27,18,24,173,168,181
"5","Chr1+374561","LOC_Os01g01700",1,5,6,2,0,3,6,3,3,4,12,1,20,16,5,0,0,0
"6","Chr1+374424","LOC_Os01g01700",184,162,197,209,211,211,138,143,144,115,145,105,227,224,249,246,258,252
"7","Chr1+1856529","LOC_Os01g04200",0,1,0,1,0,2,1,0,0,2,0,1,3,2,1,0,0,1
"8","Chr1+1856256","LOC_Os01g04200",37,39,83,22,19,23,9,9,9,32,35,19,14,10,14,61,64,76
"9","Chr1+1856117","LOC_Os01g04200",4,3,8,0,0,0,1,1,1,5,1,0,0,0,2,0,0,0
"10","Chr1+1855402","LOC_Os01g04200",11,10,5,14,24,8,17,20,19,20,23,19,18,10,15,7,14,17
"11","Chr1+2608018","LOC_Os01g05500",0,1,8,2,1,0,1,0,1,0,0,0,0,0,2,0,1,0
"12","Chr1+2601686","LOC_Os01g05500",5,8,9,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0
"13","Chr1+2600567","LOC_Os01g05500",8,3,13,1,2,13,13,10,9,7,5,10,3,6,6,2,0,2
"14","Chr1+2609247","LOC_Os01g05500",4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,7,7,7
"15","Chr1+2612758","LOC_Os01g05500",435,258,459,182,162,188,298,303,355,186,186,141,186,189,182,334,330,334
"16","Chr1-3667570","LOC_Os01g07630",10,1,7,0,0,0,0,0,0,2,3,5,0,1,0,2,0,4
"17","Chr1-3671562","LOC_Os01g07630",1,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,1
"18","Chr1-3667505","LOC_Os01g07630",4,53,7,18,33,30,14,13,12,43,49,42,23,21,23,2,19,66
"19","Chr1-3713770","LOC_Os01g07740",62,58,57,51,54,11,8,31,13,80,87,98,233,91,209,69,61,79
"20","Chr1-3718312","LOC_Os01g07740",0,0,0,0,2,1,3,3,0,1,1,1,0,0,1,0,0,0
"21","Chr1+5412511","LOC_Os01g10280",1,1,1,0,1,3,3,4,3,0,3,4,0,1,2,1,1,1
"22","Chr1+5412761","LOC_Os01g10280",0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,2,1,0
